Directory,Model,Method,TaskID,LoC,Reliability,Maintainability,Security_Hotspots,CyC,CoC
CoderEval-Java-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,6367667d1a6d9265ec017401,48.0,0,2,0,12.0,7.0
CoderEval-Java-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,6367667d1a6d9265ec01741d,13.0,0,2,0,3.0,2.0
CoderEval-Java-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,6367667e1a6d9265ec01743a,8.0,0,1,0,2.0,1.0
CoderEval-Java-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,6367667f1a6d9265ec017457,0.0,0,0,0,0.0,0.0
CoderEval-Java-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,6367667f1a6d9265ec01745d,34.0,0,2,0,6.0,13.0
CoderEval-Java-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,636766801a6d9265ec017487,15.0,0,2,0,4.0,5.0
CoderEval-Java-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,636766821a6d9265ec0174b6,19.0,0,2,0,4.0,6.0
CoderEval-Java-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,636766821a6d9265ec0174bf,7.0,0,2,0,1.0,0.0
CoderEval-Java-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,636766821a6d9265ec0174c9,10.0,0,2,0,2.0,1.0
CoderEval-Java-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,636766831a6d9265ec0174eb,7.0,0,1,0,2.0,1.0
CoderEval-Java-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,636766851a6d9265ec01751b,14.0,0,2,0,7.0,6.0
CoderEval-Java-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,636766861a6d9265ec017553,5.0,0,1,0,1.0,0.0
CoderEval-Java-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,636766861a6d9265ec01755a,0.0,0,0,0,0.0,0.0
CoderEval-Java-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,636766a81a6d9265ec017586,7.0,0,1,0,2.0,1.0
CoderEval-Java-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,636766a81a6d9265ec017595,10.0,0,1,0,2.0,1.0
CoderEval-Java-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,636766a81a6d9265ec01758e,0.0,0,0,0,0.0,0.0
CoderEval-Java-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,636766a91a6d9265ec0175ae,17.0,0,1,0,6.0,4.0
CoderEval-Java-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,636766a91a6d9265ec0175c1,7.0,0,1,0,1.0,0.0
CoderEval-Java-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,636766a91a6d9265ec0175c2,7.0,0,1,0,1.0,0.0
CoderEval-Java-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,636766a91a6d9265ec0175c4,38.0,0,1,0,11.0,1.0
CoderEval-Java-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,636766aa1a6d9265ec0175ce,0.0,0,0,0,0.0,0.0
CoderEval-Java-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,636766ae1a6d9265ec0175d8,16.0,0,1,0,2.0,2.0
CoderEval-Java-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,636766ae1a6d9265ec0175dc,5.0,0,1,0,1.0,0.0
CoderEval-Java-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,636766f01a6d9265ec017639,7.0,0,2,0,2.0,1.0
CoderEval-Java-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,636766f01a6d9265ec01762e,5.0,0,2,0,2.0,1.0
CoderEval-Java-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,636766f01a6d9265ec01763e,0.0,0,0,0,0.0,0.0
CoderEval-Java-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,636766f11a6d9265ec017641,5.0,0,1,0,1.0,0.0
CoderEval-Java-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,636766f11a6d9265ec017651,5.0,0,2,0,3.0,2.0
CoderEval-Java-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,636766f11a6d9265ec017658,7.0,0,2,0,1.0,0.0
CoderEval-Java-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,636766f11a6d9265ec017663,14.0,0,3,0,6.0,5.0
CoderEval-Java-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,636766f11a6d9265ec01764f,5.0,0,1,0,1.0,0.0
CoderEval-Java-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,636766f21a6d9265ec017667,5.0,0,1,0,1.0,0.0
CoderEval-Java-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,636766f21a6d9265ec017677,5.0,0,2,0,1.0,0.0
CoderEval-Java-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,636766f21a6d9265ec01767d,8.0,0,2,0,2.0,1.0
CoderEval-Java-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,636766f31a6d9265ec01768f,8.0,0,3,0,2.0,1.0
CoderEval-Java-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,636766f61a6d9265ec017701,10.0,0,2,0,3.0,2.0
CoderEval-Java-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,636766f71a6d9265ec017730,8.0,0,2,0,2.0,1.0
CoderEval-Java-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,636766f81a6d9265ec017758,5.0,0,1,0,1.0,0.0
CoderEval-Java-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,636766f81a6d9265ec01775b,5.0,0,1,0,1.0,0.0
CoderEval-Java-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,636766f81a6d9265ec01775c,8.0,0,2,0,2.0,1.0
CoderEval-Java-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,636766f91a6d9265ec01776e,18.0,0,3,0,8.0,7.0
CoderEval-Java-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,636766f91a6d9265ec01777d,14.0,0,2,0,7.0,6.0
CoderEval-Java-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,636766f91a6d9265ec01777f,5.0,0,3,0,2.0,1.0
CoderEval-Java-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,636766fa1a6d9265ec017796,10.0,0,4,0,3.0,2.0
CoderEval-Java-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,636766fa1a6d9265ec01779c,16.0,0,1,0,4.0,5.0
CoderEval-Java-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,636766fa1a6d9265ec01779d,5.0,0,2,0,2.0,1.0
CoderEval-Java-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,636766fa1a6d9265ec0177a4,9.0,0,2,0,2.0,1.0
CoderEval-Java-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,636766fa1a6d9265ec0177a9,5.0,0,1,0,1.0,0.0
CoderEval-Java-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,636766fb1a6d9265ec0177c1,5.0,0,2,0,2.0,1.0
CoderEval-Java-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,636766fb1a6d9265ec0177c3,5.0,0,2,0,1.0,0.0
CoderEval-Java-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,636766fc1a6d9265ec0177da,5.0,0,2,0,6.0,1.0
