Directory,Model,Method,LoC,Reliability,Maintainability,Security_Hotspots,CyC,CoC
CoderEval-Java-CodeLlama-7B-FP,CodeLlama-7B,FP,1810.0,0,306,0,547.0,455.0
CoderEval-Java-CodeLlama-7B-AWQ,CodeLlama-7B,AWQ,1661.0,0,290,0,475.0,369.0
CoderEval-Java-CodeLlama-7B-GPTQ,CodeLlama-7B,GPTQ,1714.0,1,311,0,474.0,362.0
CoderEval-Java-CodeLlama-7B-BitsAndBytes,CodeLlama-7B,BitsAndBytes,1706.0,0,287,0,534.0,497.0
CoderEval-Java-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,1833.0,0,302,0,535.0,403.0
CoderEval-Java-CodeLlama-7B-GGUF,CodeLlama-7B,GGUF,1648.0,0,286,0,486.0,386.0
CoderEval-Java-CodeLlama-7B-QUIP,CodeLlama-7B,QUIP,2009.0,1,305,0,603.0,573.0
CoderEval-Java-Qwen2.5-Coder-7B-FP,Qwen2.5-Coder-7B,FP,1215.0,0,228,0,338.0,294.0
CoderEval-Java-Qwen2.5-Coder-7B-AWQ,Qwen2.5-Coder-7B,AWQ,1193.0,0,201,0,337.0,270.0
CoderEval-Java-Qwen2.5-Coder-7B-GPTQ,Qwen2.5-Coder-7B,GPTQ,1257.0,0,227,0,352.0,335.0
CoderEval-Java-Qwen2.5-Coder-7B-BitsAndBytes,Qwen2.5-Coder-7B,BitsAndBytes,1293.0,0,250,0,355.0,319.0
CoderEval-Java-Qwen2.5-Coder-7B-AQLM,Qwen2.5-Coder-7B,AQLM,1211.0,0,250,0,356.0,289.0
CoderEval-Java-Qwen2.5-Coder-7B-GGUF,Qwen2.5-Coder-7B,GGUF,1242.0,0,224,0,344.0,239.0
CoderEval-Java-Qwen2.5-Coder-7B-QUIP,Qwen2.5-Coder-7B,QUIP,1049.0,0,194,0,302.0,225.0
