Directory,Model,Method,TaskID,LoC,Reliability,Maintainability,Security_Hotspots,CyC,CoC
McEval-Java-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,Java-1,17.0,0,5,0,3.0,1.0
McEval-Java-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,Java-2,19.0,0,7,0,4.0,3.0
McEval-Java-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,Java-3,11.0,0,6,0,2.0,0.0
McEval-Java-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,Java-4,34.0,0,5,0,3.0,1.0
McEval-Java-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,Java-5,29.0,0,5,0,9.0,14.0
McEval-Java-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,Java-6,39.0,0,6,0,14.0,23.0
McEval-Java-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,Java-7,12.0,0,7,0,2.0,0.0
McEval-Java-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,Java-8,18.0,0,5,0,4.0,3.0
McEval-Java-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,Java-9,20.0,0,5,0,5.0,6.0
McEval-Java-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,Java-10,12.0,0,7,0,2.0,0.0
McEval-Java-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,Java-11,20.0,0,5,0,4.0,3.0
McEval-Java-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,Java-12,20.0,0,5,0,2.0,0.0
McEval-Java-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,Java-13,32.0,0,4,0,4.0,3.0
McEval-Java-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,Java-14,33.0,0,5,0,9.0,16.0
McEval-Java-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,Java-15,34.0,0,5,0,3.0,1.0
McEval-Java-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,Java-16,34.0,0,8,0,8.0,7.0
McEval-Java-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,Java-17,75.0,0,4,0,4.0,2.0
