TaskID,Pass
6367667d1a6d9265ec017401,0
6367667d1a6d9265ec01741d,0
6367667e1a6d9265ec01743a,0
6367667f1a6d9265ec017457,0
6367667f1a6d9265ec01745d,0
636766801a6d9265ec017487,0
636766821a6d9265ec0174b6,0
636766821a6d9265ec0174bf,0
636766821a6d9265ec0174c9,1
636766831a6d9265ec0174eb,0
636766851a6d9265ec01751b,0
636766861a6d9265ec017553,0
636766861a6d9265ec01755a,0
636766a81a6d9265ec017586,0
636766a81a6d9265ec01758e,0
636766a81a6d9265ec017595,0
636766a91a6d9265ec0175ae,1
636766a91a6d9265ec0175c1,0
636766a91a6d9265ec0175c2,0
636766a91a6d9265ec0175c4,0
636766aa1a6d9265ec0175ce,0
636766ae1a6d9265ec0175d8,0
636766ae1a6d9265ec0175dc,0
636766f01a6d9265ec01762e,0
636766f01a6d9265ec017639,1
636766f01a6d9265ec01763e,0
636766f11a6d9265ec017641,0
636766f11a6d9265ec01764f,0
636766f11a6d9265ec017651,1
636766f11a6d9265ec017658,0
636766f11a6d9265ec017663,1
636766f21a6d9265ec017667,1
636766f21a6d9265ec017677,1
636766f21a6d9265ec01767d,1
636766f31a6d9265ec01768f,1
636766f61a6d9265ec017701,0
636766f71a6d9265ec017730,0
636766f81a6d9265ec017758,0
636766f81a6d9265ec01775b,0
636766f81a6d9265ec01775c,1
636766f91a6d9265ec01776e,0
636766f91a6d9265ec01777d,1
636766f91a6d9265ec01777f,1
636766fa1a6d9265ec017796,1
636766fa1a6d9265ec01779c,0
636766fa1a6d9265ec01779d,1
636766fa1a6d9265ec0177a4,1
636766fa1a6d9265ec0177a9,0
636766fb1a6d9265ec0177c1,1
636766fb1a6d9265ec0177c3,1
636766fc1a6d9265ec0177da,0
636766fc1a6d9265ec0177ef,0
636766fd1a6d9265ec017814,1
636766fe1a6d9265ec01781c,1
636766fe1a6d9265ec017821,0
636766fe1a6d9265ec01782a,0
636766fe1a6d9265ec017834,0
636766fe1a6d9265ec017838,1
636766ff1a6d9265ec01783b,1
636766ff1a6d9265ec017842,0
636766ff1a6d9265ec01784b,0
636766ff1a6d9265ec017851,0
636766ff1a6d9265ec017853,1
636767001a6d9265ec017873,1
636767021a6d9265ec0178b2,0
636767021a6d9265ec0178bb,1
636767021a6d9265ec0178bc,0
636767021a6d9265ec0178bf,0
636767031a6d9265ec0178dd,0
636767031a6d9265ec0178e6,1
636767031a6d9265ec0178ef,0
636767041a6d9265ec0178f8,1
636767041a6d9265ec01790f,1
636767041a6d9265ec017911,0
636767061a6d9265ec01794a,0
636767081a6d9265ec017989,1
636767081a6d9265ec0179a2,0
6367670a1a6d9265ec0179cf,1
6367670a1a6d9265ec0179d8,1
6367670a1a6d9265ec0179d9,1
6367670a1a6d9265ec0179dc,0
6367670a1a6d9265ec0179e7,0
6367670a1a6d9265ec0179e8,1
6367670a1a6d9265ec0179f1,0
6367670b1a6d9265ec0179f2,1
6367670b1a6d9265ec0179fe,1
6367670b1a6d9265ec0179ff,1
6367670b1a6d9265ec017a00,0
6367670b1a6d9265ec017a05,1
6367670b1a6d9265ec017a0f,1
6367670c1a6d9265ec017a2a,1
6367670c1a6d9265ec017a35,1
636767121a6d9265ec017b0a,0
636767131a6d9265ec017b23,0
636767151a6d9265ec017b6b,1
636767191a6d9265ec017c0f,0
6367671a1a6d9265ec017c15,0
6367672d1a6d9265ec017c73,1
6367672d1a6d9265ec017c74,0
6367672d1a6d9265ec017c78,1
636767431a6d9265ec017c88,0
636767431a6d9265ec017c8d,0
636767441a6d9265ec017cc1,0
636767461a6d9265ec017d0e,0
636767491a6d9265ec017d90,1
6367674a1a6d9265ec017da9,0
6367674a1a6d9265ec017dab,1
6367674b1a6d9265ec017dc0,0
6367674f1a6d9265ec017e74,0
636767501a6d9265ec017e86,0
636767511a6d9265ec017eb0,0
636767511a6d9265ec017eb6,0
636767521a6d9265ec017ecc,0
636767531a6d9265ec017ef1,1
636767551a6d9265ec017f3f,1
636767561a6d9265ec017f63,0
636767561a6d9265ec017f7c,0
636767581a6d9265ec017fb4,0
636767581a6d9265ec017fc4,1
6367675c1a6d9265ec018058,0
6367675c1a6d9265ec01805b,0
6367675d1a6d9265ec018082,0
6367675f1a6d9265ec0180cf,0
6367675f1a6d9265ec0180d3,0
636767601a6d9265ec0180e2,0
636767611a6d9265ec018112,0
636767611a6d9265ec018116,1
636767631a6d9265ec018171,0
636767691a6d9265ec0181a6,0
636767691a6d9265ec0181a7,0
636767691a6d9265ec0181aa,0
636767691a6d9265ec0181ac,0
6367676a1a6d9265ec0181bf,0
6367676a1a6d9265ec0181cd,0
6367676a1a6d9265ec0181d4,1
6367676b1a6d9265ec0181dd,0
6367676b1a6d9265ec0181df,0
6367676b1a6d9265ec0181e2,1
