TaskID,Pass
Java-1,1
Java-2,0
Java-3,0
Java-4,0
Java-5,0
Java-6,0
Java-7,0
Java-8,1
Java-9,1
Java-10,0
Java-11,0
Java-12,1
Java-13,1
Java-14,1
Java-15,1
Java-16,0
Java-17,0
Java-18,1
Java-19,0
Java-20,1
Java-21,1
Java-22,1
Java-23,1
Java-24,1
Java-25,0
Java-26,1
Java-27,1
Java-28,1
Java-29,1
Java-30,0
Java-31,0
Java-32,1
Java-33,0
Java-34,1
Java-35,1
Java-36,0
Java-37,1
Java-38,1
Java-39,1
Java-40,1
Java-41,1
Java-42,0
Java-43,1
Java-44,0
Java-45,0
Java-46,0
Java-47,1
Java-48,1
Java-49,1
Java-50,0
Java-51,1
Java-52,0
Java-53,1
