TaskID,LoC,Reliability,Maintainability,Security_Hotspots,CyC,CoC
6367667d1a6d9265ec017401,0.0,0,0,0,0.0,0.0
6367667d1a6d9265ec01741d,13.0,0,2,0,3.0,2.0
6367667e1a6d9265ec01743a,5.0,0,1,0,1.0,0.0
6367667f1a6d9265ec017457,0.0,0,0,0,0.0,0.0
6367667f1a6d9265ec01745d,26.0,0,3,0,6.0,6.0
636766801a6d9265ec017487,15.0,0,2,0,4.0,5.0
636766821a6d9265ec0174b6,26.0,0,3,0,6.0,16.0
636766821a6d9265ec0174bf,7.0,0,2,0,1.0,0.0
636766821a6d9265ec0174c9,10.0,0,2,0,2.0,1.0
636766831a6d9265ec0174eb,7.0,0,1,0,2.0,1.0
636766851a6d9265ec01751b,14.0,0,2,0,7.0,6.0
636766861a6d9265ec017553,5.0,0,1,0,1.0,0.0
636766861a6d9265ec01755a,5.0,0,1,0,1.0,0.0
636766a81a6d9265ec017586,7.0,0,1,0,2.0,1.0
636766a81a6d9265ec017595,10.0,0,1,0,2.0,1.0
636766a81a6d9265ec01758e,0.0,0,0,0,0.0,0.0
636766a91a6d9265ec0175ae,0.0,0,0,0,0.0,0.0
636766a91a6d9265ec0175c1,0.0,0,0,0,0.0,0.0
636766a91a6d9265ec0175c2,6.0,0,2,0,1.0,0.0
636766a91a6d9265ec0175c4,25.0,0,1,0,11.0,1.0
636766aa1a6d9265ec0175ce,6.0,0,1,0,1.0,0.0
636766ae1a6d9265ec0175d8,16.0,0,1,0,2.0,2.0
636766ae1a6d9265ec0175dc,5.0,0,1,0,1.0,0.0
636766f01a6d9265ec017639,0.0,0,0,0,0.0,0.0
636766f01a6d9265ec01762e,5.0,0,2,0,1.0,0.0
636766f01a6d9265ec01763e,0.0,0,0,0,0.0,0.0
636766f11a6d9265ec017641,5.0,0,1,0,1.0,0.0
636766f11a6d9265ec017651,5.0,0,2,0,3.0,2.0
636766f11a6d9265ec017658,10.0,0,2,0,2.0,1.0
636766f11a6d9265ec017663,14.0,0,3,0,6.0,5.0
636766f11a6d9265ec01764f,5.0,0,1,0,1.0,0.0
636766f21a6d9265ec017667,5.0,0,1,0,1.0,0.0
636766f21a6d9265ec017677,5.0,0,2,0,1.0,0.0
636766f21a6d9265ec01767d,8.0,0,2,0,2.0,1.0
636766f31a6d9265ec01768f,6.0,0,3,0,2.0,1.0
636766f61a6d9265ec017701,22.0,0,3,0,8.0,18.0
636766f71a6d9265ec017730,8.0,0,2,0,2.0,1.0
636766f81a6d9265ec017758,9.0,0,1,0,2.0,1.0
636766f81a6d9265ec01775b,5.0,0,1,0,1.0,0.0
636766f81a6d9265ec01775c,8.0,0,2,0,2.0,1.0
636766f91a6d9265ec01776e,0.0,0,0,0,0.0,0.0
636766f91a6d9265ec01777d,14.0,0,2,0,7.0,6.0
636766f91a6d9265ec01777f,5.0,0,3,0,2.0,1.0
636766fa1a6d9265ec017796,9.0,0,3,0,2.0,1.0
636766fa1a6d9265ec01779c,15.0,0,1,0,4.0,5.0
636766fa1a6d9265ec01779d,5.0,0,2,0,1.0,0.0
636766fa1a6d9265ec0177a4,12.0,0,2,0,3.0,2.0
636766fa1a6d9265ec0177a9,8.0,0,1,0,2.0,1.0
636766fb1a6d9265ec0177c1,5.0,0,2,0,2.0,1.0
636766fb1a6d9265ec0177c3,5.0,0,2,0,1.0,0.0
636766fc1a6d9265ec0177da,5.0,0,2,0,26.0,1.0
636766fc1a6d9265ec0177ef,20.0,0,2,0,5.0,6.0
636766fd1a6d9265ec017814,10.0,0,2,0,6.0,5.0
636766fe1a6d9265ec017821,13.0,0,1,0,3.0,2.0
636766fe1a6d9265ec017834,5.0,0,2,0,1.0,0.0
636766fe1a6d9265ec017838,15.0,0,3,0,4.0,3.0
636766fe1a6d9265ec01781c,5.0,0,2,0,1.0,0.0
636766fe1a6d9265ec01782a,12.0,0,1,0,2.0,1.0
636766ff1a6d9265ec017842,10.0,0,4,0,3.0,2.0
636766ff1a6d9265ec017851,10.0,0,1,0,3.0,3.0
636766ff1a6d9265ec017853,8.0,0,1,0,2.0,1.0
636766ff1a6d9265ec01783b,0.0,0,0,0,0.0,0.0
636766ff1a6d9265ec01784b,10.0,0,2,0,3.0,3.0
636767001a6d9265ec017873,6.0,0,2,0,1.0,0.0
636767021a6d9265ec0178b2,33.0,0,1,0,11.0,1.0
636767021a6d9265ec0178bb,5.0,0,2,0,3.0,2.0
636767021a6d9265ec0178bc,14.0,0,3,0,4.0,6.0
636767021a6d9265ec0178bf,0.0,0,0,0,0.0,0.0
636767031a6d9265ec0178dd,13.0,0,1,0,2.0,2.0
636767031a6d9265ec0178e6,10.0,0,3,0,3.0,2.0
636767031a6d9265ec0178ef,13.0,0,2,0,3.0,2.0
636767041a6d9265ec017911,7.0,0,2,0,2.0,1.0
636767041a6d9265ec0178f8,9.0,0,2,0,2.0,1.0
636767041a6d9265ec01790f,10.0,0,4,0,3.0,2.0
636767061a6d9265ec01794a,16.0,0,3,0,5.0,5.0
636767081a6d9265ec017989,15.0,0,2,0,4.0,3.0
636767081a6d9265ec0179a2,9.0,0,2,0,3.0,3.0
6367670a1a6d9265ec0179cf,5.0,0,2,0,2.0,1.0
6367670a1a6d9265ec0179d8,5.0,0,1,0,1.0,0.0
6367670a1a6d9265ec0179d9,5.0,0,2,0,2.0,1.0
6367670a1a6d9265ec0179dc,9.0,0,1,0,4.0,4.0
6367670a1a6d9265ec0179e7,0.0,0,0,0,0.0,0.0
6367670a1a6d9265ec0179e8,5.0,0,2,0,1.0,0.0
6367670a1a6d9265ec0179f1,13.0,0,3,0,3.0,4.0
6367670b1a6d9265ec0179f2,5.0,0,1,0,1.0,0.0
6367670b1a6d9265ec0179fe,5.0,0,2,0,1.0,0.0
6367670b1a6d9265ec0179ff,5.0,0,2,0,3.0,2.0
6367670b1a6d9265ec017a00,8.0,0,3,0,2.0,1.0
6367670b1a6d9265ec017a05,5.0,0,2,0,1.0,0.0
6367670b1a6d9265ec017a0f,13.0,0,2,0,6.0,5.0
6367670c1a6d9265ec017a35,12.0,0,3,0,6.0,6.0
6367670c1a6d9265ec017a2a,15.0,0,3,0,4.0,3.0
636767121a6d9265ec017b0a,12.0,0,1,0,4.0,4.0
636767131a6d9265ec017b23,5.0,0,1,0,1.0,0.0
636767151a6d9265ec017b6b,10.0,0,3,0,4.0,4.0
636767191a6d9265ec017c0f,0.0,0,0,0,0.0,0.0
6367671a1a6d9265ec017c15,19.0,0,1,0,7.0,5.0
6367672d1a6d9265ec017c73,9.0,0,1,0,3.0,2.0
6367672d1a6d9265ec017c74,17.0,0,1,0,3.0,5.0
6367672d1a6d9265ec017c78,9.0,0,1,0,2.0,1.0
636767431a6d9265ec017c88,9.0,0,2,0,2.0,1.0
636767431a6d9265ec017c8d,0.0,0,0,0,0.0,0.0
636767441a6d9265ec017cc1,10.0,0,1,0,1.0,0.0
636767461a6d9265ec017d0e,11.0,0,3,0,2.0,1.0
636767491a6d9265ec017d90,9.0,0,2,0,2.0,1.0
6367674a1a6d9265ec017da9,14.0,0,1,0,4.0,3.0
6367674a1a6d9265ec017dab,0.0,0,0,0,0.0,0.0
6367674b1a6d9265ec017dc0,0.0,0,0,0,0.0,0.0
6367674f1a6d9265ec017e74,9.0,0,1,0,2.0,1.0
636767501a6d9265ec017e86,5.0,0,1,0,1.0,0.0
