TaskID,LoC,Reliability,Maintainability,Security_Hotspots,CyC,CoC
6367667d1a6d9265ec017401,46.0,0,3,0,14.0,10.0
6367667d1a6d9265ec01741d,0.0,0,0,0,0.0,0.0
6367667e1a6d9265ec01743a,9.0,0,1,0,2.0,2.0
6367667f1a6d9265ec017457,4.0,0,18,0,13.0,29.0
6367667f1a6d9265ec01745d,26.0,0,2,0,9.0,12.0
636766801a6d9265ec017487,0.0,0,0,0,0.0,0.0
636766821a6d9265ec0174b6,29.0,0,3,0,7.0,15.0
636766821a6d9265ec0174bf,0.0,0,0,0,0.0,0.0
636766821a6d9265ec0174c9,14.0,0,2,0,4.0,4.0
636766831a6d9265ec0174eb,0.0,0,0,0,0.0,0.0
636766851a6d9265ec01751b,8.0,0,2,0,7.0,7.0
636766861a6d9265ec017553,5.0,0,1,0,1.0,0.0
636766861a6d9265ec01755a,13.0,0,1,0,3.0,3.0
636766a81a6d9265ec017586,10.0,0,1,0,3.0,2.0
636766a81a6d9265ec017595,10.0,0,1,0,2.0,1.0
636766a81a6d9265ec01758e,11.0,0,2,0,3.0,3.0
636766a91a6d9265ec0175ae,17.0,0,1,0,6.0,5.0
636766a91a6d9265ec0175c1,0.0,0,0,0,0.0,0.0
636766a91a6d9265ec0175c2,6.0,0,1,0,1.0,0.0
636766a91a6d9265ec0175c4,0.0,0,0,0,0.0,0.0
636766aa1a6d9265ec0175ce,0.0,0,0,0,0.0,0.0
636766ae1a6d9265ec0175d8,0.0,0,0,0,0.0,0.0
636766ae1a6d9265ec0175dc,0.0,0,0,0,0.0,0.0
636766f01a6d9265ec017639,6.0,0,3,0,2.0,1.0
636766f01a6d9265ec01762e,5.0,0,2,0,2.0,1.0
636766f01a6d9265ec01763e,0.0,0,0,0,0.0,0.0
636766f11a6d9265ec017641,4.0,0,1,0,2.0,1.0
636766f11a6d9265ec017651,9.0,0,2,0,3.0,3.0
636766f11a6d9265ec017658,14.0,0,2,0,3.0,2.0
636766f11a6d9265ec017663,11.0,0,2,0,5.0,5.0
636766f11a6d9265ec01764f,5.0,0,1,0,1.0,0.0
636766f21a6d9265ec017667,5.0,0,1,0,1.0,0.0
636766f21a6d9265ec017677,0.0,0,0,0,0.0,0.0
636766f21a6d9265ec01767d,0.0,0,0,0,0.0,0.0
636766f31a6d9265ec01768f,10.0,0,2,0,2.0,1.0
636766f61a6d9265ec017701,8.0,0,2,0,2.0,1.0
636766f71a6d9265ec017730,14.0,0,2,0,3.0,4.0
636766f81a6d9265ec017758,4.0,0,1,0,1.0,0.0
636766f81a6d9265ec01775b,5.0,0,1,0,1.0,0.0
636766f81a6d9265ec01775c,8.0,0,2,0,2.0,1.0
636766f91a6d9265ec01776e,0.0,0,0,0,0.0,0.0
636766f91a6d9265ec01777d,8.0,0,2,0,7.0,7.0
636766f91a6d9265ec01777f,9.0,0,2,0,2.0,2.0
636766fa1a6d9265ec017796,14.0,0,3,0,4.0,3.0
636766fa1a6d9265ec01779c,13.0,0,1,0,3.0,3.0
636766fa1a6d9265ec01779d,5.0,0,2,0,3.0,2.0
636766fa1a6d9265ec0177a4,12.0,0,3,0,3.0,2.0
636766fa1a6d9265ec0177a9,5.0,0,1,0,1.0,0.0
636766fb1a6d9265ec0177c1,0.0,0,0,0,0.0,0.0
636766fb1a6d9265ec0177c3,5.0,0,2,0,1.0,0.0
636766fc1a6d9265ec0177da,5.0,0,2,0,4.0,1.0
636766fc1a6d9265ec0177ef,21.0,0,2,0,6.0,7.0
636766fd1a6d9265ec017814,10.0,0,2,0,3.0,3.0
636766fe1a6d9265ec017821,0.0,0,0,0,0.0,0.0
636766fe1a6d9265ec017834,4.0,0,2,0,1.0,0.0
636766fe1a6d9265ec017838,14.0,0,2,0,4.0,3.0
636766fe1a6d9265ec01781c,4.0,0,2,0,1.0,0.0
636766fe1a6d9265ec01782a,8.0,0,1,0,1.0,0.0
636766ff1a6d9265ec017842,0.0,0,0,0,0.0,0.0
636766ff1a6d9265ec017851,0.0,0,0,0,0.0,0.0
636766ff1a6d9265ec017853,8.0,0,1,0,2.0,1.0
636766ff1a6d9265ec01783b,0.0,0,0,0,0.0,0.0
636766ff1a6d9265ec01784b,0.0,0,0,0,0.0,0.0
636767001a6d9265ec017873,8.0,0,2,0,2.0,1.0
636767021a6d9265ec0178b2,0.0,0,0,0,0.0,0.0
636767021a6d9265ec0178bb,9.0,0,2,0,3.0,3.0
636767021a6d9265ec0178bc,0.0,0,0,0,0.0,0.0
636767021a6d9265ec0178bf,4.0,0,1,0,3.0,3.0
636767031a6d9265ec0178dd,10.0,0,1,0,1.0,1.0
636767031a6d9265ec0178e6,12.0,0,2,0,3.0,2.0
636767031a6d9265ec0178ef,0.0,0,0,0,0.0,0.0
636767041a6d9265ec017911,7.0,0,2,0,2.0,1.0
636767041a6d9265ec0178f8,0.0,0,0,0,0.0,0.0
636767041a6d9265ec01790f,12.0,0,2,0,3.0,2.0
636767061a6d9265ec01794a,16.0,0,6,0,1.0,0.0
636767081a6d9265ec017989,15.0,0,2,0,4.0,5.0
636767081a6d9265ec0179a2,0.0,0,0,0,0.0,0.0
6367670a1a6d9265ec0179cf,4.0,0,2,0,2.0,1.0
6367670a1a6d9265ec0179d8,0.0,0,0,0,0.0,0.0
6367670a1a6d9265ec0179d9,5.0,0,2,0,2.0,1.0
6367670a1a6d9265ec0179dc,10.0,0,1,0,3.0,3.0
6367670a1a6d9265ec0179e7,0.0,0,0,0,0.0,0.0
6367670a1a6d9265ec0179e8,8.0,0,2,0,3.0,2.0
