TaskID,LoC,Reliability,Maintainability,Security_Hotspots,CyC,CoC
6367667d1a6d9265ec017401,49.0,0,3,0,13.0,11.0
6367667d1a6d9265ec01741d,0.0,0,0,0,0.0,0.0
6367667e1a6d9265ec01743a,9.0,0,1,0,2.0,2.0
6367667f1a6d9265ec017457,0.0,0,0,0,0.0,0.0
6367667f1a6d9265ec01745d,20.0,0,3,0,5.0,6.0
636766801a6d9265ec017487,19.0,0,2,0,6.0,7.0
636766821a6d9265ec0174b6,0.0,0,0,0,0.0,0.0
636766821a6d9265ec0174bf,0.0,0,0,0,0.0,0.0
636766821a6d9265ec0174c9,11.0,0,2,0,2.0,1.0
636766831a6d9265ec0174eb,7.0,0,1,0,2.0,1.0
636766851a6d9265ec01751b,13.0,0,2,0,7.0,7.0
636766861a6d9265ec017553,0.0,0,0,0,0.0,0.0
636766861a6d9265ec01755a,16.0,0,1,0,4.0,4.0
636766a81a6d9265ec017586,10.0,0,1,0,3.0,2.0
636766a81a6d9265ec017595,10.0,0,1,0,2.0,1.0
636766a81a6d9265ec01758e,0.0,0,0,0,0.0,0.0
636766a91a6d9265ec0175ae,0.0,0,0,0,0.0,0.0
636766a91a6d9265ec0175c1,0.0,0,0,0,0.0,0.0
636766a91a6d9265ec0175c2,4.0,0,1,0,1.0,0.0
636766a91a6d9265ec0175c4,0.0,0,0,0,0.0,0.0
636766aa1a6d9265ec0175ce,0.0,0,0,0,0.0,0.0
636766ae1a6d9265ec0175d8,0.0,0,0,0,0.0,0.0
636766ae1a6d9265ec0175dc,5.0,0,1,0,1.0,0.0
636766f01a6d9265ec017639,6.0,0,3,0,2.0,1.0
636766f01a6d9265ec01762e,5.0,0,2,0,2.0,1.0
636766f01a6d9265ec01763e,0.0,0,0,0,0.0,0.0
636766f11a6d9265ec017641,4.0,0,1,0,2.0,1.0
636766f11a6d9265ec017651,8.0,0,2,0,3.0,2.0
636766f11a6d9265ec017658,10.0,0,2,0,2.0,1.0
636766f11a6d9265ec017663,0.0,0,0,0,0.0,0.0
636766f11a6d9265ec01764f,5.0,0,1,0,1.0,0.0
636766f21a6d9265ec017667,0.0,0,0,0,0.0,0.0
636766f21a6d9265ec017677,5.0,0,2,0,1.0,0.0
636766f21a6d9265ec01767d,8.0,0,2,0,2.0,1.0
636766f31a6d9265ec01768f,8.0,0,2,0,2.0,1.0
636766f61a6d9265ec017701,0.0,0,0,0,0.0,0.0
636766f71a6d9265ec017730,0.0,0,0,0,0.0,0.0
636766f81a6d9265ec017758,10.0,0,1,0,5.0,3.0
636766f81a6d9265ec01775b,5.0,0,1,0,1.0,0.0
636766f81a6d9265ec01775c,0.0,0,0,0,0.0,0.0
636766f91a6d9265ec01776e,0.0,0,0,0,0.0,0.0
636766f91a6d9265ec01777d,11.0,0,2,0,7.0,6.0
636766f91a6d9265ec01777f,0.0,0,0,0,0.0,0.0
636766fa1a6d9265ec017796,12.0,0,3,0,3.0,2.0
636766fa1a6d9265ec01779c,9.0,0,1,0,3.0,2.0
636766fa1a6d9265ec01779d,5.0,0,2,0,2.0,1.0
636766fa1a6d9265ec0177a4,9.0,0,3,0,2.0,1.0
636766fa1a6d9265ec0177a9,8.0,0,1,0,2.0,1.0
636766fb1a6d9265ec0177c1,5.0,0,2,0,2.0,1.0
636766fb1a6d9265ec0177c3,5.0,0,2,0,1.0,0.0
636766fc1a6d9265ec0177da,5.0,0,2,0,3.0,1.0
636766fc1a6d9265ec0177ef,0.0,0,0,0,0.0,0.0
636766fd1a6d9265ec017814,0.0,0,0,0,0.0,0.0
636766fe1a6d9265ec017821,0.0,0,0,0,0.0,0.0
636766fe1a6d9265ec017834,0.0,0,0,0,0.0,0.0
636766fe1a6d9265ec017838,15.0,0,3,0,4.0,3.0
636766fe1a6d9265ec01781c,4.0,0,2,0,1.0,0.0
636766fe1a6d9265ec01782a,7.0,0,1,0,1.0,0.0
636766ff1a6d9265ec017842,0.0,0,0,0,0.0,0.0
636766ff1a6d9265ec017851,10.0,0,1,0,3.0,3.0
636766ff1a6d9265ec017853,10.0,0,1,0,2.0,1.0
636766ff1a6d9265ec01783b,9.0,0,3,0,6.0,5.0
636766ff1a6d9265ec01784b,9.0,0,3,0,5.0,5.0
636767001a6d9265ec017873,0.0,0,0,0,0.0,0.0
636767021a6d9265ec0178b2,22.0,0,1,0,11.0,1.0
636767021a6d9265ec0178bb,0.0,0,0,0,0.0,0.0
636767021a6d9265ec0178bc,0.0,0,0,0,0.0,0.0
636767021a6d9265ec0178bf,4.0,0,2,0,4.0,4.0
636767031a6d9265ec0178dd,9.0,0,1,0,1.0,1.0
636767031a6d9265ec0178e6,12.0,0,3,0,3.0,2.0
636767031a6d9265ec0178ef,0.0,0,0,0,0.0,0.0
636767041a6d9265ec017911,7.0,0,2,0,2.0,1.0
636767041a6d9265ec0178f8,0.0,0,0,0,0.0,0.0
636767041a6d9265ec01790f,12.0,0,3,0,3.0,2.0
636767061a6d9265ec01794a,7.0,0,3,0,1.0,0.0
636767081a6d9265ec017989,15.0,0,3,0,4.0,3.0
636767081a6d9265ec0179a2,8.0,0,2,0,3.0,3.0
6367670a1a6d9265ec0179cf,4.0,0,2,0,2.0,1.0
6367670a1a6d9265ec0179d8,0.0,0,0,0,0.0,0.0
6367670a1a6d9265ec0179d9,5.0,0,2,0,2.0,1.0
6367670a1a6d9265ec0179dc,7.0,0,1,0,2.0,1.0
6367670a1a6d9265ec0179e7,10.0,0,1,0,3.0,3.0
6367670a1a6d9265ec0179e8,8.0,0,2,0,3.0,2.0
6367670a1a6d9265ec0179f1,12.0,0,2,0,3.0,2.0
6367670b1a6d9265ec0179f2,4.0,0,1,0,1.0,0.0
6367670b1a6d9265ec0179fe,4.0,0,2,0,1.0,0.0
6367670b1a6d9265ec0179ff,8.0,0,2,0,3.0,2.0
6367670b1a6d9265ec017a00,5.0,0,2,0,1.0,0.0
6367670b1a6d9265ec017a05,5.0,0,2,0,1.0,0.0
6367670b1a6d9265ec017a0f,10.0,0,2,0,3.0,3.0
6367670c1a6d9265ec017a35,12.0,0,2,0,4.0,4.0
6367670c1a6d9265ec017a2a,15.0,0,3,0,4.0,3.0
636767121a6d9265ec017b0a,12.0,0,1,0,3.0,3.0
636767131a6d9265ec017b23,5.0,0,1,0,1.0,0.0
636767151a6d9265ec017b6b,0.0,0,0,0,0.0,0.0
636767191a6d9265ec017c0f,7.0,0,1,0,1.0,0.0
6367671a1a6d9265ec017c15,22.0,0,1,0,6.0,5.0
6367672d1a6d9265ec017c73,0.0,0,0,0,0.0,0.0
6367672d1a6d9265ec017c74,9.0,0,1,0,2.0,1.0
6367672d1a6d9265ec017c78,9.0,0,1,0,2.0,1.0
636767431a6d9265ec017c88,9.0,0,1,0,2.0,1.0
636767431a6d9265ec017c8d,11.0,0,2,0,3.0,2.0
636767441a6d9265ec017cc1,8.0,0,1,0,1.0,0.0
636767461a6d9265ec017d0e,11.0,0,1,0,2.0,1.0
636767491a6d9265ec017d90,14.0,0,2,0,5.0,3.0
6367674a1a6d9265ec017da9,14.0,0,2,0,4.0,3.0
6367674a1a6d9265ec017dab,4.0,0,3,0,2.0,1.0
6367674b1a6d9265ec017dc0,10.0,0,2,0,2.0,1.0
6367674f1a6d9265ec017e74,5.0,0,1,0,1.0,0.0
636767501a6d9265ec017e86,4.0,0,1,0,1.0,0.0
636767511a6d9265ec017eb0,11.0,0,1,0,3.0,3.0
636767511a6d9265ec017eb6,12.0,0,1,0,3.0,3.0
636767521a6d9265ec017ecc,13.0,0,2,0,1.0,0.0
636767531a6d9265ec017ef1,0.0,0,0,0,0.0,0.0
636767551a6d9265ec017f3f,7.0,0,2,0,1.0,0.0
636767561a6d9265ec017f63,4.0,0,1,0,1.0,0.0
636767561a6d9265ec017f7c,7.0,0,1,0,1.0,0.0
636767581a6d9265ec017fb4,0.0,0,0,0,0.0,0.0
636767581a6d9265ec017fc4,8.0,0,2,0,2.0,2.0
6367675c1a6d9265ec018058,4.0,0,2,0,2.0,0.0
6367675c1a6d9265ec01805b,10.0,0,1,0,3.0,2.0
6367675d1a6d9265ec018082,4.0,0,1,0,1.0,0.0
6367675f1a6d9265ec0180cf,0.0,0,0,0,0.0,0.0
6367675f1a6d9265ec0180d3,4.0,0,3,0,1.0,0.0
636767601a6d9265ec0180e2,16.0,0,1,0,4.0,6.0
636767611a6d9265ec018112,9.0,0,1,0,2.0,2.0
