TaskID,LoC,Reliability,Maintainability,Security_Hotspots,CyC,CoC
Java-1,17.0,0,5,0,3.0,1.0
Java-2,19.0,0,7,0,4.0,3.0
Java-3,11.0,0,6,0,2.0,0.0
Java-4,34.0,0,5,0,3.0,1.0
Java-5,29.0,0,5,0,9.0,14.0
Java-6,39.0,0,6,0,14.0,23.0
Java-7,12.0,0,7,0,2.0,0.0
Java-8,18.0,0,5,0,4.0,3.0
Java-9,20.0,0,5,0,5.0,6.0
Java-10,12.0,0,7,0,2.0,0.0
Java-11,20.0,0,5,0,4.0,3.0
Java-12,20.0,0,5,0,2.0,0.0
Java-13,32.0,0,4,0,4.0,3.0
Java-14,33.0,0,5,0,9.0,16.0
Java-15,34.0,0,5,0,3.0,1.0
Java-16,34.0,0,8,0,8.0,7.0
Java-17,75.0,0,4,0,4.0,2.0
Java-18,44.0,0,5,0,12.0,25.0
Java-19,29.0,0,8,0,5.0,5.0
Java-20,21.0,0,4,0,3.0,1.0
Java-21,21.0,0,4,0,4.0,3.0
Java-22,36.0,0,7,0,10.0,12.0
Java-23,18.0,0,5,0,4.0,3.0
Java-24,26.0,0,4,0,5.0,6.0
Java-25,26.0,0,4,0,6.0,7.0
Java-26,16.0,0,4,0,3.0,1.0
Java-27,21.0,0,4,0,4.0,3.0
Java-28,26.0,0,4,0,5.0,4.0
Java-29,22.0,0,4,0,5.0,6.0
Java-30,20.0,0,4,0,5.0,5.0
Java-31,30.0,0,4,0,6.0,7.0
Java-32,0.0,0,0,0,0.0,0.0
Java-33,21.0,0,4,0,3.0,1.0
Java-34,20.0,0,5,0,5.0,4.0
Java-35,28.0,0,5,0,6.0,7.0
Java-36,22.0,0,5,0,4.0,3.0
Java-37,21.0,0,5,0,5.0,6.0
Java-38,20.0,0,8,0,5.0,4.0
Java-39,19.0,3,5,0,4.0,2.0
Java-40,40.0,0,5,0,5.0,6.0
Java-41,13.0,3,7,0,2.0,0.0
Java-42,27.0,0,6,0,6.0,7.0
Java-43,28.0,0,5,0,8.0,10.0
Java-44,34.0,0,5,0,6.0,7.0
Java-45,11.0,0,6,0,2.0,0.0
Java-46,75.0,0,5,0,13.0,11.0
Java-47,26.0,0,8,0,7.0,5.0
Java-48,32.0,0,6,0,6.0,7.0
Java-49,32.0,0,5,0,6.0,8.0
Java-50,70.0,3,5,0,3.0,1.0
Java-51,26.0,0,5,0,6.0,7.0
Java-52,19.0,0,5,0,4.0,3.0
Java-53,19.0,0,5,0,4.0,3.0
