TaskID,LoC,Reliability,Maintainability,Security_Hotspots,CyC,CoC
Java-1,17.0,0,5,0,3.0,1.0
Java-2,20.0,0,8,0,5.0,6.0
Java-3,11.0,0,6,0,2.0,0.0
Java-4,51.0,0,5,0,8.0,10.0
Java-5,26.0,0,4,0,6.0,8.0
Java-6,31.0,0,7,0,11.0,16.0
Java-7,0.0,0,0,0,0.0,0.0
Java-8,18.0,0,5,0,4.0,3.0
Java-9,20.0,0,6,0,5.0,6.0
Java-10,12.0,0,7,0,2.0,0.0
Java-11,21.0,0,5,0,5.0,6.0
Java-12,21.0,0,5,0,2.0,0.0
Java-13,32.0,0,7,0,4.0,3.0
Java-14,32.0,0,9,0,9.0,16.0
Java-15,32.0,0,9,0,3.0,1.0
Java-16,24.0,0,8,0,4.0,2.0
Java-17,74.0,0,5,0,4.0,2.0
Java-18,44.0,0,5,0,11.0,16.0
Java-19,33.0,0,10,0,7.0,7.0
Java-20,21.0,0,8,0,3.0,1.0
Java-21,26.0,0,4,0,5.0,4.0
Java-22,21.0,0,10,0,3.0,1.0
Java-23,18.0,0,7,0,4.0,3.0
Java-24,21.0,0,6,0,4.0,4.0
Java-25,24.0,0,4,0,5.0,4.0
Java-26,17.0,0,5,0,3.0,1.0
Java-27,19.0,0,6,0,3.0,1.0
Java-28,25.0,0,8,0,5.0,4.0
Java-29,27.0,0,5,0,6.0,8.0
Java-30,25.0,0,7,0,6.0,9.0
Java-31,27.0,0,4,0,5.0,6.0
Java-32,29.0,0,6,0,5.0,4.0
Java-33,21.0,0,4,0,3.0,1.0
Java-34,11.0,0,8,0,2.0,0.0
Java-35,28.0,0,6,0,6.0,7.0
Java-36,22.0,0,7,0,4.0,3.0
Java-37,15.0,0,5,0,3.0,1.0
Java-38,11.0,0,10,0,3.0,1.0
Java-39,19.0,3,5,0,4.0,2.0
Java-40,38.0,0,5,0,5.0,6.0
Java-41,13.0,3,5,0,2.0,0.0
Java-42,23.0,0,6,0,6.0,7.0
Java-43,25.0,0,10,0,6.0,7.0
Java-44,34.0,0,5,0,6.0,7.0
Java-45,11.0,0,6,0,2.0,0.0
Java-46,0.0,0,5,0,0.0,0.0
Java-47,14.0,0,9,0,2.0,0.0
Java-48,22.0,0,7,0,6.0,7.0
Java-49,11.0,0,6,0,2.0,0.0
Java-50,80.0,3,5,0,7.0,7.0
Java-51,12.0,0,6,0,2.0,0.0
Java-52,15.0,0,5,0,3.0,1.0
Java-53,17.0,0,7,0,3.0,1.0
