TaskID,LoC,Reliability,Maintainability,Security_Hotspots,CyC,CoC
Java-1,17.0,0,5,0,3.0,1.0
Java-2,18.0,0,7,0,4.0,3.0
Java-3,11.0,0,6,0,2.0,0.0
Java-4,34.0,0,5,0,3.0,1.0
Java-5,27.0,0,4,0,7.0,9.0
Java-6,26.0,0,5,0,5.0,6.0
Java-7,12.0,0,6,0,2.0,0.0
Java-8,18.0,0,5,0,4.0,3.0
Java-9,20.0,0,5,0,5.0,6.0
Java-10,12.0,0,7,0,2.0,0.0
Java-11,25.0,0,5,0,6.0,7.0
Java-12,45.0,0,5,0,9.0,1.0
Java-13,32.0,0,4,0,4.0,3.0
Java-14,33.0,0,5,0,9.0,16.0
Java-15,32.0,0,5,0,3.0,1.0
Java-16,26.0,0,8,0,6.0,5.0
Java-17,74.0,0,4,0,4.0,2.0
Java-18,46.0,0,4,0,13.0,12.0
Java-19,30.0,0,9,0,6.0,5.0
Java-20,22.0,0,4,0,3.0,1.0
Java-21,17.0,0,4,0,3.0,1.0
Java-22,21.0,0,7,0,3.0,1.0
Java-23,18.0,0,5,0,4.0,3.0
Java-24,21.0,0,5,0,4.0,4.0
Java-25,16.0,0,4,0,3.0,1.0
Java-26,16.0,0,4,0,3.0,1.0
Java-27,20.0,0,4,0,3.0,1.0
Java-28,25.0,0,4,0,5.0,4.0
Java-29,21.0,0,5,0,5.0,5.0
Java-30,24.0,0,4,0,7.0,7.0
Java-31,28.0,0,4,0,5.0,7.0
Java-32,29.0,0,4,0,5.0,4.0
Java-33,20.0,0,4,0,3.0,1.0
Java-34,11.0,0,5,0,2.0,0.0
Java-35,28.0,0,5,0,6.0,7.0
Java-36,22.0,0,5,0,4.0,3.0
Java-37,15.0,0,5,0,3.0,1.0
Java-38,11.0,0,8,0,3.0,1.0
Java-39,16.0,3,5,0,3.0,1.0
Java-40,38.0,0,5,0,5.0,6.0
Java-41,13.0,3,5,0,2.0,0.0
Java-42,31.0,0,6,0,7.0,10.0
Java-43,23.0,0,5,0,7.0,9.0
Java-44,30.0,0,5,0,4.0,3.0
Java-45,20.0,0,5,0,3.0,2.0
Java-46,61.0,0,6,0,13.0,25.0
Java-47,24.0,0,8,0,4.0,2.0
Java-48,30.0,0,6,0,6.0,7.0
Java-49,11.0,0,6,0,2.0,0.0
Java-50,70.0,3,5,0,3.0,1.0
Java-51,20.0,0,5,0,4.0,3.0
Java-52,15.0,0,5,0,3.0,1.0
Java-53,23.0,0,5,0,5.0,5.0
