TaskID,LoC,Reliability,Maintainability,Security_Hotspots,CyC,CoC
Java-1,17.0,0,5,0,3.0,1.0
Java-2,20.0,0,7,0,5.0,5.0
Java-3,11.0,0,6,0,2.0,0.0
Java-4,36.0,0,5,0,3.0,1.0
Java-5,19.0,0,4,0,4.0,3.0
Java-6,0.0,0,0,0,0.0,0.0
Java-7,12.0,0,6,0,2.0,0.0
Java-8,18.0,0,5,0,4.0,3.0
Java-9,20.0,0,5,0,5.0,6.0
Java-10,0.0,0,0,0,0.0,0.0
Java-11,20.0,0,5,0,4.0,3.0
Java-12,21.0,0,5,0,2.0,1.0
Java-13,31.0,0,4,0,4.0,3.0
Java-14,33.0,0,4,0,7.0,14.0
Java-15,37.0,0,5,0,4.0,2.0
Java-16,27.0,0,8,0,5.0,5.0
Java-17,81.0,0,4,0,7.0,6.0
Java-18,55.0,0,5,0,12.0,18.0
Java-19,28.0,0,8,0,6.0,6.0
Java-20,21.0,0,4,0,3.0,1.0
Java-21,0.0,0,0,0,0.0,0.0
Java-22,42.0,0,8,0,9.0,21.0
Java-23,18.0,0,5,0,4.0,3.0
Java-24,30.0,0,4,0,6.0,8.0
Java-25,20.0,0,4,0,4.0,2.0
Java-26,16.0,0,4,0,3.0,1.0
Java-27,22.0,0,4,0,5.0,6.0
Java-28,19.0,0,4,0,3.0,1.0
Java-29,22.0,0,4,0,5.0,4.0
Java-30,22.0,0,4,0,5.0,5.0
Java-31,0.0,0,0,0,0.0,0.0
Java-32,27.0,0,4,0,4.0,3.0
Java-33,17.0,0,4,0,3.0,1.0
Java-34,11.0,0,5,0,2.0,0.0
Java-35,19.0,0,5,0,3.0,1.0
Java-36,22.0,0,5,0,4.0,3.0
Java-37,17.0,0,5,0,4.0,3.0
Java-38,11.0,0,8,0,3.0,1.0
Java-39,16.0,3,5,0,3.0,1.0
Java-40,46.0,0,6,0,7.0,16.0
Java-41,13.0,3,5,0,2.0,0.0
Java-42,20.0,0,6,0,4.0,3.0
Java-43,0.0,0,0,0,0.0,0.0
Java-44,30.0,0,5,0,4.0,3.0
Java-45,11.0,0,7,0,2.0,0.0
Java-46,47.0,0,5,0,8.0,6.0
Java-47,26.0,1,8,0,15.0,7.0
Java-48,18.0,0,6,0,3.0,1.0
Java-49,23.0,0,5,0,5.0,7.0
Java-50,70.0,3,5,0,3.0,1.0
Java-51,18.0,0,5,0,4.0,3.0
Java-52,17.0,0,5,0,3.0,1.0
Java-53,20.0,0,5,0,4.0,3.0
