TaskID,LoC,Reliability,Maintainability,Security_Hotspots,CyC,CoC
Java-1,20.0,0,5,0,5.0,3.0
Java-2,19.0,0,7,0,4.0,3.0
Java-3,11.0,0,6,0,2.0,0.0
Java-4,35.0,0,5,0,4.0,2.0
Java-5,24.0,0,4,0,8.0,11.0
Java-6,23.0,0,5,0,5.0,6.0
Java-7,12.0,0,6,0,2.0,0.0
Java-8,18.0,0,5,0,4.0,3.0
Java-9,12.0,0,6,0,2.0,0.0
Java-10,35.0,0,7,0,9.0,9.0
Java-11,20.0,0,5,0,4.0,3.0
Java-12,24.0,0,6,0,2.0,1.0
Java-13,32.0,0,4,0,4.0,3.0
Java-14,35.0,0,6,0,11.0,18.0
Java-15,32.0,0,5,0,3.0,1.0
Java-16,27.0,0,8,0,6.0,6.0
Java-17,74.0,0,4,0,4.0,2.0
Java-18,32.0,0,4,0,8.0,12.0
Java-19,30.0,0,9,0,7.0,8.0
Java-20,21.0,0,4,0,3.0,1.0
Java-21,22.0,0,4,0,4.0,3.0
Java-22,21.0,0,7,0,3.0,1.0
Java-23,18.0,0,5,0,4.0,3.0
Java-24,29.0,0,5,0,6.0,10.0
Java-25,27.0,0,4,0,6.0,5.0
Java-26,18.0,0,4,0,3.0,1.0
Java-27,18.0,0,5,0,3.0,1.0
Java-28,29.0,0,4,0,6.0,6.0
Java-29,21.0,0,4,0,5.0,6.0
Java-30,20.0,0,4,0,5.0,5.0
Java-31,15.0,0,4,0,2.0,0.0
Java-32,31.0,0,4,0,6.0,7.0
Java-33,19.0,0,4,0,3.0,1.0
Java-34,17.0,0,5,0,4.0,2.0
Java-35,24.0,0,5,0,5.0,4.0
Java-36,22.0,0,5,0,4.0,3.0
Java-37,25.0,0,5,0,5.0,4.0
Java-38,11.0,0,8,0,3.0,1.0
Java-39,19.0,3,5,0,4.0,3.0
Java-40,43.0,0,6,0,11.0,24.0
Java-41,21.0,3,5,0,5.0,4.0
Java-42,0.0,0,0,0,0.0,0.0
Java-43,35.0,0,5,0,11.0,13.0
Java-44,47.0,0,6,0,13.0,19.0
Java-45,32.0,0,5,0,7.0,7.0
Java-46,50.0,0,5,0,8.0,6.0
Java-47,16.0,0,8,0,2.0,0.0
Java-48,35.0,0,8,0,7.0,8.0
Java-49,22.0,0,5,0,4.0,4.0
Java-50,70.0,3,5,0,3.0,1.0
Java-51,22.0,0,5,0,5.0,4.0
Java-52,18.0,0,5,0,4.0,3.0
Java-53,15.0,0,5,0,3.0,1.0
