TaskID,LoC,Reliability,Maintainability,Security_Hotspots,CyC,CoC
Java-1,13.0,0,5,0,2.0,0.0
Java-2,20.0,0,7,0,5.0,6.0
Java-3,11.0,0,6,0,2.0,0.0
Java-4,35.0,0,5,0,4.0,2.0
Java-5,12.0,0,4,0,2.0,0.0
Java-6,26.0,0,5,0,6.0,7.0
Java-7,12.0,0,6,0,2.0,0.0
Java-8,18.0,0,5,0,4.0,3.0
Java-9,20.0,0,5,0,6.0,5.0
Java-10,11.0,0,5,0,2.0,0.0
Java-11,28.0,0,5,0,6.0,5.0
Java-12,21.0,0,5,0,2.0,0.0
Java-13,32.0,0,4,0,4.0,3.0
Java-14,32.0,0,6,0,9.0,16.0
Java-15,31.0,0,5,0,3.0,1.0
Java-16,13.0,0,8,0,2.0,0.0
Java-17,74.0,0,4,0,4.0,2.0
Java-18,32.0,0,4,0,8.0,12.0
Java-19,26.0,0,9,0,6.0,7.0
Java-20,22.0,0,4,0,3.0,1.0
Java-21,22.0,0,4,0,4.0,3.0
Java-22,21.0,0,7,0,3.0,1.0
Java-23,18.0,0,5,0,4.0,3.0
Java-24,29.0,0,5,0,6.0,10.0
Java-25,11.0,0,4,0,2.0,0.0
Java-26,18.0,0,4,0,3.0,1.0
Java-27,18.0,0,5,0,3.0,1.0
Java-28,28.0,0,4,0,5.0,4.0
Java-29,20.0,0,4,0,5.0,6.0
Java-30,24.0,0,4,0,6.0,6.0
Java-31,13.0,0,4,0,2.0,0.0
Java-32,29.0,0,4,0,5.0,4.0
Java-33,19.0,0,4,0,3.0,1.0
Java-34,16.0,0,5,0,3.0,2.0
Java-35,24.0,0,5,0,5.0,4.0
Java-36,22.0,0,5,0,4.0,3.0
Java-37,19.0,0,5,0,4.0,2.0
Java-38,14.0,0,8,0,3.0,1.0
Java-39,10.0,3,5,0,2.0,0.0
Java-40,49.0,0,6,0,14.0,26.0
Java-41,23.0,3,5,0,5.0,4.0
Java-42,12.0,0,6,0,2.0,0.0
Java-43,11.0,0,5,0,2.0,0.0
Java-44,49.0,0,6,0,12.0,19.0
Java-45,31.0,0,5,0,7.0,7.0
Java-46,64.0,0,5,0,11.0,9.0
Java-47,17.0,0,8,0,2.0,0.0
Java-48,35.0,0,7,0,6.0,7.0
Java-49,24.0,0,5,0,6.0,6.0
Java-50,70.0,3,5,0,3.0,1.0
Java-51,22.0,0,5,0,5.0,4.0
Java-52,11.0,0,7,0,2.0,0.0
Java-53,17.0,0,5,0,3.0,1.0
