TaskID,LoC,Reliability,Maintainability,Security_Hotspots,CyC,CoC
Java-1,17.0,0,5,0,3.0,1.0
Java-2,19.0,0,7,0,4.0,3.0
Java-3,11.0,0,6,0,2.0,0.0
Java-4,31.0,0,5,0,2.0,0.0
Java-5,12.0,0,4,0,2.0,0.0
Java-6,26.0,0,5,0,6.0,7.0
Java-7,12.0,0,6,0,2.0,0.0
Java-8,11.0,0,5,0,2.0,0.0
Java-9,19.0,0,5,0,5.0,4.0
Java-10,11.0,0,5,0,2.0,0.0
Java-11,26.0,0,5,0,5.0,4.0
Java-12,21.0,0,5,0,2.0,0.0
Java-13,32.0,0,4,0,4.0,3.0
Java-14,31.0,0,5,0,9.0,15.0
Java-15,32.0,0,5,0,3.0,1.0
Java-16,13.0,0,8,0,2.0,0.0
Java-17,74.0,0,4,0,4.0,2.0
Java-18,32.0,0,4,0,8.0,12.0
Java-19,33.0,0,8,0,8.0,10.0
Java-20,22.0,0,4,0,3.0,1.0
Java-21,21.0,0,5,0,4.0,3.0
Java-22,21.0,0,7,0,3.0,1.0
Java-23,18.0,0,5,0,4.0,3.0
Java-24,21.0,0,5,0,4.0,4.0
Java-25,11.0,0,4,0,2.0,0.0
Java-26,18.0,0,4,0,3.0,1.0
Java-27,18.0,0,5,0,3.0,1.0
Java-28,12.0,0,4,0,2.0,0.0
Java-29,21.0,0,4,0,5.0,6.0
Java-30,11.0,0,4,0,2.0,0.0
Java-31,13.0,0,4,0,2.0,0.0
Java-32,31.0,0,5,0,5.0,5.0
Java-33,22.0,0,4,0,4.0,3.0
Java-34,15.0,0,5,0,3.0,2.0
Java-35,24.0,0,5,0,5.0,4.0
Java-36,22.0,0,5,0,4.0,3.0
Java-37,20.0,0,5,0,5.0,4.0
Java-38,11.0,0,8,0,3.0,1.0
Java-39,10.0,3,5,0,2.0,0.0
Java-40,81.0,0,10,0,24.0,38.0
Java-41,12.0,3,5,0,2.0,0.0
Java-42,12.0,0,6,0,2.0,0.0
Java-43,11.0,0,5,0,2.0,0.0
Java-44,41.0,0,6,0,10.0,20.0
Java-45,25.0,0,5,0,7.0,11.0
Java-46,63.0,0,5,0,10.0,13.0
Java-47,14.0,0,8,0,2.0,0.0
Java-48,24.0,0,7,0,6.0,7.0
Java-49,21.0,0,5,0,4.0,4.0
Java-50,70.0,3,5,0,3.0,1.0
Java-51,22.0,0,5,0,5.0,4.0
Java-52,0.0,0,0,0,0.0,0.0
Java-53,16.0,0,5,0,3.0,1.0
