Directory,Model,Method,TaskID,LoC,Reliability,Maintainability,Security_Hotspots,CyC,CoC
CoderEval-Python-CodeLlama-7B-GPTQ,CodeLlama-7B,GPTQ,62b438a266fea644fe22cc2d,10.0,0,0,0,3.0,4.0
CoderEval-Python-CodeLlama-7B-GPTQ,CodeLlama-7B,GPTQ,62b438a266fea644fe22cc2e,0.0,0,0,0,0.0,0.0
CoderEval-Python-CodeLlama-7B-GPTQ,CodeLlama-7B,GPTQ,62b438b666fea644fe22cc72,2.0,0,0,0,1.0,0.0
CoderEval-Python-CodeLlama-7B-GPTQ,CodeLlama-7B,GPTQ,62b438b666fea644fe22cc78,10.0,0,0,0,1.0,0.0
CoderEval-Python-CodeLlama-7B-GPTQ,CodeLlama-7B,GPTQ,62b45665d7d32e5b55cc8364,10.0,0,0,0,3.0,4.0
CoderEval-Python-CodeLlama-7B-GPTQ,CodeLlama-7B,GPTQ,62b45665d7d32e5b55cc8365,0.0,0,0,0,0.0,0.0
CoderEval-Python-CodeLlama-7B-GPTQ,CodeLlama-7B,GPTQ,62b45679d7d32e5b55cc83a9,2.0,0,0,0,1.0,0.0
CoderEval-Python-CodeLlama-7B-GPTQ,CodeLlama-7B,GPTQ,62b4567ad7d32e5b55cc83af,10.0,0,0,0,1.0,0.0
CoderEval-Python-CodeLlama-7B-GPTQ,CodeLlama-7B,GPTQ,62b4567ed7d32e5b55cc83d9,12.0,0,0,0,5.0,12.0
CoderEval-Python-CodeLlama-7B-GPTQ,CodeLlama-7B,GPTQ,62b45df05108cfac7f2109ce,0.0,0,0,0,0.0,0.0
CoderEval-Python-CodeLlama-7B-GPTQ,CodeLlama-7B,GPTQ,62b45df15108cfac7f2109dc,2.0,0,0,0,1.0,0.0
CoderEval-Python-CodeLlama-7B-GPTQ,CodeLlama-7B,GPTQ,62b45df15108cfac7f2109dd,2.0,0,0,0,1.0,0.0
CoderEval-Python-CodeLlama-7B-GPTQ,CodeLlama-7B,GPTQ,62b45e145108cfac7f210a07,23.0,0,1,0,5.0,15.0
CoderEval-Python-CodeLlama-7B-GPTQ,CodeLlama-7B,GPTQ,62b45e145108cfac7f210a09,0.0,0,0,0,0.0,0.0
CoderEval-Python-CodeLlama-7B-GPTQ,CodeLlama-7B,GPTQ,62b45e165108cfac7f210a16,0.0,0,0,0,0.0,0.0
CoderEval-Python-CodeLlama-7B-GPTQ,CodeLlama-7B,GPTQ,62b45e165108cfac7f210a17,5.0,0,0,0,2.0,1.0
CoderEval-Python-CodeLlama-7B-GPTQ,CodeLlama-7B,GPTQ,62b45e175108cfac7f210a19,35.0,0,6,0,13.0,20.0
CoderEval-Python-CodeLlama-7B-GPTQ,CodeLlama-7B,GPTQ,62b45e21e0d4551b0392c8ed,7.0,0,0,0,2.0,3.0
CoderEval-Python-CodeLlama-7B-GPTQ,CodeLlama-7B,GPTQ,62b45e23e0d4551b0392c90a,11.0,0,1,0,3.0,3.0
CoderEval-Python-CodeLlama-7B-GPTQ,CodeLlama-7B,GPTQ,62b45e2eb89c9fd354170232,4.0,0,0,0,1.0,0.0
CoderEval-Python-CodeLlama-7B-GPTQ,CodeLlama-7B,GPTQ,62b45e515108cfac7f210a3c,3.0,0,0,0,1.0,0.0
CoderEval-Python-CodeLlama-7B-GPTQ,CodeLlama-7B,GPTQ,62b45e945108cfac7f210a4a,8.0,0,0,0,3.0,3.0
CoderEval-Python-CodeLlama-7B-GPTQ,CodeLlama-7B,GPTQ,62b463153879012d19481498,2.0,0,0,0,2.0,0.0
CoderEval-Python-CodeLlama-7B-GPTQ,CodeLlama-7B,GPTQ,62b463153879012d1948149a,9.0,0,1,0,5.0,7.0
CoderEval-Python-CodeLlama-7B-GPTQ,CodeLlama-7B,GPTQ,62b463153879012d1948149b,2.0,0,0,0,2.0,1.0
CoderEval-Python-CodeLlama-7B-GPTQ,CodeLlama-7B,GPTQ,62b463153879012d1948149c,2.0,0,0,0,2.0,0.0
CoderEval-Python-CodeLlama-7B-GPTQ,CodeLlama-7B,GPTQ,62b463153879012d1948149d,4.0,0,0,0,2.0,1.0
CoderEval-Python-CodeLlama-7B-GPTQ,CodeLlama-7B,GPTQ,62b463153879012d1948149f,15.0,0,0,0,4.0,3.0
CoderEval-Python-CodeLlama-7B-GPTQ,CodeLlama-7B,GPTQ,62b463153879012d194814a1,2.0,0,0,0,1.0,0.0
CoderEval-Python-CodeLlama-7B-GPTQ,CodeLlama-7B,GPTQ,62b463163879012d194814a2,2.0,0,0,0,1.0,0.0
CoderEval-Python-CodeLlama-7B-GPTQ,CodeLlama-7B,GPTQ,62b463163879012d194814a4,2.0,0,0,0,1.0,0.0
CoderEval-Python-CodeLlama-7B-GPTQ,CodeLlama-7B,GPTQ,62b463163879012d194814a6,3.0,0,0,0,1.0,0.0
CoderEval-Python-CodeLlama-7B-GPTQ,CodeLlama-7B,GPTQ,62b4631b3879012d194814dd,2.0,0,0,0,1.0,0.0
CoderEval-Python-CodeLlama-7B-GPTQ,CodeLlama-7B,GPTQ,62b463283879012d1948153d,6.0,0,0,0,3.0,3.0
CoderEval-Python-CodeLlama-7B-GPTQ,CodeLlama-7B,GPTQ,62b463303879012d19481579,9.0,0,0,0,3.0,4.0
CoderEval-Python-CodeLlama-7B-GPTQ,CodeLlama-7B,GPTQ,62b46740d2f69a53b466171a,6.0,0,0,0,3.0,2.0
CoderEval-Python-CodeLlama-7B-GPTQ,CodeLlama-7B,GPTQ,62b46746d2f69a53b4661722,2.0,0,0,0,1.0,0.0
CoderEval-Python-CodeLlama-7B-GPTQ,CodeLlama-7B,GPTQ,62b86707b4d922cb0e688c2a,5.0,0,0,0,2.0,0.0
CoderEval-Python-CodeLlama-7B-GPTQ,CodeLlama-7B,GPTQ,62b86729b4d922cb0e688c2f,35.0,0,0,0,1.0,0.0
CoderEval-Python-CodeLlama-7B-GPTQ,CodeLlama-7B,GPTQ,62b869eab4d922cb0e688cbf,4.0,0,0,0,3.0,3.0
CoderEval-Python-CodeLlama-7B-GPTQ,CodeLlama-7B,GPTQ,62b869eab4d922cb0e688cc5,14.0,0,0,0,4.0,6.0
CoderEval-Python-CodeLlama-7B-GPTQ,CodeLlama-7B,GPTQ,62b869ebb4d922cb0e688cc6,23.0,0,0,0,6.0,14.0
CoderEval-Python-CodeLlama-7B-GPTQ,CodeLlama-7B,GPTQ,62b86a01b4d922cb0e688ccc,10.0,0,1,0,3.0,5.0
CoderEval-Python-CodeLlama-7B-GPTQ,CodeLlama-7B,GPTQ,62b86a4fb4d922cb0e688cf7,5.0,0,0,0,2.0,2.0
CoderEval-Python-CodeLlama-7B-GPTQ,CodeLlama-7B,GPTQ,62b86a4fb4d922cb0e688cf8,6.0,0,0,0,3.0,2.0
CoderEval-Python-CodeLlama-7B-GPTQ,CodeLlama-7B,GPTQ,62b86a9eb4d922cb0e688d25,0.0,0,0,0,0.0,0.0
CoderEval-Python-CodeLlama-7B-GPTQ,CodeLlama-7B,GPTQ,62b86aa3b4d922cb0e688d36,4.0,0,0,0,2.0,1.0
CoderEval-Python-CodeLlama-7B-GPTQ,CodeLlama-7B,GPTQ,62b87af09a0c4fa8b80b34f1,8.0,0,0,0,7.0,6.0
CoderEval-Python-CodeLlama-7B-GPTQ,CodeLlama-7B,GPTQ,62b87af19a0c4fa8b80b34f7,10.0,0,0,0,4.0,5.0
CoderEval-Python-CodeLlama-7B-GPTQ,CodeLlama-7B,GPTQ,62b87af69a0c4fa8b80b351a,2.0,0,0,0,2.0,1.0
CoderEval-Python-CodeLlama-7B-GPTQ,CodeLlama-7B,GPTQ,62b87af99a0c4fa8b80b3524,2.0,0,0,0,1.0,0.0
CoderEval-Python-CodeLlama-7B-GPTQ,CodeLlama-7B,GPTQ,62b87b099a0c4fa8b80b3538,2.0,0,0,0,2.0,1.0
CoderEval-Python-CodeLlama-7B-GPTQ,CodeLlama-7B,GPTQ,62b87b199a0c4fa8b80b354c,0.0,0,0,0,0.0,0.0
CoderEval-Python-CodeLlama-7B-GPTQ,CodeLlama-7B,GPTQ,62b87b199a0c4fa8b80b354e,6.0,0,0,0,1.0,1.0
CoderEval-Python-CodeLlama-7B-GPTQ,CodeLlama-7B,GPTQ,62b87b4f9a0c4fa8b80b3580,2.0,0,0,0,1.0,0.0
CoderEval-Python-CodeLlama-7B-GPTQ,CodeLlama-7B,GPTQ,62b87b4f9a0c4fa8b80b3581,14.0,0,1,0,7.0,8.0
CoderEval-Python-CodeLlama-7B-GPTQ,CodeLlama-7B,GPTQ,62b87b519a0c4fa8b80b3583,11.0,0,0,0,5.0,4.0
CoderEval-Python-CodeLlama-7B-GPTQ,CodeLlama-7B,GPTQ,62b87b7e9a0c4fa8b80b35bc,5.0,0,0,0,3.0,3.0
CoderEval-Python-CodeLlama-7B-GPTQ,CodeLlama-7B,GPTQ,62b87b839a0c4fa8b80b35cb,6.0,0,0,0,3.0,3.0
CoderEval-Python-CodeLlama-7B-GPTQ,CodeLlama-7B,GPTQ,62b87b859a0c4fa8b80b35d7,8.0,0,0,0,1.0,0.0
CoderEval-Python-CodeLlama-7B-GPTQ,CodeLlama-7B,GPTQ,62b87b869a0c4fa8b80b35e1,0.0,0,0,0,0.0,0.0
CoderEval-Python-CodeLlama-7B-GPTQ,CodeLlama-7B,GPTQ,62b87b989a0c4fa8b80b35ee,3.0,0,0,0,1.0,0.0
CoderEval-Python-CodeLlama-7B-GPTQ,CodeLlama-7B,GPTQ,62b87d23d292efb640a55667,6.0,0,0,0,2.0,0.0
CoderEval-Python-CodeLlama-7B-GPTQ,CodeLlama-7B,GPTQ,62b87d23d292efb640a55668,14.0,0,0,0,1.0,0.0
CoderEval-Python-CodeLlama-7B-GPTQ,CodeLlama-7B,GPTQ,62b87d23d292efb640a5566b,39.0,0,1,0,16.0,18.0
CoderEval-Python-CodeLlama-7B-GPTQ,CodeLlama-7B,GPTQ,62b87d24d292efb640a55670,5.0,0,1,0,1.0,1.0
CoderEval-Python-CodeLlama-7B-GPTQ,CodeLlama-7B,GPTQ,62b87d24d292efb640a5566d,2.0,0,0,0,2.0,1.0
CoderEval-Python-CodeLlama-7B-GPTQ,CodeLlama-7B,GPTQ,62b87d24d292efb640a5566f,7.0,0,0,0,2.0,3.0
CoderEval-Python-CodeLlama-7B-GPTQ,CodeLlama-7B,GPTQ,62b89640755ee91dce50a114,7.0,0,0,0,3.0,2.0
CoderEval-Python-CodeLlama-7B-GPTQ,CodeLlama-7B,GPTQ,62b8982f755ee91dce50a241,2.0,0,0,0,1.0,0.0
CoderEval-Python-CodeLlama-7B-GPTQ,CodeLlama-7B,GPTQ,62b8a4a4755ee91dce50a3d2,4.0,0,0,0,2.0,1.0
CoderEval-Python-CodeLlama-7B-GPTQ,CodeLlama-7B,GPTQ,62b8a7b2755ee91dce50a4a7,4.0,0,0,0,2.0,1.0
CoderEval-Python-CodeLlama-7B-GPTQ,CodeLlama-7B,GPTQ,62b8b3d4eb7e40a82d2d110d,2.0,0,0,0,1.0,0.0
CoderEval-Python-CodeLlama-7B-GPTQ,CodeLlama-7B,GPTQ,62b8b3d4eb7e40a82d2d110e,2.0,0,0,0,2.0,1.0
CoderEval-Python-CodeLlama-7B-GPTQ,CodeLlama-7B,GPTQ,62b8b3d4eb7e40a82d2d110f,2.0,0,0,0,1.0,0.0
CoderEval-Python-CodeLlama-7B-GPTQ,CodeLlama-7B,GPTQ,62b8b3d5eb7e40a82d2d1110,6.0,0,0,0,1.0,1.0
CoderEval-Python-CodeLlama-7B-GPTQ,CodeLlama-7B,GPTQ,62b8b3d6eb7e40a82d2d111c,19.0,0,0,0,2.0,9.0
CoderEval-Python-CodeLlama-7B-GPTQ,CodeLlama-7B,GPTQ,62b8b416eb7e40a82d2d1129,5.0,0,0,0,3.0,2.0
CoderEval-Python-CodeLlama-7B-GPTQ,CodeLlama-7B,GPTQ,62b8b4b9eb7e40a82d2d1134,5.0,0,1,0,2.0,2.0
CoderEval-Python-CodeLlama-7B-GPTQ,CodeLlama-7B,GPTQ,62b8b4baeb7e40a82d2d1136,0.0,0,0,0,0.0,0.0
CoderEval-Python-CodeLlama-7B-GPTQ,CodeLlama-7B,GPTQ,62b8b4baeb7e40a82d2d1137,16.0,0,1,0,2.0,6.0
CoderEval-Python-CodeLlama-7B-GPTQ,CodeLlama-7B,GPTQ,62b8b4c1eb7e40a82d2d1139,12.0,0,1,0,6.0,5.0
CoderEval-Python-CodeLlama-7B-GPTQ,CodeLlama-7B,GPTQ,62b8b559eb7e40a82d2d11f6,6.0,0,1,0,3.0,2.0
CoderEval-Python-CodeLlama-7B-GPTQ,CodeLlama-7B,GPTQ,62b8b559eb7e40a82d2d11f8,6.0,0,1,0,3.0,3.0
CoderEval-Python-CodeLlama-7B-GPTQ,CodeLlama-7B,GPTQ,62b8b58deb7e40a82d2d1269,2.0,0,1,0,1.0,0.0
CoderEval-Python-CodeLlama-7B-GPTQ,CodeLlama-7B,GPTQ,62b8b590eb7e40a82d2d1275,2.0,0,1,0,1.0,0.0
CoderEval-Python-CodeLlama-7B-GPTQ,CodeLlama-7B,GPTQ,62b8b59feb7e40a82d2d1291,2.0,0,1,0,1.0,0.0
CoderEval-Python-CodeLlama-7B-GPTQ,CodeLlama-7B,GPTQ,62b8d22548ba5a41d1c3f472,11.0,0,1,0,5.0,5.0
CoderEval-Python-CodeLlama-7B-GPTQ,CodeLlama-7B,GPTQ,62b8d22948ba5a41d1c3f47c,2.0,0,0,0,1.0,0.0
CoderEval-Python-CodeLlama-7B-GPTQ,CodeLlama-7B,GPTQ,62b8d22a48ba5a41d1c3f47d,10.0,0,0,0,2.0,3.0
CoderEval-Python-CodeLlama-7B-GPTQ,CodeLlama-7B,GPTQ,62b8d22a48ba5a41d1c3f47e,6.0,0,0,0,2.0,2.0
CoderEval-Python-CodeLlama-7B-GPTQ,CodeLlama-7B,GPTQ,62b8d22f48ba5a41d1c3f488,9.0,0,0,0,2.0,2.0
CoderEval-Python-CodeLlama-7B-GPTQ,CodeLlama-7B,GPTQ,62b8d23748ba5a41d1c3f496,34.0,0,3,0,7.0,8.0
