TaskID,LoC,Reliability,Maintainability,Security_Hotspots,CyC,CoC
BigCodeBench/0,11.0,0,0,0,3.0,3.0
BigCodeBench/1,9.0,0,0,0,2.0,1.0
BigCodeBench/2,8.0,0,1,0,2.0,1.0
BigCodeBench/3,6.0,0,1,0,1.0,0.0
BigCodeBench/4,7.0,0,0,0,2.0,1.0
BigCodeBench/5,12.0,0,2,0,4.0,4.0
BigCodeBench/6,9.0,0,0,0,3.0,1.0
BigCodeBench/7,10.0,0,0,0,1.0,0.0
BigCodeBench/8,9.0,0,2,0,1.0,0.0
BigCodeBench/9,9.0,0,0,0,1.0,0.0
BigCodeBench/10,14.0,0,4,0,2.0,1.0
BigCodeBench/11,10.0,0,2,0,1.0,0.0
BigCodeBench/12,19.0,0,2,0,2.0,1.0
BigCodeBench/13,20.0,0,2,0,2.0,4.0
BigCodeBench/14,24.0,0,0,0,4.0,6.0
BigCodeBench/15,26.0,0,0,0,4.0,5.0
BigCodeBench/16,14.0,0,0,0,4.0,3.0
BigCodeBench/17,13.0,0,0,0,2.0,2.0
BigCodeBench/18,19.0,0,0,0,4.0,3.0
BigCodeBench/19,11.0,0,0,0,3.0,2.0
BigCodeBench/20,12.0,0,0,0,1.0,0.0
BigCodeBench/21,12.0,0,0,0,1.0,0.0
BigCodeBench/22,10.0,0,1,0,1.0,0.0
BigCodeBench/23,6.0,0,2,0,2.0,1.0
BigCodeBench/24,9.0,0,1,0,3.0,2.0
BigCodeBench/25,8.0,0,0,0,1.0,0.0
BigCodeBench/26,9.0,0,0,0,1.0,0.0
BigCodeBench/27,8.0,0,1,0,1.0,0.0
BigCodeBench/28,8.0,0,0,0,1.0,0.0
BigCodeBench/29,8.0,0,0,0,1.0,0.0
BigCodeBench/30,23.0,0,3,0,8.0,9.0
BigCodeBench/31,13.0,0,0,0,3.0,1.0
BigCodeBench/32,10.0,0,0,0,2.0,2.0
BigCodeBench/33,5.0,0,0,0,1.0,0.0
BigCodeBench/34,9.0,0,0,0,1.0,0.0
BigCodeBench/35,9.0,0,0,0,4.0,4.0
BigCodeBench/36,15.0,0,0,0,4.0,4.0
BigCodeBench/37,16.0,0,1,0,1.0,0.0
BigCodeBench/38,16.0,0,1,0,1.0,0.0
BigCodeBench/39,16.0,0,4,0,1.0,0.0
BigCodeBench/40,10.0,0,0,0,1.0,0.0
BigCodeBench/41,11.0,0,0,0,1.0,0.0
BigCodeBench/42,17.0,0,1,0,1.0,0.0
BigCodeBench/43,14.0,0,1,0,3.0,2.0
BigCodeBench/44,13.0,0,1,0,2.0,1.0
BigCodeBench/45,15.0,0,1,0,1.0,0.0
BigCodeBench/46,9.0,0,0,0,2.0,1.0
BigCodeBench/47,17.0,0,1,0,1.0,0.0
BigCodeBench/48,14.0,0,0,0,2.0,2.0
BigCodeBench/49,12.0,0,0,0,2.0,1.0
BigCodeBench/50,25.0,0,1,0,2.0,1.0
BigCodeBench/51,16.0,0,2,0,2.0,2.0
BigCodeBench/52,8.0,0,0,0,1.0,0.0
BigCodeBench/53,13.0,0,1,0,1.0,0.0
BigCodeBench/54,10.0,0,0,0,2.0,0.0
BigCodeBench/55,11.0,0,0,0,3.0,1.0
BigCodeBench/56,7.0,0,0,0,1.0,0.0
BigCodeBench/57,11.0,0,0,0,1.0,0.0
BigCodeBench/58,14.0,0,0,0,1.0,0.0
BigCodeBench/59,19.0,0,1,0,1.0,2.0
BigCodeBench/60,8.0,0,0,0,1.0,0.0
BigCodeBench/61,22.0,0,1,0,1.0,0.0
BigCodeBench/62,6.0,0,0,0,1.0,0.0
BigCodeBench/63,7.0,0,0,0,1.0,0.0
BigCodeBench/64,11.0,0,0,0,1.0,0.0
BigCodeBench/65,12.0,1,0,0,0.0,0.0
BigCodeBench/66,12.0,0,0,0,1.0,0.0
BigCodeBench/67,10.0,0,0,0,4.0,6.0
BigCodeBench/68,9.0,0,0,0,1.0,0.0
BigCodeBench/69,13.0,0,1,0,1.0,0.0
BigCodeBench/70,25.0,0,1,0,3.0,3.0
BigCodeBench/71,12.0,0,0,0,1.0,0.0
BigCodeBench/72,26.0,0,2,0,6.0,9.0
BigCodeBench/73,20.0,0,1,0,1.0,0.0
BigCodeBench/74,25.0,0,0,0,2.0,3.0
BigCodeBench/75,27.0,0,1,0,10.0,10.0
BigCodeBench/76,14.0,0,1,0,1.0,0.0
BigCodeBench/77,18.0,0,0,0,3.0,5.0
BigCodeBench/78,12.0,0,1,0,2.0,1.0
BigCodeBench/79,10.0,0,1,0,2.0,1.0
BigCodeBench/80,12.0,0,0,0,2.0,0.0
BigCodeBench/81,13.0,0,1,0,2.0,0.0
BigCodeBench/82,39.0,0,3,0,6.0,1.0
BigCodeBench/83,15.0,0,1,0,1.0,0.0
BigCodeBench/84,31.0,0,2,0,11.0,10.0
BigCodeBench/85,25.0,0,5,0,2.0,1.0
BigCodeBench/86,14.0,0,3,0,1.0,0.0
BigCodeBench/87,12.0,0,1,0,2.0,1.0
BigCodeBench/88,15.0,0,1,0,1.0,0.0
BigCodeBench/89,24.0,0,2,0,1.0,0.0
BigCodeBench/90,17.0,0,0,0,4.0,2.0
BigCodeBench/91,14.0,0,1,0,3.0,2.0
BigCodeBench/92,19.0,0,2,0,4.0,3.0
BigCodeBench/93,14.0,0,2,0,1.0,0.0
BigCodeBench/94,12.0,0,1,0,1.0,0.0
BigCodeBench/95,17.0,0,0,0,7.0,7.0
BigCodeBench/96,11.0,0,1,0,1.0,0.0
BigCodeBench/97,9.0,0,0,0,1.0,0.0
BigCodeBench/98,9.0,0,1,0,1.0,0.0
BigCodeBench/99,17.0,0,0,0,1.0,0.0
BigCodeBench/100,23.0,0,3,0,2.0,1.0
BigCodeBench/101,14.0,0,1,0,1.0,1.0
BigCodeBench/102,11.0,0,0,0,1.0,0.0
BigCodeBench/103,14.0,0,1,0,3.0,2.0
BigCodeBench/104,14.0,0,1,0,4.0,3.0
BigCodeBench/105,19.0,0,0,0,4.0,3.0
BigCodeBench/106,20.0,0,1,0,3.0,2.0
BigCodeBench/107,15.0,0,2,0,3.0,2.0
