Directory,Model,Method,LoC,Reliability,Maintainability,Security_Hotspots,CyC,CoC
BCB-Python-CodeLlama-7B-FP,CodeLlama-7B,FP,17484.0,22,819,0,2726.0,2109.0
BCB-Python-CodeLlama-7B-AWQ,CodeLlama-7B,AWQ,17414.0,27,788,0,2848.0,2273.0
BCB-Python-CodeLlama-7B-GPTQ,CodeLlama-7B,GPTQ,17776.0,17,804,0,2832.0,2170.0
BCB-Python-CodeLlama-7B-BitsAndBytes,CodeLlama-7B,BitsAndBytes,16070.0,15,782,0,2688.0,2051.0
BCB-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,17006.0,32,883,0,3179.0,2446.0
BCB-Python-CodeLlama-7B-GGUF,CodeLlama-7B,GGUF,15623.0,17,735,0,2675.0,1988.0
BCB-Python-CodeLlama-7B-QUIP,CodeLlama-7B,QUIP,15703.0,43,886,0,2641.0,1883.0
BCB-Python-Qwen2.5-Coder-7B-FP,Qwen2.5-Coder-7B,FP,17281.0,21,670,0,2975.0,2492.0
BCB-Python-Qwen2.5-Coder-7B-AWQ,Qwen2.5-Coder-7B,AWQ,17184.0,12,631,0,2905.0,2409.0
BCB-Python-Qwen2.5-Coder-7B-GPTQ,Qwen2.5-Coder-7B,GPTQ,17320.0,11,679,0,2927.0,2458.0
BCB-Python-Qwen2.5-Coder-7B-BitsAndBytes,Qwen2.5-Coder-7B,BitsAndBytes,17909.0,30,771,0,3088.0,2718.0
BCB-Python-Qwen2.5-Coder-7B-AQLM,Qwen2.5-Coder-7B,AQLM,17278.0,19,667,0,2987.0,2577.0
BCB-Python-Qwen2.5-Coder-7B-GGUF,Qwen2.5-Coder-7B,GGUF,17148.0,22,664,0,2983.0,2565.0
BCB-Python-Qwen2.5-Coder-7B-QUIP,Qwen2.5-Coder-7B,QUIP,16547.0,14,733,0,2841.0,2207.0
