Directory,Model,Method,TaskID,LoC,Reliability,Maintainability,Security_Hotspots,CyC,CoC
CoderEval-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,62b438a266fea644fe22cc2d,6.0,0,0,0,1.0,0.0
CoderEval-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,62b438a266fea644fe22cc2e,25.0,0,5,0,1.0,0.0
CoderEval-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,62b438b666fea644fe22cc72,2.0,0,0,0,1.0,0.0
CoderEval-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,62b438b666fea644fe22cc78,0.0,0,0,0,0.0,0.0
CoderEval-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,62b45665d7d32e5b55cc8364,6.0,0,0,0,1.0,0.0
CoderEval-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,62b45665d7d32e5b55cc8365,0.0,0,0,0,0.0,0.0
CoderEval-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,62b45679d7d32e5b55cc83a9,2.0,0,0,0,1.0,0.0
CoderEval-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,62b4567ad7d32e5b55cc83af,0.0,0,0,0,0.0,0.0
CoderEval-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,62b4567ed7d32e5b55cc83d9,15.0,0,1,0,6.0,18.0
CoderEval-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,62b45df05108cfac7f2109ce,5.0,0,0,0,2.0,2.0
CoderEval-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,62b45df15108cfac7f2109dc,2.0,0,0,0,1.0,0.0
CoderEval-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,62b45df15108cfac7f2109dd,2.0,0,0,0,1.0,0.0
CoderEval-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,62b45e145108cfac7f210a07,0.0,0,0,0,0.0,0.0
CoderEval-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,62b45e145108cfac7f210a09,8.0,0,0,0,4.0,5.0
CoderEval-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,62b45e165108cfac7f210a16,26.0,0,1,0,17.0,65.0
CoderEval-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,62b45e165108cfac7f210a17,5.0,0,1,0,2.0,1.0
CoderEval-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,62b45e175108cfac7f210a19,26.0,0,1,0,10.0,15.0
CoderEval-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,62b45e21e0d4551b0392c8ed,7.0,0,0,0,2.0,3.0
CoderEval-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,62b45e23e0d4551b0392c90a,22.0,0,5,0,9.0,12.0
CoderEval-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,62b45e2eb89c9fd354170232,4.0,0,0,0,1.0,0.0
CoderEval-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,62b45e515108cfac7f210a3c,0.0,0,0,0,0.0,0.0
CoderEval-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,62b45e945108cfac7f210a4a,12.0,0,0,0,5.0,10.0
