Directory,Model,Method,LoC,Reliability,Maintainability,Security_Hotspots,CyC,CoC
CoderEval-Python-CodeLlama-7B-FP,CodeLlama-7B,FP,1378.0,24,100,0,489.0,507.0
CoderEval-Python-CodeLlama-7B-AWQ,CodeLlama-7B,AWQ,1255.0,5,71,0,420.0,392.0
CoderEval-Python-CodeLlama-7B-GPTQ,CodeLlama-7B,GPTQ,1316.0,4,47,0,442.0,424.0
CoderEval-Python-CodeLlama-7B-BitsAndBytes,CodeLlama-7B,BitsAndBytes,1195.0,1,91,0,432.0,400.0
CoderEval-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,1460.0,4,142,0,526.0,560.0
CoderEval-Python-CodeLlama-7B-GGUF,CodeLlama-7B,GGUF,1365.0,15,102,0,475.0,522.0
CoderEval-Python-CodeLlama-7B-QUIP,CodeLlama-7B,QUIP,1138.0,9,52,0,433.0,416.0
CoderEval-Python-Qwen2.5-Coder-7B-FP,Qwen2.5-Coder-7B,FP,988.0,1,39,0,350.0,315.0
CoderEval-Python-Qwen2.5-Coder-7B-AWQ,Qwen2.5-Coder-7B,AWQ,1500.0,23,36,0,500.0,495.0
CoderEval-Python-Qwen2.5-Coder-7B-GPTQ,Qwen2.5-Coder-7B,GPTQ,1487.0,32,41,0,488.0,515.0
CoderEval-Python-Qwen2.5-Coder-7B-BitsAndBytes,Qwen2.5-Coder-7B,BitsAndBytes,1618.0,23,47,0,526.0,533.0
CoderEval-Python-Qwen2.5-Coder-7B-AQLM,Qwen2.5-Coder-7B,AQLM,1469.0,5,28,0,509.0,498.0
CoderEval-Python-Qwen2.5-Coder-7B-GGUF,Qwen2.5-Coder-7B,GGUF,1541.0,12,33,0,524.0,540.0
CoderEval-Python-Qwen2.5-Coder-7B-QUIP,Qwen2.5-Coder-7B,QUIP,1367.0,23,48,0,461.0,428.0
