Directory,Model,Method,TaskID,LoC,Reliability,Maintainability,Security_Hotspots,CyC,CoC
McEval-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,Python-7,11.0,0,1,0,2.0,0.0
McEval-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,Python-8,28.0,0,2,0,10.0,17.0
McEval-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,Python-9,19.0,0,0,0,7.0,5.0
McEval-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,Python-10,14.0,0,0,0,3.0,1.0
McEval-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,Python-11,17.0,0,2,0,4.0,4.0
McEval-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,Python-12,29.0,0,3,0,3.0,1.0
McEval-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,Python-13,39.0,0,0,0,7.0,10.0
McEval-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,Python-14,60.0,0,2,0,53.0,51.0
McEval-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,Python-15,39.0,0,14,0,4.0,2.0
McEval-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,Python-16,27.0,0,0,0,4.0,2.0
McEval-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,Python-17,12.0,0,1,0,2.0,0.0
McEval-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,Python-18,12.0,0,1,0,2.0,0.0
McEval-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,Python-19,9.0,0,1,0,2.0,0.0
McEval-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,Python-20,14.0,0,1,0,3.0,1.0
McEval-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,Python-21,23.0,0,0,0,5.0,4.0
McEval-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,Python-22,9.0,0,1,0,2.0,0.0
McEval-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,Python-24,17.0,0,0,0,5.0,3.0
McEval-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,Python-25,20.0,0,0,0,6.0,4.0
McEval-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,Python-26,22.0,0,0,0,6.0,8.0
McEval-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,Python-27,19.0,0,1,0,2.0,0.0
McEval-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,Python-28,21.0,0,3,0,2.0,0.0
McEval-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,Python-29,8.0,0,1,0,2.0,0.0
McEval-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,Python-31,14.0,0,4,0,2.0,0.0
McEval-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,Python-32,29.0,0,3,0,2.0,0.0
McEval-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,Python-33,20.0,0,0,0,2.0,0.0
McEval-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,Python-34,20.0,0,0,0,5.0,3.0
McEval-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,Python-35,21.0,0,0,0,5.0,4.0
McEval-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,Python-36,13.0,0,1,0,3.0,1.0
McEval-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,Python-37,20.0,0,3,0,2.0,0.0
McEval-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,Python-38,20.0,0,2,0,2.0,0.0
