Directory,Model,Method,LoC,Reliability,Maintainability,Security_Hotspots,CyC,CoC
McEval-Python-CodeLlama-7B-FP,CodeLlama-7B,FP,1025.0,1,64,0,207.0,215.0
McEval-Python-CodeLlama-7B-AWQ,CodeLlama-7B,AWQ,977.0,2,32,0,201.0,177.0
McEval-Python-CodeLlama-7B-GPTQ,CodeLlama-7B,GPTQ,1007.0,0,88,0,215.0,226.0
McEval-Python-CodeLlama-7B-BitsAndBytes,CodeLlama-7B,BitsAndBytes,925.0,2,51,0,187.0,168.0
McEval-Python-CodeLlama-7B-AQLM,CodeLlama-7B,AQLM,860.0,0,51,0,194.0,138.0
McEval-Python-CodeLlama-7B-GGUF,CodeLlama-7B,GGUF,949.0,0,26,0,194.0,187.0
McEval-Python-CodeLlama-7B-run2-QUIP,CodeLlama-7B-run2,QUIP,1006.0,2,80,0,198.0,194.0
McEval-Python-Qwen2.5-Coder-7B-FP,Qwen2.5-Coder-7B,FP,816.0,0,25,0,150.0,107.0
McEval-Python-Qwen2.5-Coder-7B-AWQ,Qwen2.5-Coder-7B,AWQ,817.0,0,26,0,157.0,106.0
McEval-Python-Qwen2.5-Coder-7B-GPTQ,Qwen2.5-Coder-7B,GPTQ,779.0,0,30,0,134.0,80.0
McEval-Python-Qwen2.5-Coder-7B-BitsAndBytes,Qwen2.5-Coder-7B,BitsAndBytes,984.0,1,25,0,223.0,224.0
McEval-Python-Qwen2.5-Coder-7B-AQLM,Qwen2.5-Coder-7B,AQLM,958.0,1,33,0,210.0,212.0
McEval-Python-Qwen2.5-Coder-7B-GGUF,Qwen2.5-Coder-7B,GGUF,953.0,0,31,0,205.0,193.0
McEval-Python-Qwen2.5-Coder-7B-QUIP,Qwen2.5-Coder-7B,QUIP,944.0,1,24,0,194.0,157.0
