TaskID,Pass
BigCodeBench/0,0
BigCodeBench/1,1
BigCodeBench/2,0
BigCodeBench/3,1
BigCodeBench/4,1
BigCodeBench/5,0
BigCodeBench/6,0
BigCodeBench/7,1
BigCodeBench/8,0
BigCodeBench/9,1
BigCodeBench/10,0
BigCodeBench/11,1
BigCodeBench/12,0
BigCodeBench/13,0
BigCodeBench/14,0
BigCodeBench/15,0
BigCodeBench/16,0
BigCodeBench/17,0
BigCodeBench/18,0
BigCodeBench/19,0
BigCodeBench/20,0
BigCodeBench/21,0
BigCodeBench/22,0
BigCodeBench/23,0
BigCodeBench/24,1
BigCodeBench/25,1
BigCodeBench/26,0
BigCodeBench/27,1
BigCodeBench/28,0
BigCodeBench/29,0
BigCodeBench/30,0
BigCodeBench/31,0
BigCodeBench/32,0
BigCodeBench/33,1
BigCodeBench/34,0
BigCodeBench/35,0
BigCodeBench/36,0
BigCodeBench/37,0
BigCodeBench/38,1
BigCodeBench/39,0
BigCodeBench/40,0
BigCodeBench/41,0
BigCodeBench/42,0
BigCodeBench/43,1
BigCodeBench/44,0
BigCodeBench/45,0
BigCodeBench/46,0
BigCodeBench/47,0
BigCodeBench/48,1
BigCodeBench/49,0
BigCodeBench/50,0
BigCodeBench/51,0
BigCodeBench/52,0
BigCodeBench/53,0
BigCodeBench/54,0
BigCodeBench/55,0
BigCodeBench/56,0
BigCodeBench/57,1
BigCodeBench/58,1
BigCodeBench/59,0
BigCodeBench/60,1
BigCodeBench/61,0
BigCodeBench/62,0
BigCodeBench/63,0
BigCodeBench/64,0
BigCodeBench/65,0
BigCodeBench/66,0
BigCodeBench/67,0
BigCodeBench/68,1
BigCodeBench/69,1
BigCodeBench/70,0
BigCodeBench/71,1
BigCodeBench/72,0
BigCodeBench/73,0
BigCodeBench/74,0
BigCodeBench/75,0
BigCodeBench/76,0
BigCodeBench/77,0
BigCodeBench/78,0
BigCodeBench/79,0
BigCodeBench/80,1
BigCodeBench/81,0
BigCodeBench/82,0
BigCodeBench/83,0
BigCodeBench/84,0
BigCodeBench/85,0
BigCodeBench/86,0
BigCodeBench/87,0
BigCodeBench/88,0
BigCodeBench/89,0
BigCodeBench/90,0
BigCodeBench/91,0
BigCodeBench/92,0
BigCodeBench/93,0
BigCodeBench/94,0
BigCodeBench/95,0
BigCodeBench/96,1
BigCodeBench/97,0
BigCodeBench/98,1
BigCodeBench/99,1
BigCodeBench/100,0
BigCodeBench/101,0
BigCodeBench/102,0
BigCodeBench/103,0
BigCodeBench/104,0
BigCodeBench/105,0
BigCodeBench/106,0
BigCodeBench/107,0
BigCodeBench/108,0
BigCodeBench/109,0
BigCodeBench/110,0
BigCodeBench/111,0
BigCodeBench/112,1
BigCodeBench/113,0
BigCodeBench/114,0
BigCodeBench/115,0
BigCodeBench/116,0
BigCodeBench/117,0
BigCodeBench/118,1
BigCodeBench/119,1
BigCodeBench/120,0
BigCodeBench/121,0
BigCodeBench/122,1
BigCodeBench/123,0
BigCodeBench/124,0
BigCodeBench/125,0
BigCodeBench/126,0
BigCodeBench/127,0
BigCodeBench/128,0
BigCodeBench/129,0
BigCodeBench/130,0
BigCodeBench/131,0
BigCodeBench/132,0
BigCodeBench/133,0
BigCodeBench/134,1
BigCodeBench/135,0
BigCodeBench/136,1
BigCodeBench/137,1
BigCodeBench/138,0
BigCodeBench/139,0
BigCodeBench/140,1
BigCodeBench/141,1
BigCodeBench/142,1
BigCodeBench/143,0
BigCodeBench/144,0
BigCodeBench/145,0
BigCodeBench/146,0
BigCodeBench/147,0
BigCodeBench/148,1
BigCodeBench/149,0
BigCodeBench/150,0
BigCodeBench/151,0
BigCodeBench/152,0
BigCodeBench/153,1
BigCodeBench/154,0
BigCodeBench/155,0
BigCodeBench/156,0
BigCodeBench/157,0
BigCodeBench/158,0
BigCodeBench/159,0
BigCodeBench/160,0
BigCodeBench/161,0
BigCodeBench/162,0
BigCodeBench/163,0
BigCodeBench/164,0
BigCodeBench/165,1
BigCodeBench/166,0
BigCodeBench/167,0
BigCodeBench/168,0
BigCodeBench/169,1
BigCodeBench/170,1
BigCodeBench/171,1
BigCodeBench/172,0
BigCodeBench/173,0
BigCodeBench/174,1
BigCodeBench/175,0
BigCodeBench/176,0
BigCodeBench/177,0
BigCodeBench/178,0
BigCodeBench/179,0
BigCodeBench/180,0
BigCodeBench/181,1
BigCodeBench/182,0
BigCodeBench/183,0
BigCodeBench/184,0
BigCodeBench/185,0
BigCodeBench/186,0
BigCodeBench/187,0
BigCodeBench/188,0
BigCodeBench/189,0
BigCodeBench/190,0
BigCodeBench/191,0
BigCodeBench/192,0
BigCodeBench/193,0
BigCodeBench/194,0
BigCodeBench/195,0
BigCodeBench/196,0
BigCodeBench/197,1
BigCodeBench/198,1
BigCodeBench/199,0
BigCodeBench/200,0
BigCodeBench/201,1
BigCodeBench/202,0
BigCodeBench/203,0
BigCodeBench/204,1
BigCodeBench/205,0
BigCodeBench/206,0
BigCodeBench/207,0
BigCodeBench/208,0
BigCodeBench/209,0
BigCodeBench/210,0
BigCodeBench/211,0
BigCodeBench/212,0
BigCodeBench/213,1
BigCodeBench/214,0
BigCodeBench/215,0
BigCodeBench/216,1
BigCodeBench/217,0
BigCodeBench/218,0
BigCodeBench/219,0
BigCodeBench/220,0
BigCodeBench/221,0
BigCodeBench/222,0
BigCodeBench/223,0
BigCodeBench/224,0
BigCodeBench/225,0
BigCodeBench/226,0
BigCodeBench/227,0
BigCodeBench/228,1
BigCodeBench/229,0
BigCodeBench/230,1
BigCodeBench/231,0
BigCodeBench/232,0
BigCodeBench/233,0
BigCodeBench/234,0
BigCodeBench/235,0
BigCodeBench/236,1
BigCodeBench/237,0
BigCodeBench/238,0
BigCodeBench/239,0
BigCodeBench/240,1
BigCodeBench/241,0
BigCodeBench/242,0
BigCodeBench/243,1
BigCodeBench/244,0
BigCodeBench/245,0
BigCodeBench/246,0
BigCodeBench/247,0
BigCodeBench/248,0
BigCodeBench/249,1
BigCodeBench/250,0
BigCodeBench/251,0
BigCodeBench/252,0
BigCodeBench/253,1
BigCodeBench/254,0
BigCodeBench/255,0
BigCodeBench/256,0
BigCodeBench/257,0
BigCodeBench/258,0
BigCodeBench/259,0
BigCodeBench/260,1
BigCodeBench/261,0
BigCodeBench/262,1
BigCodeBench/263,1
BigCodeBench/264,0
BigCodeBench/265,1
BigCodeBench/266,0
BigCodeBench/267,0
BigCodeBench/268,0
BigCodeBench/269,0
BigCodeBench/270,1
BigCodeBench/271,0
BigCodeBench/272,1
BigCodeBench/273,0
BigCodeBench/274,0
BigCodeBench/275,1
BigCodeBench/276,0
BigCodeBench/277,1
BigCodeBench/278,0
BigCodeBench/279,0
BigCodeBench/280,0
BigCodeBench/281,1
BigCodeBench/282,0
BigCodeBench/283,0
BigCodeBench/284,0
BigCodeBench/285,0
BigCodeBench/286,1
BigCodeBench/287,1
BigCodeBench/288,1
BigCodeBench/289,0
BigCodeBench/290,0
BigCodeBench/291,0
BigCodeBench/292,0
BigCodeBench/293,0
BigCodeBench/294,0
BigCodeBench/295,1
BigCodeBench/296,0
BigCodeBench/297,0
BigCodeBench/298,0
BigCodeBench/299,0
BigCodeBench/300,0
BigCodeBench/301,0
BigCodeBench/302,0
BigCodeBench/303,0
BigCodeBench/304,0
BigCodeBench/305,0
BigCodeBench/306,0
BigCodeBench/307,0
BigCodeBench/308,0
BigCodeBench/309,0
BigCodeBench/310,0
BigCodeBench/311,0
BigCodeBench/312,1
BigCodeBench/313,1
BigCodeBench/314,0
BigCodeBench/315,1
BigCodeBench/316,0
BigCodeBench/317,0
BigCodeBench/318,0
BigCodeBench/319,0
BigCodeBench/320,0
BigCodeBench/321,0
BigCodeBench/322,0
BigCodeBench/323,0
BigCodeBench/324,0
BigCodeBench/325,1
BigCodeBench/326,0
BigCodeBench/327,0
BigCodeBench/328,1
BigCodeBench/329,0
BigCodeBench/330,1
BigCodeBench/331,0
BigCodeBench/332,0
BigCodeBench/333,1
BigCodeBench/334,0
BigCodeBench/335,1
BigCodeBench/336,0
BigCodeBench/337,0
BigCodeBench/338,0
BigCodeBench/339,1
BigCodeBench/340,0
BigCodeBench/341,0
BigCodeBench/342,0
BigCodeBench/343,0
BigCodeBench/344,0
BigCodeBench/345,0
BigCodeBench/346,0
BigCodeBench/347,1
BigCodeBench/348,0
BigCodeBench/349,0
BigCodeBench/350,0
BigCodeBench/351,1
BigCodeBench/352,0
BigCodeBench/353,0
BigCodeBench/354,0
BigCodeBench/355,1
BigCodeBench/356,0
BigCodeBench/357,1
BigCodeBench/358,1
BigCodeBench/359,1
BigCodeBench/360,0
BigCodeBench/361,1
BigCodeBench/362,0
BigCodeBench/363,0
BigCodeBench/364,0
BigCodeBench/365,0
BigCodeBench/366,1
BigCodeBench/367,1
BigCodeBench/368,0
BigCodeBench/369,1
BigCodeBench/370,1
BigCodeBench/371,0
BigCodeBench/372,0
BigCodeBench/373,0
BigCodeBench/374,0
BigCodeBench/375,0
BigCodeBench/376,0
BigCodeBench/377,0
BigCodeBench/378,0
BigCodeBench/379,1
BigCodeBench/380,0
BigCodeBench/381,1
BigCodeBench/382,0
BigCodeBench/383,0
BigCodeBench/384,0
BigCodeBench/385,0
BigCodeBench/386,0
BigCodeBench/387,0
BigCodeBench/388,0
BigCodeBench/389,0
BigCodeBench/390,1
BigCodeBench/391,0
BigCodeBench/392,0
BigCodeBench/393,0
BigCodeBench/394,1
BigCodeBench/395,0
BigCodeBench/396,0
BigCodeBench/397,0
BigCodeBench/398,0
BigCodeBench/399,0
BigCodeBench/400,1
BigCodeBench/401,0
BigCodeBench/402,0
BigCodeBench/403,0
BigCodeBench/404,1
BigCodeBench/405,1
BigCodeBench/406,1
BigCodeBench/407,0
BigCodeBench/408,0
BigCodeBench/409,0
BigCodeBench/410,0
BigCodeBench/411,0
BigCodeBench/412,1
BigCodeBench/413,0
BigCodeBench/414,0
BigCodeBench/415,0
BigCodeBench/416,0
BigCodeBench/417,0
BigCodeBench/418,0
BigCodeBench/419,0
BigCodeBench/420,0
BigCodeBench/421,1
BigCodeBench/422,0
BigCodeBench/423,1
BigCodeBench/424,0
BigCodeBench/425,0
