TaskID,Pass
BigCodeBench/0,0
BigCodeBench/1,0
BigCodeBench/2,0
BigCodeBench/3,0
BigCodeBench/4,0
BigCodeBench/5,0
BigCodeBench/6,0
BigCodeBench/7,1
BigCodeBench/8,0
BigCodeBench/9,0
BigCodeBench/10,0
BigCodeBench/11,0
BigCodeBench/12,0
BigCodeBench/13,0
BigCodeBench/14,0
BigCodeBench/15,0
BigCodeBench/16,1
BigCodeBench/17,0
BigCodeBench/18,1
BigCodeBench/19,0
BigCodeBench/20,0
BigCodeBench/21,0
BigCodeBench/22,0
BigCodeBench/23,0
BigCodeBench/24,0
BigCodeBench/25,0
BigCodeBench/26,0
BigCodeBench/27,0
BigCodeBench/28,0
BigCodeBench/29,0
BigCodeBench/30,0
BigCodeBench/31,0
BigCodeBench/32,0
BigCodeBench/33,1
BigCodeBench/34,0
BigCodeBench/35,0
BigCodeBench/36,0
BigCodeBench/37,0
BigCodeBench/38,1
BigCodeBench/39,0
BigCodeBench/40,0
BigCodeBench/41,0
BigCodeBench/42,0
BigCodeBench/43,0
BigCodeBench/44,0
BigCodeBench/45,0
BigCodeBench/46,0
BigCodeBench/47,0
BigCodeBench/48,0
BigCodeBench/49,0
BigCodeBench/50,0
BigCodeBench/51,0
BigCodeBench/52,0
BigCodeBench/53,0
BigCodeBench/54,0
BigCodeBench/55,0
BigCodeBench/56,0
BigCodeBench/57,0
BigCodeBench/58,0
BigCodeBench/59,0
BigCodeBench/60,0
BigCodeBench/61,0
BigCodeBench/62,0
BigCodeBench/63,0
BigCodeBench/64,0
BigCodeBench/65,0
BigCodeBench/66,0
BigCodeBench/67,0
BigCodeBench/68,0
BigCodeBench/69,0
BigCodeBench/70,0
BigCodeBench/71,0
BigCodeBench/72,0
BigCodeBench/73,0
BigCodeBench/74,0
BigCodeBench/75,0
BigCodeBench/76,0
BigCodeBench/77,0
BigCodeBench/78,0
BigCodeBench/79,0
BigCodeBench/80,0
BigCodeBench/81,0
BigCodeBench/82,0
BigCodeBench/83,0
BigCodeBench/84,0
BigCodeBench/85,0
BigCodeBench/86,0
BigCodeBench/87,0
BigCodeBench/88,0
BigCodeBench/89,0
BigCodeBench/90,0
BigCodeBench/91,0
BigCodeBench/92,0
BigCodeBench/93,0
BigCodeBench/94,0
BigCodeBench/95,0
BigCodeBench/96,1
BigCodeBench/97,0
BigCodeBench/98,0
BigCodeBench/99,0
BigCodeBench/100,0
BigCodeBench/101,0
BigCodeBench/102,0
BigCodeBench/103,0
BigCodeBench/104,0
BigCodeBench/105,0
BigCodeBench/106,0
BigCodeBench/107,0
BigCodeBench/108,0
BigCodeBench/109,0
BigCodeBench/110,0
BigCodeBench/111,0
BigCodeBench/112,0
BigCodeBench/113,1
BigCodeBench/114,0
BigCodeBench/115,0
BigCodeBench/116,0
BigCodeBench/117,0
BigCodeBench/118,1
BigCodeBench/119,1
BigCodeBench/120,0
BigCodeBench/121,0
BigCodeBench/122,1
BigCodeBench/123,0
BigCodeBench/124,0
BigCodeBench/125,0
BigCodeBench/126,0
BigCodeBench/127,0
BigCodeBench/128,0
BigCodeBench/129,0
BigCodeBench/130,0
BigCodeBench/131,0
BigCodeBench/132,0
BigCodeBench/133,0
BigCodeBench/134,1
BigCodeBench/135,0
BigCodeBench/136,0
BigCodeBench/137,1
BigCodeBench/138,0
BigCodeBench/139,0
BigCodeBench/140,1
BigCodeBench/141,0
BigCodeBench/142,0
BigCodeBench/143,0
BigCodeBench/144,0
BigCodeBench/145,0
BigCodeBench/146,0
BigCodeBench/147,0
BigCodeBench/148,1
BigCodeBench/149,0
BigCodeBench/150,0
BigCodeBench/151,1
BigCodeBench/152,0
BigCodeBench/153,1
BigCodeBench/154,0
BigCodeBench/155,0
BigCodeBench/156,0
BigCodeBench/157,0
BigCodeBench/158,0
BigCodeBench/159,0
BigCodeBench/160,0
BigCodeBench/161,0
BigCodeBench/162,0
BigCodeBench/163,0
BigCodeBench/164,0
BigCodeBench/165,0
BigCodeBench/166,0
BigCodeBench/167,0
BigCodeBench/168,0
BigCodeBench/169,1
BigCodeBench/170,1
BigCodeBench/171,0
BigCodeBench/172,0
BigCodeBench/173,0
BigCodeBench/174,0
BigCodeBench/175,0
BigCodeBench/176,0
BigCodeBench/177,0
BigCodeBench/178,0
BigCodeBench/179,0
BigCodeBench/180,0
BigCodeBench/181,1
BigCodeBench/182,0
BigCodeBench/183,0
BigCodeBench/184,0
BigCodeBench/185,0
BigCodeBench/186,0
BigCodeBench/187,0
BigCodeBench/188,0
BigCodeBench/189,0
BigCodeBench/190,0
BigCodeBench/191,0
BigCodeBench/192,0
BigCodeBench/193,0
BigCodeBench/194,1
BigCodeBench/195,0
BigCodeBench/196,0
BigCodeBench/197,0
BigCodeBench/198,0
BigCodeBench/199,0
BigCodeBench/200,0
BigCodeBench/201,0
BigCodeBench/202,0
BigCodeBench/203,0
BigCodeBench/204,0
BigCodeBench/205,0
BigCodeBench/206,0
BigCodeBench/207,1
BigCodeBench/208,0
BigCodeBench/209,0
BigCodeBench/210,0
BigCodeBench/211,0
BigCodeBench/212,0
BigCodeBench/213,0
BigCodeBench/214,0
BigCodeBench/215,0
BigCodeBench/216,0
BigCodeBench/217,0
BigCodeBench/218,0
BigCodeBench/219,0
BigCodeBench/220,0
BigCodeBench/221,0
