TaskID,Pass
Python-7,0
Python-8,0
Python-9,0
Python-10,1
Python-11,0
Python-12,0
Python-13,0
Python-14,0
Python-15,0
Python-16,0
Python-17,0
Python-18,0
Python-19,0
Python-20,0
Python-21,0
Python-22,0
Python-24,0
Python-25,0
Python-26,0
Python-27,0
Python-28,1
Python-29,0
Python-31,0
Python-32,0
Python-33,0
Python-34,1
Python-35,0
Python-36,0
Python-37,0
Python-38,0
Python-39,0
Python-40,0
Python-41,1
Python-42,0
Python-43,0
Python-44,0
Python-45,1
Python-46,0
Python-47,1
Python-48,0
Python-49,1
Python-50,1
