TaskID,LoC,Reliability,Maintainability,Security_Hotspots,CyC,CoC
BigCodeBench/0,3.0,0,1,0,1.0,0.0
BigCodeBench/1,10.0,0,1,0,2.0,1.0
BigCodeBench/2,3.0,0,1,0,1.0,0.0
BigCodeBench/3,3.0,0,2,0,1.0,0.0
BigCodeBench/4,4.0,0,0,0,1.0,0.0
BigCodeBench/5,3.0,0,2,0,1.0,0.0
BigCodeBench/6,4.0,0,1,0,1.0,0.0
BigCodeBench/7,5.0,0,1,0,1.0,0.0
BigCodeBench/8,8.0,0,2,0,1.0,0.0
BigCodeBench/9,8.0,0,0,0,1.0,0.0
BigCodeBench/10,5.0,0,2,0,1.0,0.0
BigCodeBench/11,7.0,0,1,0,1.0,0.0
BigCodeBench/12,18.0,0,0,0,2.0,2.0
BigCodeBench/13,27.0,0,3,0,2.0,6.0
BigCodeBench/14,17.0,0,0,0,4.0,3.0
BigCodeBench/15,20.0,0,0,0,3.0,4.0
BigCodeBench/16,16.0,0,0,0,5.0,6.0
BigCodeBench/17,13.0,0,0,0,3.0,3.0
BigCodeBench/18,32.0,0,2,0,5.0,6.0
BigCodeBench/19,14.0,0,0,0,4.0,3.0
BigCodeBench/20,8.0,0,0,0,1.0,0.0
BigCodeBench/21,11.0,0,0,0,1.0,0.0
BigCodeBench/22,9.0,0,1,0,2.0,0.0
BigCodeBench/23,7.0,0,1,0,2.0,0.0
BigCodeBench/24,9.0,0,1,0,3.0,2.0
BigCodeBench/25,8.0,0,0,0,1.0,0.0
BigCodeBench/26,8.0,0,0,0,1.0,0.0
BigCodeBench/27,8.0,0,1,0,1.0,0.0
BigCodeBench/28,9.0,0,0,0,1.0,0.0
BigCodeBench/29,8.0,0,0,0,1.0,0.0
BigCodeBench/30,35.0,0,3,0,6.0,7.0
BigCodeBench/31,5.0,0,1,0,1.0,0.0
BigCodeBench/32,9.0,0,1,0,1.0,1.0
BigCodeBench/33,3.0,0,0,0,1.0,0.0
BigCodeBench/34,10.0,0,0,0,1.0,0.0
BigCodeBench/35,11.0,0,0,0,3.0,2.0
BigCodeBench/36,15.0,0,0,0,3.0,2.0
BigCodeBench/37,94.0,0,1,0,1.0,0.0
BigCodeBench/38,4.0,0,1,0,1.0,0.0
BigCodeBench/39,14.0,0,2,0,1.0,0.0
BigCodeBench/40,9.0,0,0,0,1.0,0.0
BigCodeBench/41,11.0,0,0,0,1.0,0.0
BigCodeBench/42,12.0,0,1,0,1.0,0.0
BigCodeBench/43,10.0,0,0,0,3.0,3.0
BigCodeBench/44,13.0,0,1,0,2.0,1.0
BigCodeBench/45,14.0,0,3,0,1.0,0.0
BigCodeBench/46,10.0,0,0,0,2.0,1.0
BigCodeBench/47,12.0,0,1,0,1.0,0.0
BigCodeBench/48,18.0,0,2,0,3.0,3.0
BigCodeBench/49,11.0,0,1,0,2.0,2.0
