TaskID,LoC,Reliability,Maintainability,Security_Hotspots,CyC,CoC
BigCodeBench/0,11.0,0,0,0,3.0,3.0
BigCodeBench/1,9.0,0,0,0,2.0,1.0
BigCodeBench/2,7.0,0,1,0,1.0,0.0
BigCodeBench/3,7.0,0,1,0,1.0,0.0
BigCodeBench/4,12.0,0,0,0,2.0,1.0
BigCodeBench/5,12.0,0,2,0,4.0,4.0
BigCodeBench/6,12.0,0,0,0,3.0,2.0
BigCodeBench/7,12.0,0,0,0,2.0,1.0
BigCodeBench/8,11.0,0,3,0,1.0,0.0
BigCodeBench/9,9.0,0,0,0,1.0,0.0
BigCodeBench/10,14.0,0,3,0,2.0,1.0
BigCodeBench/11,12.0,0,1,0,1.0,0.0
BigCodeBench/12,27.0,0,0,0,2.0,3.0
BigCodeBench/13,30.0,0,4,0,2.0,6.0
BigCodeBench/14,19.0,0,1,0,2.0,2.0
BigCodeBench/15,25.0,0,0,0,4.0,5.0
BigCodeBench/16,20.0,0,0,0,6.0,5.0
BigCodeBench/17,13.0,0,0,0,2.0,2.0
BigCodeBench/18,30.0,0,4,0,5.0,5.0
BigCodeBench/19,14.0,0,0,0,4.0,3.0
BigCodeBench/20,11.0,0,0,0,1.0,0.0
BigCodeBench/21,2.0,0,0,0,0.0,0.0
BigCodeBench/22,15.0,0,1,0,4.0,5.0
BigCodeBench/23,8.0,0,2,0,2.0,1.0
BigCodeBench/24,15.0,0,1,0,3.0,2.0
BigCodeBench/25,9.0,0,0,0,1.0,0.0
BigCodeBench/26,9.0,0,0,0,1.0,0.0
BigCodeBench/27,8.0,0,1,0,1.0,0.0
BigCodeBench/28,9.0,0,0,0,1.0,0.0
BigCodeBench/29,9.0,0,0,0,1.0,0.0
BigCodeBench/30,31.0,0,3,0,8.0,10.0
BigCodeBench/31,24.0,0,1,0,5.0,4.0
BigCodeBench/32,13.0,0,0,0,2.0,2.0
BigCodeBench/33,6.0,0,0,0,1.0,0.0
BigCodeBench/34,12.0,0,0,0,2.0,1.0
BigCodeBench/35,13.0,0,0,0,3.0,2.0
BigCodeBench/36,17.0,0,0,0,5.0,5.0
BigCodeBench/37,14.0,0,3,0,1.0,0.0
BigCodeBench/38,18.0,0,1,0,1.0,0.0
BigCodeBench/39,14.0,0,3,0,1.0,0.0
BigCodeBench/40,11.0,0,0,0,1.0,0.0
BigCodeBench/41,9.0,0,0,0,1.0,0.0
BigCodeBench/42,16.0,0,1,0,1.0,0.0
BigCodeBench/43,15.0,0,1,0,3.0,2.0
BigCodeBench/44,22.0,0,1,0,2.0,1.0
BigCodeBench/45,18.0,0,1,0,1.0,0.0
BigCodeBench/46,13.0,0,0,0,2.0,1.0
BigCodeBench/47,16.0,0,0,0,1.0,0.0
BigCodeBench/48,14.0,0,1,0,2.0,2.0
BigCodeBench/49,10.0,0,0,0,2.0,1.0
BigCodeBench/50,27.0,0,1,0,2.0,1.0
BigCodeBench/51,20.0,0,2,0,2.0,2.0
BigCodeBench/52,8.0,0,0,0,1.0,0.0
BigCodeBench/53,16.0,0,1,0,1.0,0.0
BigCodeBench/54,12.0,0,0,0,2.0,0.0
BigCodeBench/55,10.0,0,1,0,3.0,0.0
BigCodeBench/56,13.0,0,0,0,1.0,0.0
BigCodeBench/57,12.0,0,0,0,1.0,0.0
BigCodeBench/58,19.0,0,0,0,1.0,0.0
BigCodeBench/59,16.0,0,1,0,1.0,1.0
BigCodeBench/60,13.0,0,0,0,1.0,0.0
BigCodeBench/61,22.0,0,1,0,1.0,0.0
BigCodeBench/62,7.0,0,0,0,1.0,0.0
BigCodeBench/63,8.0,0,0,0,1.0,0.0
BigCodeBench/64,64.0,0,0,0,1.0,0.0
BigCodeBench/65,15.0,0,0,0,1.0,0.0
BigCodeBench/66,10.0,0,0,0,1.0,0.0
BigCodeBench/67,15.0,0,1,0,3.0,3.0
BigCodeBench/68,9.0,0,0,0,1.0,0.0
BigCodeBench/69,12.0,0,1,0,1.0,0.0
BigCodeBench/70,19.0,0,1,0,2.0,2.0
BigCodeBench/71,13.0,0,0,0,1.0,0.0
BigCodeBench/72,19.0,0,1,0,3.0,2.0
BigCodeBench/73,22.0,0,0,0,1.0,0.0
BigCodeBench/74,19.0,0,0,0,3.0,4.0
BigCodeBench/75,27.0,0,3,0,7.0,7.0
BigCodeBench/76,8.0,0,1,0,1.0,0.0
BigCodeBench/77,20.0,0,1,0,3.0,4.0
BigCodeBench/78,13.0,0,0,0,2.0,1.0
BigCodeBench/79,11.0,0,1,0,2.0,1.0
BigCodeBench/80,11.0,0,0,0,2.0,0.0
BigCodeBench/81,12.0,0,1,0,2.0,0.0
BigCodeBench/82,40.0,0,3,0,7.0,6.0
BigCodeBench/83,20.0,0,2,0,2.0,0.0
BigCodeBench/84,25.0,0,2,0,13.0,12.0
BigCodeBench/85,28.0,0,5,0,2.0,1.0
BigCodeBench/86,10.0,0,2,0,1.0,0.0
BigCodeBench/87,11.0,0,1,0,1.0,0.0
BigCodeBench/88,21.0,0,2,0,2.0,1.0
BigCodeBench/89,20.0,0,3,0,1.0,0.0
BigCodeBench/90,19.0,0,1,0,4.0,3.0
BigCodeBench/91,15.0,0,1,0,3.0,2.0
BigCodeBench/92,21.0,0,2,0,4.0,3.0
BigCodeBench/93,16.0,0,2,0,3.0,2.0
BigCodeBench/94,21.0,0,0,0,1.0,0.0
BigCodeBench/95,20.0,0,0,0,7.0,7.0
BigCodeBench/96,12.0,0,0,0,3.0,3.0
BigCodeBench/97,10.0,0,0,0,1.0,0.0
BigCodeBench/98,17.0,0,0,0,1.0,0.0
BigCodeBench/99,14.0,0,0,0,1.0,0.0
BigCodeBench/100,20.0,0,2,0,3.0,2.0
BigCodeBench/101,10.0,0,1,0,2.0,1.0
BigCodeBench/102,10.0,0,0,0,1.0,0.0
BigCodeBench/103,14.0,0,1,0,3.0,2.0
BigCodeBench/104,17.0,0,1,0,4.0,3.0
BigCodeBench/105,23.0,0,0,0,4.0,3.0
BigCodeBench/106,27.0,0,2,0,4.0,3.0
BigCodeBench/107,17.0,0,2,0,3.0,2.0
