TaskID,LoC,Reliability,Maintainability,Security_Hotspots,CyC,CoC
BigCodeBench/0,9.0,0,0,0,2.0,1.0
BigCodeBench/1,9.0,0,0,0,2.0,1.0
BigCodeBench/2,7.0,0,1,0,1.0,0.0
BigCodeBench/3,7.0,0,1,0,1.0,0.0
BigCodeBench/4,12.0,0,0,0,2.0,1.0
BigCodeBench/5,12.0,0,1,0,4.0,4.0
BigCodeBench/6,13.0,0,0,0,4.0,2.0
BigCodeBench/7,15.0,0,0,0,2.0,1.0
BigCodeBench/8,11.0,0,3,0,1.0,0.0
BigCodeBench/9,9.0,0,0,0,1.0,0.0
BigCodeBench/10,15.0,0,4,0,2.0,1.0
BigCodeBench/11,13.0,0,2,0,1.0,0.0
BigCodeBench/12,21.0,0,0,0,2.0,2.0
BigCodeBench/13,30.0,0,4,0,2.0,6.0
BigCodeBench/14,20.0,0,1,0,2.0,2.0
BigCodeBench/15,25.0,0,0,0,3.0,4.0
BigCodeBench/16,20.0,0,0,0,6.0,5.0
BigCodeBench/17,14.0,0,0,0,2.0,2.0
BigCodeBench/18,30.0,0,4,0,5.0,5.0
BigCodeBench/19,15.0,0,0,0,4.0,3.0
BigCodeBench/20,9.0,0,0,0,1.0,0.0
BigCodeBench/21,2.0,0,0,0,0.0,0.0
BigCodeBench/22,11.0,0,2,0,1.0,0.0
BigCodeBench/23,11.0,0,1,0,2.0,0.0
BigCodeBench/24,9.0,0,1,0,3.0,2.0
BigCodeBench/25,9.0,0,0,0,1.0,0.0
BigCodeBench/26,9.0,0,0,0,1.0,0.0
BigCodeBench/27,8.0,0,1,0,1.0,0.0
BigCodeBench/28,9.0,0,0,0,1.0,0.0
BigCodeBench/29,9.0,0,0,0,1.0,0.0
BigCodeBench/30,29.0,0,3,0,7.0,9.0
BigCodeBench/31,25.0,0,0,0,7.0,7.0
BigCodeBench/32,13.0,0,0,0,2.0,2.0
BigCodeBench/33,6.0,0,0,0,1.0,0.0
BigCodeBench/34,12.0,0,0,0,2.0,1.0
BigCodeBench/35,13.0,0,0,0,3.0,2.0
BigCodeBench/36,17.0,0,0,0,4.0,4.0
BigCodeBench/37,29.0,0,1,0,1.0,0.0
BigCodeBench/38,18.0,0,1,0,1.0,0.0
BigCodeBench/39,15.0,0,4,0,1.0,0.0
BigCodeBench/40,12.0,0,0,0,1.0,0.0
BigCodeBench/41,9.0,0,0,0,1.0,0.0
BigCodeBench/42,16.0,0,1,0,1.0,0.0
BigCodeBench/43,14.0,0,1,0,2.0,1.0
BigCodeBench/44,16.0,0,1,0,2.0,1.0
BigCodeBench/45,14.0,0,1,0,1.0,0.0
BigCodeBench/46,10.0,0,0,0,2.0,1.0
BigCodeBench/47,11.0,0,0,0,1.0,0.0
BigCodeBench/48,14.0,0,1,0,2.0,2.0
BigCodeBench/49,11.0,0,0,0,2.0,1.0
BigCodeBench/50,23.0,0,1,0,2.0,1.0
BigCodeBench/51,20.0,0,2,0,2.0,2.0
BigCodeBench/52,8.0,0,0,0,1.0,0.0
BigCodeBench/53,16.0,0,1,0,1.0,0.0
BigCodeBench/54,11.0,0,0,0,2.0,0.0
BigCodeBench/55,11.0,0,1,0,5.0,1.0
BigCodeBench/56,12.0,0,0,0,1.0,0.0
BigCodeBench/57,12.0,0,0,0,1.0,0.0
BigCodeBench/58,19.0,0,1,0,1.0,0.0
BigCodeBench/59,14.0,0,1,0,1.0,1.0
BigCodeBench/60,14.0,0,0,0,1.0,0.0
BigCodeBench/61,24.0,0,1,0,1.0,0.0
BigCodeBench/62,7.0,0,0,0,1.0,0.0
BigCodeBench/63,13.0,0,1,0,1.0,0.0
BigCodeBench/64,64.0,0,0,0,1.0,0.0
BigCodeBench/65,18.0,0,1,0,1.0,0.0
BigCodeBench/66,22.0,0,0,0,1.0,0.0
BigCodeBench/67,15.0,0,1,0,3.0,3.0
BigCodeBench/68,7.0,0,0,0,1.0,0.0
BigCodeBench/69,14.0,0,1,0,1.0,0.0
BigCodeBench/70,19.0,0,1,0,2.0,2.0
BigCodeBench/71,12.0,0,0,0,1.0,0.0
BigCodeBench/72,15.0,0,0,0,2.0,0.0
BigCodeBench/73,22.0,0,0,0,1.0,0.0
BigCodeBench/74,22.0,0,0,0,2.0,3.0
BigCodeBench/75,25.0,0,2,0,6.0,5.0
BigCodeBench/76,12.0,0,1,0,1.0,0.0
BigCodeBench/77,15.0,0,0,0,3.0,4.0
BigCodeBench/78,12.0,0,0,0,2.0,1.0
BigCodeBench/79,11.0,0,1,0,2.0,1.0
BigCodeBench/80,11.0,0,0,0,2.0,0.0
BigCodeBench/81,12.0,0,1,0,2.0,0.0
BigCodeBench/82,36.0,0,3,0,6.0,2.0
BigCodeBench/83,20.0,0,2,0,2.0,0.0
BigCodeBench/84,31.0,0,3,0,12.0,11.0
BigCodeBench/85,27.0,0,5,0,2.0,1.0
BigCodeBench/86,14.0,0,3,0,1.0,0.0
BigCodeBench/87,10.0,0,0,0,1.0,0.0
BigCodeBench/88,15.0,0,1,0,2.0,1.0
BigCodeBench/89,20.0,0,2,0,1.0,0.0
BigCodeBench/90,19.0,0,1,0,4.0,2.0
BigCodeBench/91,14.0,0,1,0,3.0,2.0
BigCodeBench/92,20.0,0,2,0,4.0,3.0
BigCodeBench/93,19.0,0,2,0,3.0,2.0
BigCodeBench/94,17.0,0,0,0,1.0,0.0
BigCodeBench/95,20.0,0,0,0,7.0,7.0
BigCodeBench/96,9.0,0,0,0,1.0,0.0
BigCodeBench/97,9.0,0,0,0,1.0,0.0
BigCodeBench/98,21.0,0,0,0,2.0,1.0
BigCodeBench/99,16.0,0,0,0,1.0,0.0
BigCodeBench/100,24.0,0,1,0,3.0,2.0
BigCodeBench/101,10.0,0,1,0,2.0,1.0
BigCodeBench/102,9.0,0,0,0,1.0,0.0
BigCodeBench/103,22.0,0,2,0,4.0,3.0
BigCodeBench/104,16.0,0,1,0,4.0,3.0
BigCodeBench/105,19.0,0,2,0,4.0,3.0
BigCodeBench/106,27.0,0,3,0,4.0,3.0
BigCodeBench/107,17.0,0,1,0,4.0,2.0
BigCodeBench/108,20.0,0,1,0,5.0,4.0
BigCodeBench/109,18.0,0,1,0,6.0,5.0
BigCodeBench/110,12.0,0,0,0,5.0,4.0
BigCodeBench/111,13.0,0,1,0,3.0,2.0
BigCodeBench/112,11.0,0,0,0,3.0,2.0
BigCodeBench/113,18.0,0,0,0,5.0,4.0
BigCodeBench/114,12.0,0,0,0,3.0,2.0
BigCodeBench/115,12.0,0,0,0,2.0,1.0
BigCodeBench/116,13.0,0,1,0,1.0,0.0
BigCodeBench/117,13.0,0,2,0,4.0,3.0
BigCodeBench/118,15.0,0,0,0,4.0,2.0
BigCodeBench/119,11.0,0,0,0,1.0,0.0
BigCodeBench/120,17.0,0,0,0,6.0,5.0
BigCodeBench/121,21.0,0,6,0,2.0,1.0
BigCodeBench/122,8.0,0,1,0,1.0,0.0
BigCodeBench/123,14.0,0,0,0,4.0,3.0
BigCodeBench/124,26.0,1,2,0,5.0,5.0
BigCodeBench/125,16.0,0,1,0,3.0,3.0
BigCodeBench/126,27.0,0,1,0,2.0,1.0
BigCodeBench/127,22.0,0,3,0,6.0,6.0
BigCodeBench/128,13.0,0,3,0,1.0,0.0
BigCodeBench/129,16.0,0,0,0,1.0,1.0
BigCodeBench/130,12.0,0,1,0,1.0,0.0
BigCodeBench/131,12.0,0,1,0,1.0,0.0
BigCodeBench/132,17.0,0,2,0,2.0,1.0
BigCodeBench/133,17.0,0,1,0,3.0,2.0
BigCodeBench/134,14.0,0,0,0,3.0,2.0
BigCodeBench/135,13.0,0,0,0,3.0,2.0
BigCodeBench/136,20.0,0,4,0,3.0,2.0
BigCodeBench/137,9.0,0,0,0,3.0,2.0
BigCodeBench/138,15.0,0,1,0,3.0,2.0
BigCodeBench/139,12.0,0,0,0,4.0,3.0
BigCodeBench/140,15.0,0,0,0,4.0,3.0
BigCodeBench/141,13.0,0,1,0,3.0,2.0
BigCodeBench/142,16.0,0,0,0,1.0,0.0
BigCodeBench/143,12.0,0,0,0,1.0,0.0
BigCodeBench/144,18.0,0,0,0,3.0,6.0
