TaskID,LoC,Reliability,Maintainability,Security_Hotspots,CyC,CoC
BigCodeBench/0,11.0,0,0,0,3.0,3.0
BigCodeBench/1,9.0,0,0,0,2.0,1.0
BigCodeBench/2,7.0,0,1,0,1.0,0.0
BigCodeBench/3,6.0,0,0,0,1.0,0.0
BigCodeBench/4,7.0,0,0,0,2.0,1.0
BigCodeBench/5,12.0,0,1,0,4.0,4.0
BigCodeBench/6,9.0,0,0,0,3.0,1.0
BigCodeBench/7,10.0,0,0,0,1.0,0.0
BigCodeBench/8,9.0,0,4,0,1.0,0.0
BigCodeBench/9,9.0,0,0,0,1.0,0.0
BigCodeBench/10,14.0,0,4,0,2.0,1.0
BigCodeBench/11,10.0,0,2,0,1.0,0.0
BigCodeBench/12,22.0,0,0,0,1.0,2.0
BigCodeBench/13,26.0,0,4,0,2.0,6.0
BigCodeBench/14,16.0,0,1,0,2.0,2.0
BigCodeBench/15,19.0,0,0,0,3.0,4.0
BigCodeBench/16,14.0,0,0,0,4.0,3.0
BigCodeBench/17,12.0,0,0,0,2.0,2.0
BigCodeBench/18,19.0,0,0,0,4.0,3.0
BigCodeBench/19,14.0,0,0,0,4.0,3.0
BigCodeBench/20,9.0,0,0,0,1.0,0.0
BigCodeBench/21,12.0,0,0,0,1.0,0.0
BigCodeBench/22,8.0,0,2,0,1.0,0.0
BigCodeBench/23,7.0,0,1,0,1.0,0.0
BigCodeBench/24,14.0,0,1,0,2.0,1.0
BigCodeBench/25,8.0,0,0,0,1.0,0.0
BigCodeBench/26,7.0,0,0,0,1.0,0.0
BigCodeBench/27,8.0,0,1,0,1.0,0.0
BigCodeBench/28,8.0,0,0,0,1.0,0.0
BigCodeBench/29,8.0,0,0,0,1.0,0.0
BigCodeBench/30,30.0,0,2,0,8.0,9.0
BigCodeBench/31,11.0,0,0,0,3.0,1.0
BigCodeBench/32,10.0,0,0,0,2.0,2.0
BigCodeBench/33,5.0,0,0,0,1.0,0.0
BigCodeBench/34,11.0,0,0,0,2.0,1.0
BigCodeBench/35,9.0,0,0,0,3.0,2.0
BigCodeBench/36,15.0,0,0,0,4.0,4.0
BigCodeBench/37,16.0,0,4,0,1.0,0.0
BigCodeBench/38,16.0,0,1,0,1.0,0.0
BigCodeBench/39,15.0,0,4,0,1.0,0.0
BigCodeBench/40,9.0,0,0,0,1.0,0.0
BigCodeBench/41,8.0,0,0,0,1.0,0.0
BigCodeBench/42,14.0,0,1,0,1.0,0.0
BigCodeBench/43,11.0,0,0,0,2.0,1.0
BigCodeBench/44,11.0,0,1,0,2.0,1.0
BigCodeBench/45,16.0,0,1,0,1.0,0.0
BigCodeBench/46,8.0,0,0,0,2.0,1.0
BigCodeBench/47,11.0,0,0,0,1.0,0.0
BigCodeBench/48,14.0,0,1,0,2.0,2.0
BigCodeBench/49,11.0,0,0,0,2.0,1.0
BigCodeBench/50,26.0,0,1,0,2.0,1.0
BigCodeBench/51,16.0,0,1,0,2.0,2.0
BigCodeBench/52,8.0,0,0,0,1.0,0.0
BigCodeBench/53,12.0,0,1,0,1.0,0.0
BigCodeBench/54,9.0,0,0,0,1.0,0.0
BigCodeBench/55,9.0,0,1,0,3.0,0.0
BigCodeBench/56,7.0,0,0,0,1.0,0.0
BigCodeBench/57,10.0,0,0,0,1.0,0.0
BigCodeBench/58,14.0,0,0,0,1.0,0.0
BigCodeBench/59,14.0,0,1,0,1.0,1.0
BigCodeBench/60,8.0,0,0,0,1.0,0.0
BigCodeBench/61,21.0,0,1,0,1.0,0.0
BigCodeBench/62,6.0,0,0,0,1.0,0.0
BigCodeBench/63,7.0,0,0,0,1.0,0.0
BigCodeBench/64,9.0,0,0,0,1.0,0.0
BigCodeBench/65,10.0,0,0,0,1.0,0.0
BigCodeBench/66,9.0,0,0,0,1.0,0.0
BigCodeBench/67,10.0,0,0,0,4.0,6.0
BigCodeBench/68,7.0,0,0,0,1.0,0.0
BigCodeBench/69,12.0,0,1,0,1.0,0.0
BigCodeBench/70,19.0,0,1,0,1.0,0.0
BigCodeBench/71,12.0,0,0,0,1.0,0.0
BigCodeBench/72,15.0,0,1,0,2.0,0.0
BigCodeBench/73,21.0,0,0,0,1.0,0.0
BigCodeBench/74,25.0,0,0,0,2.0,3.0
BigCodeBench/75,20.0,0,3,0,6.0,6.0
BigCodeBench/76,14.0,0,1,0,1.0,0.0
BigCodeBench/77,14.0,0,0,0,3.0,4.0
BigCodeBench/78,12.0,0,1,0,2.0,1.0
BigCodeBench/79,10.0,0,1,0,2.0,1.0
BigCodeBench/80,12.0,0,0,0,2.0,0.0
BigCodeBench/81,12.0,0,1,0,2.0,0.0
BigCodeBench/82,39.0,0,2,0,6.0,2.0
BigCodeBench/83,16.0,0,1,0,1.0,0.0
BigCodeBench/84,28.0,0,3,0,10.0,9.0
BigCodeBench/85,24.0,0,5,0,2.0,1.0
BigCodeBench/86,14.0,0,3,0,1.0,0.0
BigCodeBench/87,12.0,0,0,0,2.0,1.0
BigCodeBench/88,16.0,0,2,0,2.0,1.0
BigCodeBench/89,20.0,0,2,0,1.0,0.0
BigCodeBench/90,19.0,0,0,0,5.0,3.0
BigCodeBench/91,13.0,0,1,0,3.0,2.0
BigCodeBench/92,19.0,0,2,0,4.0,3.0
BigCodeBench/93,16.0,0,2,0,3.0,2.0
BigCodeBench/94,14.0,0,1,0,1.0,0.0
BigCodeBench/95,17.0,0,0,0,7.0,7.0
BigCodeBench/96,10.0,0,0,0,1.0,0.0
BigCodeBench/97,9.0,0,0,0,1.0,0.0
BigCodeBench/98,17.0,0,0,0,1.0,0.0
BigCodeBench/99,17.0,0,0,0,1.0,0.0
BigCodeBench/100,23.0,0,2,0,3.0,2.0
BigCodeBench/101,9.0,0,1,0,1.0,0.0
BigCodeBench/102,12.0,0,0,0,1.0,0.0
BigCodeBench/103,16.0,0,1,0,3.0,2.0
BigCodeBench/104,16.0,0,1,0,4.0,3.0
BigCodeBench/105,18.0,0,0,0,4.0,3.0
BigCodeBench/106,25.0,0,2,0,4.0,3.0
BigCodeBench/107,15.0,0,1,0,4.0,2.0
