TaskID,LoC,Reliability,Maintainability,Security_Hotspots,CyC,CoC
BigCodeBench/0,9.0,0,1,0,1.0,0.0
BigCodeBench/1,9.0,0,0,0,2.0,1.0
BigCodeBench/2,9.0,0,1,0,2.0,1.0
BigCodeBench/3,7.0,0,1,0,1.0,0.0
BigCodeBench/4,9.0,0,0,0,3.0,3.0
BigCodeBench/5,9.0,0,1,0,2.0,1.0
BigCodeBench/6,11.0,0,0,0,4.0,2.0
BigCodeBench/7,14.0,0,0,0,2.0,1.0
BigCodeBench/8,10.0,0,3,0,1.0,0.0
BigCodeBench/9,9.0,0,0,0,1.0,0.0
BigCodeBench/10,15.0,0,4,0,2.0,1.0
BigCodeBench/11,13.0,0,2,0,1.0,0.0
BigCodeBench/12,25.0,0,0,0,2.0,2.0
BigCodeBench/13,30.0,0,4,0,2.0,6.0
BigCodeBench/14,20.0,0,1,0,3.0,2.0
BigCodeBench/15,23.0,0,1,0,4.0,5.0
BigCodeBench/16,17.0,0,0,0,4.0,3.0
BigCodeBench/17,12.0,0,0,0,2.0,2.0
BigCodeBench/18,20.0,0,1,0,4.0,3.0
BigCodeBench/19,14.0,0,0,0,4.0,3.0
BigCodeBench/20,9.0,0,0,0,1.0,0.0
BigCodeBench/21,2.0,0,0,0,0.0,0.0
BigCodeBench/22,11.0,0,2,0,1.0,0.0
BigCodeBench/23,8.0,0,1,0,1.0,0.0
BigCodeBench/24,10.0,0,1,0,3.0,2.0
BigCodeBench/25,9.0,0,0,0,1.0,0.0
BigCodeBench/26,9.0,0,0,0,1.0,0.0
BigCodeBench/27,9.0,0,1,0,1.0,0.0
BigCodeBench/28,9.0,0,0,0,1.0,0.0
BigCodeBench/29,9.0,0,0,0,1.0,0.0
BigCodeBench/30,31.0,0,3,0,10.0,13.0
BigCodeBench/31,11.0,0,0,0,3.0,1.0
BigCodeBench/32,12.0,0,0,0,2.0,2.0
BigCodeBench/33,10.0,0,0,0,1.0,0.0
BigCodeBench/34,12.0,0,0,0,2.0,1.0
BigCodeBench/35,16.0,0,1,0,3.0,2.0
BigCodeBench/36,18.0,0,0,0,5.0,7.0
