TaskID,LoC,Reliability,Maintainability,Security_Hotspots,CyC,CoC
BigCodeBench/0,0.0,0,0,0,0.0,0.0
BigCodeBench/1,9.0,0,0,0,2.0,1.0
BigCodeBench/2,7.0,0,1,0,1.0,0.0
BigCodeBench/3,10.0,0,2,0,3.0,2.0
BigCodeBench/4,8.0,0,0,0,3.0,3.0
BigCodeBench/5,10.0,0,3,0,3.0,2.0
BigCodeBench/6,10.0,0,0,0,3.0,2.0
BigCodeBench/7,11.0,0,0,0,2.0,1.0
BigCodeBench/8,9.0,0,3,0,1.0,0.0
BigCodeBench/9,14.0,0,0,0,1.0,0.0
BigCodeBench/10,12.0,0,3,0,2.0,1.0
BigCodeBench/11,10.0,0,2,0,1.0,0.0
BigCodeBench/12,21.0,0,4,0,1.0,2.0
BigCodeBench/13,18.0,2,3,0,2.0,4.0
BigCodeBench/14,18.0,0,1,0,3.0,3.0
BigCodeBench/15,21.0,0,0,0,3.0,4.0
BigCodeBench/16,16.0,0,0,0,5.0,4.0
BigCodeBench/17,13.0,0,0,0,2.0,2.0
BigCodeBench/18,104.0,0,3,0,45.0,5.0
BigCodeBench/19,13.0,0,0,0,4.0,3.0
BigCodeBench/20,13.0,0,0,0,1.0,0.0
BigCodeBench/21,9.0,0,0,0,1.0,0.0
BigCodeBench/22,8.0,0,1,0,2.0,1.0
BigCodeBench/23,6.0,0,2,0,1.0,0.0
BigCodeBench/24,9.0,0,2,0,3.0,2.0
BigCodeBench/25,8.0,0,0,0,1.0,0.0
BigCodeBench/26,7.0,0,0,0,1.0,0.0
BigCodeBench/27,7.0,0,1,0,1.0,0.0
BigCodeBench/28,8.0,0,0,0,1.0,0.0
BigCodeBench/29,9.0,0,0,0,1.0,0.0
BigCodeBench/30,18.0,0,3,0,8.0,10.0
BigCodeBench/31,12.0,0,0,0,3.0,0.0
BigCodeBench/32,13.0,0,0,0,3.0,4.0
BigCodeBench/33,4.0,0,0,0,1.0,0.0
BigCodeBench/34,19.0,0,0,0,2.0,1.0
BigCodeBench/35,10.0,0,0,0,4.0,4.0
BigCodeBench/36,18.0,0,1,0,3.0,2.0
BigCodeBench/37,14.0,1,3,0,1.0,0.0
BigCodeBench/38,17.0,0,1,0,1.0,0.0
BigCodeBench/39,20.0,0,3,0,1.0,0.0
BigCodeBench/40,10.0,0,0,0,1.0,0.0
BigCodeBench/41,13.0,0,1,0,1.0,0.0
BigCodeBench/42,15.0,0,2,0,1.0,0.0
BigCodeBench/43,15.0,0,1,0,2.0,1.0
BigCodeBench/44,11.0,0,1,0,2.0,1.0
BigCodeBench/45,16.0,0,2,0,1.0,0.0
BigCodeBench/46,9.0,0,1,0,2.0,1.0
BigCodeBench/47,11.0,0,0,0,1.0,0.0
BigCodeBench/48,18.0,0,1,0,4.0,5.0
BigCodeBench/49,14.0,0,0,0,3.0,2.0
BigCodeBench/50,28.0,0,1,0,2.0,1.0
BigCodeBench/51,18.0,0,2,0,2.0,2.0
BigCodeBench/52,8.0,0,0,0,1.0,0.0
BigCodeBench/53,20.0,0,1,0,4.0,1.0
BigCodeBench/54,9.0,0,0,0,1.0,0.0
BigCodeBench/55,9.0,0,0,0,4.0,0.0
BigCodeBench/56,8.0,0,0,0,1.0,0.0
BigCodeBench/57,11.0,0,1,0,1.0,0.0
BigCodeBench/58,14.0,0,0,0,1.0,0.0
BigCodeBench/59,0.0,0,0,0,0.0,0.0
BigCodeBench/60,10.0,0,0,0,1.0,0.0
BigCodeBench/61,58.0,0,1,0,1.0,0.0
BigCodeBench/62,9.0,0,1,0,1.0,0.0
BigCodeBench/63,12.0,0,0,0,1.0,0.0
BigCodeBench/64,11.0,0,0,0,1.0,0.0
BigCodeBench/65,14.0,1,0,0,0.0,0.0
BigCodeBench/66,9.0,0,0,0,1.0,0.0
BigCodeBench/67,7.0,0,0,0,2.0,0.0
BigCodeBench/68,7.0,0,0,0,1.0,0.0
BigCodeBench/69,0.0,0,0,0,0.0,0.0
BigCodeBench/70,16.0,0,2,0,2.0,1.0
BigCodeBench/71,13.0,0,0,0,1.0,0.0
BigCodeBench/72,15.0,0,1,0,2.0,0.0
BigCodeBench/73,18.0,0,0,0,1.0,0.0
BigCodeBench/74,17.0,0,0,0,2.0,3.0
BigCodeBench/75,20.0,0,2,0,6.0,6.0
BigCodeBench/76,13.0,0,1,0,4.0,3.0
BigCodeBench/77,14.0,0,0,0,3.0,4.0
BigCodeBench/78,12.0,0,1,0,1.0,0.0
BigCodeBench/79,10.0,0,2,0,2.0,1.0
BigCodeBench/80,11.0,0,1,0,2.0,0.0
BigCodeBench/81,12.0,0,1,0,2.0,0.0
BigCodeBench/82,37.0,0,2,0,9.0,1.0
BigCodeBench/83,20.0,0,1,0,2.0,0.0
BigCodeBench/84,25.0,0,2,0,14.0,11.0
BigCodeBench/85,21.0,0,4,0,2.0,1.0
BigCodeBench/86,11.0,0,1,0,1.0,0.0
BigCodeBench/87,6.0,0,0,0,1.0,0.0
BigCodeBench/88,11.0,0,1,0,1.0,0.0
BigCodeBench/89,15.0,0,1,0,1.0,0.0
BigCodeBench/90,8.0,0,0,0,3.0,2.0
BigCodeBench/91,14.0,0,1,0,3.0,2.0
BigCodeBench/92,22.0,0,2,0,4.0,3.0
BigCodeBench/93,14.0,0,2,0,1.0,0.0
BigCodeBench/94,12.0,0,1,0,1.0,0.0
BigCodeBench/95,15.0,0,0,0,5.0,5.0
BigCodeBench/96,9.0,0,0,0,1.0,0.0
BigCodeBench/97,8.0,0,0,0,1.0,0.0
BigCodeBench/98,10.0,0,2,0,2.0,0.0
BigCodeBench/99,17.0,0,0,0,1.0,0.0
BigCodeBench/100,0.0,0,0,0,0.0,0.0
BigCodeBench/101,12.0,0,0,0,1.0,0.0
BigCodeBench/102,10.0,0,0,0,1.0,0.0
BigCodeBench/103,14.0,0,1,0,2.0,1.0
BigCodeBench/104,13.0,0,2,0,4.0,3.0
BigCodeBench/105,15.0,0,0,0,3.0,2.0
BigCodeBench/106,20.0,0,3,0,4.0,3.0
BigCodeBench/107,16.0,0,1,0,3.0,2.0
BigCodeBench/108,21.0,0,1,0,6.0,5.0
BigCodeBench/109,15.0,0,2,0,4.0,3.0
BigCodeBench/110,10.0,0,1,0,4.0,2.0
BigCodeBench/111,12.0,0,0,0,5.0,3.0
BigCodeBench/112,7.0,0,0,0,3.0,2.0
BigCodeBench/113,14.0,0,0,0,4.0,3.0
BigCodeBench/114,9.0,0,0,0,3.0,2.0
BigCodeBench/115,9.0,0,0,0,1.0,0.0
BigCodeBench/116,10.0,0,1,0,1.0,0.0
BigCodeBench/117,17.0,0,0,0,4.0,3.0
BigCodeBench/118,9.0,0,0,0,4.0,2.0
BigCodeBench/119,12.0,0,0,0,1.0,0.0
BigCodeBench/120,15.0,0,0,0,5.0,4.0
BigCodeBench/121,9.0,0,2,0,2.0,1.0
BigCodeBench/122,6.0,0,1,0,1.0,0.0
BigCodeBench/123,14.0,0,0,0,4.0,3.0
BigCodeBench/124,20.0,0,1,0,4.0,3.0
BigCodeBench/125,14.0,0,1,0,3.0,3.0
BigCodeBench/126,23.0,1,2,0,3.0,3.0
BigCodeBench/127,12.0,0,3,0,3.0,3.0
BigCodeBench/128,30.0,0,5,0,6.0,7.0
BigCodeBench/129,15.0,0,0,0,3.0,4.0
BigCodeBench/130,10.0,0,1,0,1.0,0.0
BigCodeBench/131,10.0,0,1,0,1.0,0.0
BigCodeBench/132,16.0,0,1,0,2.0,1.0
BigCodeBench/133,16.0,0,0,0,3.0,2.0
BigCodeBench/134,15.0,0,1,0,3.0,2.0
BigCodeBench/135,18.0,0,1,0,3.0,2.0
BigCodeBench/136,21.0,0,3,0,3.0,2.0
BigCodeBench/137,8.0,0,0,0,3.0,2.0
BigCodeBench/138,16.0,0,1,0,3.0,2.0
BigCodeBench/139,14.0,0,1,0,4.0,3.0
BigCodeBench/140,12.0,0,0,0,4.0,3.0
BigCodeBench/141,11.0,0,0,0,2.0,1.0
BigCodeBench/142,17.0,0,0,0,1.0,0.0
BigCodeBench/143,14.0,0,1,0,1.0,0.0
BigCodeBench/144,13.0,0,1,0,3.0,4.0
BigCodeBench/145,8.0,0,0,0,2.0,1.0
BigCodeBench/146,13.0,0,0,0,2.0,3.0
BigCodeBench/147,21.0,1,0,0,3.0,4.0
BigCodeBench/148,8.0,0,0,0,1.0,0.0
BigCodeBench/149,11.0,0,0,0,3.0,3.0
BigCodeBench/150,12.0,0,1,0,1.0,0.0
BigCodeBench/151,17.0,0,0,0,2.0,1.0
BigCodeBench/152,12.0,0,1,0,2.0,1.0
BigCodeBench/153,8.0,0,0,0,1.0,0.0
BigCodeBench/154,12.0,1,0,0,3.0,3.0
BigCodeBench/155,12.0,0,0,0,1.0,0.0
BigCodeBench/156,15.0,0,1,0,1.0,0.0
BigCodeBench/157,11.0,0,0,0,3.0,2.0
BigCodeBench/158,11.0,0,0,0,1.0,0.0
BigCodeBench/159,6.0,0,1,0,1.0,0.0
BigCodeBench/160,15.0,0,1,0,3.0,3.0
BigCodeBench/161,16.0,1,0,0,3.0,3.0
BigCodeBench/162,15.0,0,1,0,1.0,0.0
