TaskID,LoC,Reliability,Maintainability,Security_Hotspots,CyC,CoC
BigCodeBench/0,12.0,0,0,0,3.0,1.0
BigCodeBench/1,9.0,0,0,0,2.0,1.0
BigCodeBench/2,6.0,0,1,0,1.0,0.0
BigCodeBench/3,9.0,0,1,0,2.0,1.0
BigCodeBench/4,6.0,0,0,0,1.0,0.0
BigCodeBench/5,11.0,0,1,0,2.0,1.0
BigCodeBench/6,16.0,0,0,0,5.0,7.0
BigCodeBench/7,13.0,0,0,0,2.0,1.0
BigCodeBench/8,9.0,0,2,0,1.0,0.0
BigCodeBench/9,8.0,0,0,0,1.0,0.0
BigCodeBench/10,14.0,0,2,0,2.0,1.0
BigCodeBench/11,12.0,0,1,0,1.0,0.0
BigCodeBench/12,24.0,0,0,0,2.0,3.0
BigCodeBench/13,27.0,0,0,0,3.0,7.0
BigCodeBench/14,22.0,0,2,0,5.0,5.0
BigCodeBench/15,23.0,0,0,0,4.0,5.0
BigCodeBench/16,16.0,0,0,0,5.0,4.0
BigCodeBench/17,12.0,0,0,0,3.0,3.0
BigCodeBench/18,22.0,0,0,0,4.0,3.0
BigCodeBench/19,15.0,0,0,0,5.0,3.0
BigCodeBench/20,8.0,0,0,0,1.0,0.0
BigCodeBench/21,16.0,0,0,0,1.0,0.0
BigCodeBench/22,8.0,0,1,0,2.0,0.0
BigCodeBench/23,16.0,0,1,0,6.0,10.0
BigCodeBench/24,11.0,0,1,0,3.0,2.0
BigCodeBench/25,8.0,0,0,0,1.0,0.0
BigCodeBench/26,9.0,0,0,0,2.0,1.0
BigCodeBench/27,8.0,0,1,0,1.0,0.0
BigCodeBench/28,9.0,0,0,0,1.0,0.0
BigCodeBench/29,10.0,0,0,0,1.0,0.0
BigCodeBench/30,32.0,0,2,0,9.0,11.0
BigCodeBench/31,19.0,0,0,0,4.0,2.0
BigCodeBench/32,15.0,0,0,0,2.0,3.0
BigCodeBench/33,6.0,0,0,0,1.0,0.0
BigCodeBench/34,13.0,1,5,0,2.0,1.0
BigCodeBench/35,14.0,0,1,0,4.0,4.0
BigCodeBench/36,20.0,0,0,0,6.0,7.0
BigCodeBench/37,19.0,0,1,0,1.0,0.0
BigCodeBench/38,16.0,0,1,0,1.0,0.0
BigCodeBench/39,17.0,0,3,0,1.0,0.0
BigCodeBench/40,13.0,0,0,0,1.0,0.0
BigCodeBench/41,12.0,0,1,0,1.0,0.0
BigCodeBench/42,15.0,0,2,0,1.0,0.0
BigCodeBench/43,16.0,0,1,0,2.0,1.0
BigCodeBench/44,16.0,0,1,0,2.0,1.0
BigCodeBench/45,16.0,0,3,0,1.0,0.0
BigCodeBench/46,17.0,0,1,0,3.0,2.0
BigCodeBench/47,16.0,0,0,0,1.0,0.0
BigCodeBench/48,17.0,0,1,0,2.0,2.0
BigCodeBench/49,18.0,0,1,0,2.0,1.0
BigCodeBench/50,25.0,0,1,0,2.0,1.0
BigCodeBench/51,16.0,0,1,0,2.0,1.0
BigCodeBench/52,9.0,0,0,0,2.0,0.0
BigCodeBench/53,17.0,0,0,0,1.0,0.0
BigCodeBench/54,10.0,0,0,0,2.0,0.0
BigCodeBench/55,16.0,0,0,0,4.0,3.0
BigCodeBench/56,8.0,0,0,0,1.0,0.0
BigCodeBench/57,10.0,0,0,0,1.0,0.0
BigCodeBench/58,13.0,0,1,0,1.0,0.0
BigCodeBench/59,15.0,0,0,0,1.0,1.0
BigCodeBench/60,8.0,0,0,0,1.0,0.0
BigCodeBench/61,18.0,0,1,0,1.0,0.0
BigCodeBench/62,9.0,0,0,0,1.0,0.0
