TaskID,LoC,Reliability,Maintainability,Security_Hotspots,CyC,CoC
BigCodeBench/0,22.0,0,0,0,8.0,6.0
BigCodeBench/1,9.0,0,0,0,2.0,1.0
BigCodeBench/2,6.0,0,1,0,1.0,0.0
BigCodeBench/3,9.0,0,1,0,2.0,1.0
BigCodeBench/4,6.0,0,0,0,1.0,0.0
BigCodeBench/5,11.0,0,1,0,2.0,1.0
BigCodeBench/6,14.0,0,0,0,5.0,7.0
BigCodeBench/7,12.0,0,0,0,2.0,1.0
BigCodeBench/8,9.0,0,3,0,1.0,0.0
BigCodeBench/9,8.0,0,0,0,1.0,0.0
BigCodeBench/10,16.0,0,4,0,3.0,2.0
BigCodeBench/11,11.0,0,1,0,1.0,0.0
BigCodeBench/12,21.0,0,0,0,2.0,2.0
BigCodeBench/13,34.0,0,5,0,5.0,12.0
BigCodeBench/14,23.0,0,1,0,4.0,5.0
BigCodeBench/15,24.0,0,1,0,4.0,5.0
BigCodeBench/16,16.0,0,0,0,5.0,4.0
BigCodeBench/17,12.0,0,0,0,3.0,3.0
BigCodeBench/18,25.0,0,0,0,4.0,4.0
BigCodeBench/19,15.0,0,0,0,5.0,3.0
BigCodeBench/20,8.0,0,0,0,1.0,0.0
BigCodeBench/21,14.0,0,0,0,1.0,0.0
BigCodeBench/22,8.0,0,1,0,2.0,0.0
BigCodeBench/23,17.0,0,1,0,6.0,10.0
BigCodeBench/24,16.0,0,1,0,2.0,1.0
BigCodeBench/25,8.0,0,0,0,1.0,0.0
BigCodeBench/26,15.0,1,0,0,3.0,1.0
BigCodeBench/27,9.0,0,1,0,1.0,0.0
BigCodeBench/28,11.0,0,0,0,1.0,0.0
BigCodeBench/29,9.0,0,0,0,1.0,0.0
BigCodeBench/30,33.0,0,2,0,8.0,10.0
BigCodeBench/31,19.0,0,0,0,4.0,2.0
BigCodeBench/32,15.0,0,0,0,2.0,3.0
BigCodeBench/33,6.0,0,0,0,1.0,0.0
BigCodeBench/34,15.0,1,5,0,2.0,1.0
BigCodeBench/35,13.0,0,0,0,4.0,4.0
BigCodeBench/36,19.0,0,0,0,4.0,5.0
BigCodeBench/37,21.0,0,1,0,1.0,0.0
BigCodeBench/38,15.0,0,1,0,1.0,0.0
BigCodeBench/39,17.0,0,3,0,1.0,0.0
BigCodeBench/40,15.0,1,2,0,1.0,0.0
BigCodeBench/41,12.0,0,1,0,1.0,0.0
BigCodeBench/42,18.0,1,2,0,1.0,0.0
BigCodeBench/43,21.0,0,1,0,3.0,4.0
BigCodeBench/44,14.0,0,1,0,2.0,1.0
BigCodeBench/45,18.0,0,3,0,1.0,0.0
BigCodeBench/46,18.0,0,1,0,3.0,2.0
BigCodeBench/47,13.0,0,0,0,1.0,0.0
BigCodeBench/48,17.0,0,1,0,2.0,2.0
