TaskID,LoC,Reliability,Maintainability,Security_Hotspots,CyC,CoC
BigCodeBench/0,11.0,0,0,0,2.0,1.0
BigCodeBench/1,9.0,0,0,0,2.0,1.0
BigCodeBench/2,6.0,0,1,0,1.0,0.0
BigCodeBench/3,10.0,0,1,0,2.0,1.0
BigCodeBench/4,7.0,0,0,0,1.0,0.0
BigCodeBench/5,11.0,0,1,0,2.0,1.0
BigCodeBench/6,14.0,0,0,0,4.0,6.0
BigCodeBench/7,13.0,0,0,0,2.0,1.0
BigCodeBench/8,9.0,0,2,0,1.0,0.0
BigCodeBench/9,8.0,0,0,0,1.0,0.0
BigCodeBench/10,15.0,0,3,0,1.0,1.0
BigCodeBench/11,11.0,0,1,0,1.0,0.0
BigCodeBench/12,23.0,0,0,0,2.0,2.0
BigCodeBench/13,27.0,0,4,0,3.0,7.0
BigCodeBench/14,22.0,0,2,0,5.0,5.0
BigCodeBench/15,23.0,0,0,0,4.0,5.0
BigCodeBench/16,16.0,0,0,0,5.0,4.0
BigCodeBench/17,12.0,0,0,0,3.0,3.0
BigCodeBench/18,21.0,0,0,0,4.0,4.0
BigCodeBench/19,15.0,0,0,0,5.0,3.0
BigCodeBench/20,8.0,0,0,0,1.0,0.0
BigCodeBench/21,15.0,0,0,0,1.0,0.0
BigCodeBench/22,8.0,0,1,0,2.0,0.0
BigCodeBench/23,16.0,0,1,0,6.0,10.0
BigCodeBench/24,11.0,0,1,0,3.0,2.0
BigCodeBench/25,8.0,0,0,0,1.0,0.0
BigCodeBench/26,11.0,0,0,0,2.0,1.0
BigCodeBench/27,8.0,0,1,0,1.0,0.0
BigCodeBench/28,9.0,0,0,0,1.0,0.0
BigCodeBench/29,11.0,0,0,0,1.0,0.0
BigCodeBench/30,30.0,0,2,0,8.0,9.0
BigCodeBench/31,18.0,0,0,0,4.0,2.0
BigCodeBench/32,12.0,0,0,0,2.0,2.0
BigCodeBench/33,7.0,0,0,0,1.0,0.0
BigCodeBench/34,13.0,1,5,0,2.0,1.0
BigCodeBench/35,12.0,0,1,0,3.0,2.0
BigCodeBench/36,19.0,0,0,0,5.0,5.0
BigCodeBench/37,19.0,0,1,0,1.0,0.0
BigCodeBench/38,16.0,0,1,0,1.0,0.0
BigCodeBench/39,17.0,0,3,0,1.0,0.0
BigCodeBench/40,12.0,0,0,0,1.0,0.0
BigCodeBench/41,12.0,0,1,0,1.0,0.0
BigCodeBench/42,17.0,0,2,0,2.0,1.0
BigCodeBench/43,15.0,0,1,0,2.0,1.0
BigCodeBench/44,14.0,0,1,0,2.0,1.0
BigCodeBench/45,16.0,0,3,0,1.0,0.0
BigCodeBench/46,12.0,0,0,0,2.0,1.0
BigCodeBench/47,16.0,0,0,0,1.0,0.0
BigCodeBench/48,17.0,0,1,0,2.0,2.0
BigCodeBench/49,19.0,0,1,0,2.0,1.0
BigCodeBench/50,26.0,0,0,0,2.0,1.0
BigCodeBench/51,16.0,0,0,0,2.0,1.0
BigCodeBench/52,9.0,0,0,0,2.0,0.0
BigCodeBench/53,17.0,0,0,0,1.0,0.0
BigCodeBench/54,10.0,0,0,0,2.0,0.0
BigCodeBench/55,15.0,0,0,0,4.0,3.0
BigCodeBench/56,8.0,0,0,0,1.0,0.0
BigCodeBench/57,10.0,0,0,0,1.0,0.0
BigCodeBench/58,15.0,0,1,0,1.0,0.0
BigCodeBench/59,14.0,0,1,0,1.0,1.0
BigCodeBench/60,8.0,0,0,0,1.0,0.0
BigCodeBench/61,18.0,0,1,0,1.0,0.0
BigCodeBench/62,9.0,0,0,0,1.0,0.0
BigCodeBench/63,7.0,0,0,0,1.0,0.0
BigCodeBench/64,9.0,0,0,0,1.0,0.0
BigCodeBench/65,15.0,0,1,0,2.0,1.0
BigCodeBench/66,10.0,0,0,0,1.0,0.0
BigCodeBench/67,14.0,0,0,0,4.0,6.0
BigCodeBench/68,11.0,0,0,0,1.0,0.0
BigCodeBench/69,12.0,0,1,0,1.0,0.0
BigCodeBench/70,27.0,0,1,0,2.0,3.0
BigCodeBench/71,12.0,0,0,0,1.0,0.0
BigCodeBench/72,34.0,0,1,0,7.0,10.0
BigCodeBench/73,23.0,0,1,0,1.0,0.0
BigCodeBench/74,17.0,0,0,0,2.0,3.0
BigCodeBench/75,26.0,0,1,0,7.0,6.0
BigCodeBench/76,10.0,0,1,0,3.0,2.0
BigCodeBench/77,18.0,0,2,0,5.0,6.0
BigCodeBench/78,14.0,0,1,0,2.0,1.0
BigCodeBench/79,12.0,0,1,0,2.0,1.0
BigCodeBench/80,11.0,0,0,0,2.0,0.0
BigCodeBench/81,12.0,0,0,0,2.0,0.0
BigCodeBench/82,41.0,0,2,0,9.0,6.0
BigCodeBench/83,17.0,0,1,0,2.0,0.0
BigCodeBench/84,26.0,0,2,0,13.0,11.0
BigCodeBench/85,29.0,0,4,0,2.0,1.0
BigCodeBench/86,14.0,0,2,0,1.0,0.0
BigCodeBench/87,11.0,0,0,0,1.0,0.0
BigCodeBench/88,17.0,0,2,0,1.0,0.0
BigCodeBench/89,27.0,0,1,0,1.0,0.0
BigCodeBench/90,20.0,0,0,0,4.0,3.0
BigCodeBench/91,13.0,0,1,0,3.0,2.0
BigCodeBench/92,18.0,0,1,0,4.0,3.0
BigCodeBench/93,16.0,0,2,0,3.0,2.0
BigCodeBench/94,14.0,0,4,0,1.0,0.0
BigCodeBench/95,13.0,0,0,0,7.0,5.0
BigCodeBench/96,15.0,0,0,0,3.0,3.0
BigCodeBench/97,10.0,0,0,0,3.0,3.0
BigCodeBench/98,9.0,0,0,0,1.0,0.0
BigCodeBench/99,12.0,0,0,0,1.0,0.0
BigCodeBench/100,20.0,0,0,0,2.0,2.0
BigCodeBench/101,17.0,0,0,0,1.0,1.0
BigCodeBench/102,11.0,0,0,0,1.0,0.0
BigCodeBench/103,15.0,0,2,0,3.0,2.0
BigCodeBench/104,19.0,0,1,0,5.0,5.0
BigCodeBench/105,17.0,0,0,0,5.0,3.0
BigCodeBench/106,25.0,0,1,0,4.0,3.0
BigCodeBench/107,17.0,0,1,0,4.0,2.0
BigCodeBench/108,20.0,0,1,0,6.0,5.0
BigCodeBench/109,20.0,0,0,0,6.0,5.0
BigCodeBench/110,18.0,0,1,0,4.0,3.0
BigCodeBench/111,19.0,0,0,0,4.0,2.0
BigCodeBench/112,12.0,0,1,0,3.0,2.0
BigCodeBench/113,17.0,0,0,0,5.0,4.0
BigCodeBench/114,10.0,0,0,0,3.0,2.0
BigCodeBench/115,17.0,0,1,0,2.0,1.0
BigCodeBench/116,10.0,0,1,0,1.0,0.0
BigCodeBench/117,22.0,0,2,0,4.0,3.0
BigCodeBench/118,13.0,0,0,0,4.0,4.0
BigCodeBench/119,11.0,0,0,0,1.0,0.0
BigCodeBench/120,14.0,0,0,0,4.0,3.0
BigCodeBench/121,17.0,0,2,0,2.0,1.0
BigCodeBench/122,7.0,0,1,0,1.0,0.0
BigCodeBench/123,15.0,0,0,0,5.0,3.0
BigCodeBench/124,23.0,0,0,0,4.0,3.0
BigCodeBench/125,15.0,0,1,0,3.0,3.0
BigCodeBench/126,22.0,0,0,0,3.0,2.0
BigCodeBench/127,16.0,0,3,0,5.0,7.0
BigCodeBench/128,26.0,0,1,0,3.0,6.0
BigCodeBench/129,27.0,0,0,0,5.0,6.0
BigCodeBench/130,12.0,0,0,0,1.0,0.0
BigCodeBench/131,12.0,0,0,0,1.0,0.0
BigCodeBench/132,20.0,0,1,0,2.0,2.0
BigCodeBench/133,15.0,0,1,0,3.0,2.0
