TaskID,LoC,Reliability,Maintainability,Security_Hotspots,CyC,CoC
BigCodeBench/0,13.0,0,0,0,3.0,3.0
BigCodeBench/1,9.0,0,0,0,2.0,1.0
BigCodeBench/2,7.0,0,1,0,1.0,0.0
BigCodeBench/3,9.0,0,1,0,2.0,1.0
BigCodeBench/4,6.0,0,0,0,1.0,0.0
BigCodeBench/5,11.0,0,1,0,2.0,1.0
BigCodeBench/6,14.0,0,0,0,4.0,6.0
BigCodeBench/7,13.0,0,0,0,2.0,1.0
BigCodeBench/8,9.0,0,2,0,1.0,0.0
BigCodeBench/9,8.0,0,0,0,1.0,0.0
BigCodeBench/10,15.0,0,3,0,1.0,1.0
BigCodeBench/11,12.0,0,1,0,1.0,0.0
BigCodeBench/12,26.0,0,0,0,2.0,3.0
BigCodeBench/13,28.0,0,4,0,4.0,10.0
BigCodeBench/14,22.0,0,1,0,6.0,6.0
BigCodeBench/15,22.0,0,0,0,4.0,5.0
BigCodeBench/16,16.0,0,0,0,5.0,4.0
BigCodeBench/17,12.0,0,0,0,3.0,3.0
BigCodeBench/18,21.0,0,0,0,4.0,4.0
BigCodeBench/19,15.0,0,0,0,5.0,3.0
BigCodeBench/20,8.0,0,0,0,1.0,0.0
BigCodeBench/21,14.0,0,0,0,1.0,0.0
BigCodeBench/22,8.0,0,1,0,2.0,0.0
BigCodeBench/23,12.0,0,1,0,6.0,11.0
BigCodeBench/24,9.0,0,1,0,3.0,2.0
BigCodeBench/25,13.0,0,0,0,1.0,0.0
BigCodeBench/26,9.0,0,0,0,2.0,1.0
BigCodeBench/27,8.0,0,1,0,1.0,0.0
BigCodeBench/28,9.0,0,0,0,1.0,0.0
BigCodeBench/29,11.0,0,0,0,1.0,0.0
BigCodeBench/30,30.0,0,2,0,8.0,9.0
BigCodeBench/31,17.0,0,0,0,4.0,2.0
BigCodeBench/32,15.0,0,0,0,2.0,3.0
BigCodeBench/33,6.0,0,0,0,1.0,0.0
BigCodeBench/34,14.0,1,5,0,2.0,1.0
BigCodeBench/35,13.0,0,1,0,4.0,4.0
BigCodeBench/36,19.0,0,0,0,5.0,5.0
BigCodeBench/37,19.0,0,1,0,1.0,0.0
BigCodeBench/38,16.0,0,1,0,1.0,0.0
BigCodeBench/39,19.0,0,3,0,1.0,0.0
BigCodeBench/40,13.0,0,0,0,1.0,0.0
BigCodeBench/41,11.0,0,1,0,1.0,0.0
BigCodeBench/42,16.0,0,2,0,1.0,0.0
BigCodeBench/43,16.0,0,1,0,2.0,1.0
BigCodeBench/44,15.0,0,1,0,2.0,1.0
