TaskID,LoC,Reliability,Maintainability,Security_Hotspots,CyC,CoC
BigCodeBench/0,11.0,0,0,0,3.0,1.0
BigCodeBench/1,9.0,0,0,0,2.0,1.0
BigCodeBench/2,6.0,0,1,0,1.0,0.0
BigCodeBench/3,9.0,0,1,0,2.0,1.0
BigCodeBench/4,6.0,0,0,0,1.0,0.0
BigCodeBench/5,11.0,0,1,0,2.0,1.0
BigCodeBench/6,9.0,0,0,0,3.0,1.0
BigCodeBench/7,13.0,0,0,0,2.0,1.0
BigCodeBench/8,9.0,0,2,0,1.0,0.0
BigCodeBench/9,9.0,0,1,0,1.0,0.0
BigCodeBench/10,14.0,0,2,0,2.0,1.0
BigCodeBench/11,10.0,0,1,0,1.0,0.0
BigCodeBench/12,28.0,0,0,0,2.0,2.0
BigCodeBench/13,19.0,0,2,0,2.0,3.0
BigCodeBench/14,22.0,0,1,0,4.0,5.0
BigCodeBench/15,24.0,0,0,0,4.0,5.0
BigCodeBench/16,14.0,0,0,0,4.0,3.0
BigCodeBench/17,12.0,0,0,0,3.0,3.0
BigCodeBench/18,18.0,0,0,0,4.0,3.0
BigCodeBench/19,15.0,0,0,0,5.0,5.0
BigCodeBench/20,8.0,0,0,0,1.0,0.0
BigCodeBench/21,16.0,0,0,0,1.0,0.0
BigCodeBench/22,12.0,0,1,0,3.0,1.0
BigCodeBench/23,7.0,0,1,0,4.0,2.0
BigCodeBench/24,11.0,0,1,0,2.0,1.0
BigCodeBench/25,8.0,0,0,0,1.0,0.0
BigCodeBench/26,7.0,0,0,0,1.0,0.0
BigCodeBench/27,8.0,0,1,0,1.0,0.0
BigCodeBench/28,9.0,0,0,0,1.0,0.0
BigCodeBench/29,9.0,0,0,0,1.0,0.0
BigCodeBench/30,16.0,0,2,0,7.0,7.0
BigCodeBench/31,17.0,0,0,0,4.0,2.0
BigCodeBench/32,12.0,0,0,0,2.0,2.0
BigCodeBench/33,6.0,0,0,0,1.0,0.0
BigCodeBench/34,15.0,0,1,0,2.0,1.0
BigCodeBench/35,13.0,0,0,0,4.0,4.0
BigCodeBench/36,16.0,0,0,0,4.0,3.0
BigCodeBench/37,17.0,0,1,0,1.0,0.0
BigCodeBench/38,16.0,0,0,0,1.0,0.0
BigCodeBench/39,19.0,0,1,0,2.0,0.0
BigCodeBench/40,14.0,0,0,0,1.0,0.0
BigCodeBench/41,12.0,0,1,0,1.0,0.0
BigCodeBench/42,16.0,0,2,0,1.0,0.0
BigCodeBench/43,15.0,0,2,0,2.0,1.0
BigCodeBench/44,15.0,0,1,0,2.0,1.0
BigCodeBench/45,17.0,0,3,0,1.0,0.0
BigCodeBench/46,13.0,0,0,0,3.0,3.0
BigCodeBench/47,15.0,0,0,0,1.0,0.0
BigCodeBench/48,16.0,0,0,0,2.0,1.0
BigCodeBench/49,17.0,0,1,0,2.0,1.0
BigCodeBench/50,25.0,0,1,0,1.0,0.0
BigCodeBench/51,16.0,0,0,0,2.0,2.0
BigCodeBench/52,8.0,0,0,0,2.0,0.0
BigCodeBench/53,16.0,0,0,0,1.0,0.0
BigCodeBench/54,10.0,0,0,0,2.0,0.0
BigCodeBench/55,0.0,0,0,0,0.0,0.0
BigCodeBench/56,14.0,0,0,0,3.0,3.0
BigCodeBench/57,10.0,0,0,0,1.0,0.0
BigCodeBench/58,15.0,0,1,0,1.0,0.0
BigCodeBench/59,15.0,0,1,0,1.0,1.0
BigCodeBench/60,8.0,0,0,0,1.0,0.0
BigCodeBench/61,18.0,0,1,0,1.0,0.0
BigCodeBench/62,8.0,0,0,0,1.0,0.0
BigCodeBench/63,11.0,0,1,0,1.0,0.0
BigCodeBench/64,10.0,0,0,0,1.0,0.0
BigCodeBench/65,12.0,0,1,0,2.0,1.0
BigCodeBench/66,13.0,0,0,0,1.0,0.0
BigCodeBench/67,13.0,0,0,0,4.0,6.0
BigCodeBench/68,7.0,0,0,0,1.0,0.0
BigCodeBench/69,12.0,0,1,0,1.0,0.0
BigCodeBench/70,22.0,0,1,0,3.0,3.0
BigCodeBench/71,16.0,0,0,0,1.0,0.0
BigCodeBench/72,20.0,0,1,0,3.0,1.0
BigCodeBench/73,22.0,0,1,0,1.0,0.0
BigCodeBench/74,18.0,0,0,0,2.0,4.0
BigCodeBench/75,61.0,1,23,0,6.0,5.0
BigCodeBench/76,10.0,0,1,0,3.0,2.0
BigCodeBench/77,16.0,0,3,0,4.0,5.0
BigCodeBench/78,13.0,0,1,0,2.0,1.0
BigCodeBench/79,12.0,0,2,0,2.0,1.0
BigCodeBench/80,12.0,0,0,0,2.0,0.0
BigCodeBench/81,12.0,0,0,0,2.0,0.0
BigCodeBench/82,38.0,0,2,0,7.0,2.0
BigCodeBench/83,17.0,0,2,0,2.0,0.0
BigCodeBench/84,24.0,0,2,0,11.0,10.0
BigCodeBench/85,27.0,0,5,0,2.0,1.0
BigCodeBench/86,14.0,0,2,0,1.0,0.0
BigCodeBench/87,8.0,0,0,0,1.0,0.0
BigCodeBench/88,17.0,0,2,0,1.0,0.0
BigCodeBench/89,24.0,0,1,0,1.0,0.0
BigCodeBench/90,9.0,0,0,0,3.0,2.0
BigCodeBench/91,13.0,0,1,0,3.0,2.0
BigCodeBench/92,20.0,0,2,0,4.0,3.0
BigCodeBench/93,16.0,0,2,0,3.0,2.0
BigCodeBench/94,11.0,0,1,0,1.0,0.0
BigCodeBench/95,13.0,0,0,0,7.0,5.0
BigCodeBench/96,11.0,0,0,0,2.0,1.0
BigCodeBench/97,10.0,0,0,0,3.0,3.0
BigCodeBench/98,9.0,0,0,0,1.0,0.0
BigCodeBench/99,14.0,0,0,0,1.0,0.0
BigCodeBench/100,16.0,0,1,0,1.0,0.0
BigCodeBench/101,22.0,0,1,0,1.0,3.0
BigCodeBench/102,10.0,0,0,0,1.0,0.0
BigCodeBench/103,14.0,0,1,0,3.0,2.0
BigCodeBench/104,19.0,0,1,0,5.0,5.0
BigCodeBench/105,15.0,0,0,0,3.0,2.0
BigCodeBench/106,20.0,0,1,0,4.0,3.0
BigCodeBench/107,15.0,0,1,0,4.0,2.0
BigCodeBench/108,25.0,0,2,0,6.0,5.0
BigCodeBench/109,22.0,0,3,0,8.0,7.0
BigCodeBench/110,15.0,0,1,0,5.0,4.0
BigCodeBench/111,10.0,0,0,0,3.0,2.0
BigCodeBench/112,10.0,0,1,0,3.0,2.0
BigCodeBench/113,17.0,0,0,0,5.0,4.0
BigCodeBench/114,11.0,0,0,0,3.0,2.0
BigCodeBench/115,14.0,0,0,0,2.0,1.0
BigCodeBench/116,10.0,0,1,0,1.0,0.0
BigCodeBench/117,18.0,0,2,0,4.0,3.0
BigCodeBench/118,12.0,0,0,0,4.0,4.0
BigCodeBench/119,12.0,0,0,0,1.0,0.0
BigCodeBench/120,14.0,0,0,0,4.0,3.0
BigCodeBench/121,19.0,0,3,0,2.0,1.0
BigCodeBench/122,7.0,0,1,0,1.0,0.0
