TaskID,LoC,Reliability,Maintainability,Security_Hotspots,CyC,CoC
62b438a266fea644fe22cc2d,8.0,0,0,0,2.0,1.0
62b438a266fea644fe22cc2e,6.0,0,1,0,1.0,0.0
62b438b666fea644fe22cc72,2.0,0,0,0,1.0,0.0
62b438b666fea644fe22cc78,6.0,0,0,0,2.0,1.0
62b45665d7d32e5b55cc8364,8.0,0,0,0,2.0,1.0
62b45665d7d32e5b55cc8365,9.0,0,0,0,3.0,4.0
62b45679d7d32e5b55cc83a9,2.0,0,0,0,1.0,0.0
62b4567ad7d32e5b55cc83af,6.0,0,0,0,2.0,1.0
62b4567ed7d32e5b55cc83d9,9.0,0,0,0,6.0,8.0
62b45df05108cfac7f2109ce,6.0,0,0,0,2.0,2.0
62b45df15108cfac7f2109dc,2.0,0,0,0,1.0,0.0
62b45df15108cfac7f2109dd,2.0,0,0,0,1.0,0.0
62b45e145108cfac7f210a07,19.0,0,0,0,10.0,13.0
62b45e145108cfac7f210a09,9.0,0,0,0,5.0,9.0
62b45e165108cfac7f210a16,8.0,0,0,0,4.0,3.0
62b45e165108cfac7f210a17,5.0,0,0,0,2.0,1.0
62b45e175108cfac7f210a19,24.0,0,0,0,9.0,12.0
62b45e21e0d4551b0392c8ed,10.0,0,0,0,2.0,4.0
62b45e23e0d4551b0392c90a,11.0,0,0,0,4.0,5.0
62b45e2eb89c9fd354170232,10.0,0,0,0,3.0,4.0
62b45e515108cfac7f210a3c,10.0,0,0,0,2.0,1.0
62b45e945108cfac7f210a4a,15.0,0,0,0,8.0,13.0
62b463153879012d19481498,3.0,0,0,0,2.0,0.0
62b463153879012d1948149a,10.0,0,1,0,5.0,7.0
62b463153879012d1948149b,4.0,0,0,0,2.0,1.0
62b463153879012d1948149c,2.0,0,0,0,2.0,0.0
62b463153879012d1948149d,14.0,0,0,0,6.0,6.0
62b463153879012d1948149f,11.0,0,0,0,4.0,3.0
62b463153879012d194814a1,1.0,0,0,0,0.0,0.0
62b463163879012d194814a2,1.0,0,0,0,0.0,0.0
62b463163879012d194814a4,14.0,0,0,0,5.0,3.0
62b463163879012d194814a6,4.0,0,0,0,1.0,0.0
62b4631b3879012d194814dd,2.0,0,0,0,1.0,0.0
62b463283879012d1948153d,6.0,0,0,0,3.0,3.0
62b463303879012d19481579,11.0,0,0,0,5.0,8.0
62b46740d2f69a53b466171a,4.0,0,0,0,3.0,2.0
62b46746d2f69a53b4661722,8.0,0,0,0,3.0,4.0
62b86707b4d922cb0e688c2a,9.0,0,0,0,4.0,4.0
62b86729b4d922cb0e688c2f,16.0,0,1,0,1.0,0.0
62b869eab4d922cb0e688cbf,20.0,0,1,0,1.0,0.0
62b869eab4d922cb0e688cc5,21.0,0,1,0,6.0,17.0
62b869ebb4d922cb0e688cc6,12.0,0,0,0,4.0,5.0
62b86a01b4d922cb0e688ccc,12.0,0,0,0,5.0,9.0
62b86a4fb4d922cb0e688cf7,4.0,0,1,0,1.0,0.0
62b86a4fb4d922cb0e688cf8,6.0,0,0,0,2.0,2.0
62b86a9eb4d922cb0e688d25,3.0,0,0,0,1.0,0.0
62b86aa3b4d922cb0e688d36,4.0,0,0,0,2.0,1.0
62b87af09a0c4fa8b80b34f1,4.0,0,0,0,2.0,1.0
