TaskID,LoC,Reliability,Maintainability,Security_Hotspots,CyC,CoC
62b438a266fea644fe22cc2d,15.0,0,0,0,5.0,9.0
62b438a266fea644fe22cc2e,10.0,0,1,0,2.0,1.0
62b438b666fea644fe22cc72,2.0,0,0,0,1.0,0.0
62b438b666fea644fe22cc78,6.0,0,0,0,2.0,1.0
62b45665d7d32e5b55cc8364,15.0,0,0,0,5.0,9.0
62b45665d7d32e5b55cc8365,7.0,0,0,0,2.0,1.0
62b45679d7d32e5b55cc83a9,2.0,0,0,0,1.0,0.0
62b4567ad7d32e5b55cc83af,6.0,0,0,0,2.0,1.0
62b4567ed7d32e5b55cc83d9,12.0,0,0,0,6.0,13.0
62b45df05108cfac7f2109ce,3.0,0,0,0,2.0,1.0
62b45df15108cfac7f2109dc,2.0,0,0,0,1.0,0.0
62b45df15108cfac7f2109dd,1.0,1,0,0,0.0,0.0
62b45e145108cfac7f210a07,6.0,0,0,0,3.0,4.0
62b45e145108cfac7f210a09,9.0,0,0,0,4.0,5.0
62b45e165108cfac7f210a16,6.0,0,0,0,3.0,2.0
62b45e165108cfac7f210a17,5.0,0,1,0,2.0,1.0
62b45e175108cfac7f210a19,11.0,0,0,0,6.0,6.0
62b45e21e0d4551b0392c8ed,11.0,0,0,0,3.0,6.0
62b45e23e0d4551b0392c90a,11.0,0,0,0,6.0,9.0
62b45e2eb89c9fd354170232,4.0,0,0,0,1.0,0.0
62b45e515108cfac7f210a3c,24.0,0,2,0,3.0,2.0
62b45e945108cfac7f210a4a,12.0,0,0,0,8.0,9.0
62b463153879012d19481498,3.0,0,0,0,2.0,0.0
62b463153879012d1948149a,5.0,0,1,0,3.0,1.0
62b463153879012d1948149b,4.0,0,0,0,2.0,1.0
62b463153879012d1948149c,2.0,0,0,0,2.0,0.0
62b463153879012d1948149d,2.0,0,0,0,1.0,0.0
62b463153879012d1948149f,11.0,0,0,0,4.0,3.0
62b463153879012d194814a1,1.0,0,0,0,0.0,0.0
62b463163879012d194814a2,1.0,0,0,0,0.0,0.0
62b463163879012d194814a4,15.0,0,0,0,8.0,2.0
62b463163879012d194814a6,4.0,0,0,0,1.0,0.0
62b4631b3879012d194814dd,1.0,0,0,0,0.0,0.0
62b463283879012d1948153d,5.0,2,0,0,2.0,3.0
62b463303879012d19481579,8.0,0,0,0,2.0,1.0
62b46740d2f69a53b466171a,4.0,0,0,0,3.0,2.0
62b46746d2f69a53b4661722,8.0,0,0,0,3.0,4.0
62b86707b4d922cb0e688c2a,9.0,0,0,0,4.0,4.0
62b86729b4d922cb0e688c2f,15.0,0,1,0,1.0,0.0
62b869eab4d922cb0e688cbf,24.0,0,1,0,1.0,0.0
62b869eab4d922cb0e688cc5,5.0,0,0,0,3.0,5.0
62b869ebb4d922cb0e688cc6,3.0,0,0,0,2.0,3.0
62b86a01b4d922cb0e688ccc,15.0,0,1,0,4.0,10.0
62b86a4fb4d922cb0e688cf7,7.0,0,0,0,2.0,2.0
62b86a4fb4d922cb0e688cf8,7.0,0,0,0,2.0,2.0
62b86a9eb4d922cb0e688d25,3.0,0,0,0,1.0,0.0
62b86aa3b4d922cb0e688d36,4.0,0,0,0,2.0,1.0
62b87af09a0c4fa8b80b34f1,3.0,0,0,0,2.0,1.0
62b87af19a0c4fa8b80b34f7,1.0,1,0,0,6.0,3.0
62b87af69a0c4fa8b80b351a,2.0,0,0,0,2.0,1.0
62b87af99a0c4fa8b80b3524,2.0,0,0,0,1.0,0.0
62b87b099a0c4fa8b80b3538,2.0,0,0,0,2.0,1.0
62b87b199a0c4fa8b80b354c,5.0,0,1,0,2.0,2.0
62b87b199a0c4fa8b80b354e,2.0,0,0,0,1.0,0.0
62b87b4f9a0c4fa8b80b3580,3.0,0,0,0,1.0,0.0
62b87b4f9a0c4fa8b80b3581,14.0,0,0,0,5.0,8.0
62b87b519a0c4fa8b80b3583,8.0,0,0,0,3.0,4.0
62b87b7e9a0c4fa8b80b35bc,14.0,0,1,0,7.0,18.0
62b87b839a0c4fa8b80b35cb,6.0,0,0,0,4.0,4.0
62b87b859a0c4fa8b80b35d7,9.0,0,0,0,3.0,2.0
62b87b869a0c4fa8b80b35e1,21.0,0,0,0,3.0,5.0
62b87b989a0c4fa8b80b35ee,2.0,0,0,0,0.0,0.0
62b87d23d292efb640a55667,6.0,0,0,0,2.0,0.0
62b87d23d292efb640a55668,0.0,0,0,0,0.0,0.0
62b87d23d292efb640a5566b,21.0,0,0,0,7.0,6.0
62b87d24d292efb640a55670,7.0,0,0,0,1.0,1.0
62b87d24d292efb640a5566d,2.0,0,0,0,2.0,1.0
62b87d24d292efb640a5566f,3.0,0,0,0,1.0,0.0
62b89640755ee91dce50a114,6.0,0,1,0,2.0,2.0
62b8982f755ee91dce50a241,4.0,0,0,0,1.0,0.0
62b8a4a4755ee91dce50a3d2,5.0,0,0,0,1.0,0.0
62b8a7b2755ee91dce50a4a7,5.0,0,0,0,2.0,1.0
62b8b3d4eb7e40a82d2d110d,1.0,1,0,0,0.0,0.0
62b8b3d4eb7e40a82d2d110e,3.0,0,0,0,2.0,1.0
