TaskID,LoC,Reliability,Maintainability,Security_Hotspots,CyC,CoC
Python-7,11.0,0,1,0,2.0,0.0
Python-8,28.0,0,2,0,10.0,17.0
Python-9,19.0,0,0,0,7.0,5.0
Python-10,14.0,0,0,0,3.0,1.0
Python-11,17.0,0,2,0,4.0,4.0
Python-12,29.0,0,3,0,3.0,1.0
Python-13,39.0,0,0,0,7.0,10.0
Python-14,60.0,0,2,0,53.0,51.0
Python-15,39.0,0,14,0,4.0,2.0
Python-16,27.0,0,0,0,4.0,2.0
Python-17,12.0,0,1,0,2.0,0.0
Python-18,12.0,0,1,0,2.0,0.0
Python-19,9.0,0,1,0,2.0,0.0
Python-20,14.0,0,1,0,3.0,1.0
Python-21,23.0,0,0,0,5.0,4.0
Python-22,9.0,0,1,0,2.0,0.0
Python-24,17.0,0,0,0,5.0,3.0
Python-25,20.0,0,0,0,6.0,4.0
Python-26,22.0,0,0,0,6.0,8.0
Python-27,19.0,0,1,0,2.0,0.0
Python-28,21.0,0,3,0,2.0,0.0
Python-29,8.0,0,1,0,2.0,0.0
Python-31,14.0,0,4,0,2.0,0.0
Python-32,29.0,0,3,0,2.0,0.0
Python-33,20.0,0,0,0,2.0,0.0
Python-34,20.0,0,0,0,5.0,3.0
Python-35,21.0,0,0,0,5.0,4.0
Python-36,13.0,0,1,0,3.0,1.0
Python-37,20.0,0,3,0,2.0,0.0
Python-38,20.0,0,2,0,2.0,0.0
Python-39,17.0,0,1,0,4.0,1.0
Python-40,24.0,0,1,0,2.0,0.0
Python-41,18.0,0,0,0,3.0,1.0
Python-42,35.0,0,1,0,2.0,0.0
Python-43,31.0,0,0,0,6.0,4.0
Python-44,23.0,0,0,0,4.0,4.0
Python-45,29.0,0,0,0,5.0,5.0
Python-46,0.0,0,0,0,0.0,0.0
Python-47,14.0,0,0,0,2.0,0.0
Python-48,19.0,0,1,0,2.0,0.0
Python-49,13.0,0,0,0,3.0,1.0
Python-50,11.0,0,0,0,2.0,1.0
