TaskID,LoC,Reliability,Maintainability,Security_Hotspots,CyC,CoC
Python-7,16.0,0,0,0,7.0,4.0
Python-8,33.0,0,2,0,5.0,4.0
Python-9,19.0,0,0,0,8.0,8.0
Python-10,16.0,0,0,0,5.0,3.0
Python-11,12.0,0,1,0,3.0,2.0
Python-12,27.0,0,3,0,3.0,1.0
Python-13,38.0,0,0,0,10.0,8.0
Python-14,17.0,0,0,0,6.0,6.0
Python-15,0.0,0,0,0,0.0,0.0
Python-16,32.0,0,0,0,5.0,4.0
Python-17,13.0,0,0,0,2.0,0.0
Python-18,22.0,0,0,0,4.0,4.0
Python-19,19.0,0,0,0,4.0,3.0
Python-20,15.0,0,1,0,3.0,1.0
Python-21,24.0,0,0,0,5.0,4.0
Python-22,22.0,0,0,0,7.0,8.0
Python-24,19.0,0,0,0,6.0,7.0
Python-25,22.0,0,0,0,6.0,8.0
Python-26,22.0,0,0,0,6.0,8.0
Python-27,19.0,0,1,0,2.0,0.0
Python-28,39.0,0,3,0,7.0,10.0
Python-29,16.0,0,0,0,4.0,3.0
Python-31,23.0,0,4,0,5.0,6.0
Python-32,42.0,0,4,0,7.0,15.0
Python-33,34.0,0,0,0,8.0,9.0
Python-34,18.0,0,0,0,4.0,2.0
Python-35,21.0,0,0,0,5.0,4.0
Python-36,18.0,0,0,0,4.0,2.0
Python-37,31.0,0,2,0,4.0,4.0
Python-38,25.0,1,1,0,3.0,1.0
Python-39,26.0,0,0,0,8.0,10.0
Python-40,35.0,0,0,0,5.0,3.0
Python-41,26.0,0,0,0,5.0,3.0
Python-42,42.0,0,0,0,4.0,3.0
Python-43,31.0,0,0,0,6.0,4.0
Python-44,26.0,1,9,0,2.0,0.0
Python-45,27.0,0,0,0,4.0,2.0
Python-46,19.0,0,1,0,5.0,5.0
Python-47,14.0,0,0,0,2.0,0.0
Python-48,29.0,0,0,0,5.0,4.0
Python-49,17.0,0,0,0,5.0,3.0
Python-50,11.0,0,0,0,2.0,1.0
