TaskID,LoC,Reliability,Maintainability,Security_Hotspots,CyC,CoC
Python-7,12.0,0,1,0,2.0,0.0
Python-8,26.0,1,13,0,3.0,1.0
Python-9,19.0,0,0,0,8.0,8.0
Python-10,16.0,0,0,0,5.0,3.0
Python-11,12.0,0,1,0,3.0,2.0
Python-12,0.0,0,0,0,0.0,0.0
Python-13,38.0,0,0,0,9.0,7.0
Python-14,22.0,0,0,0,8.0,9.0
Python-15,0.0,0,0,0,0.0,0.0
Python-16,32.0,0,0,0,5.0,4.0
Python-17,14.0,0,1,0,2.0,0.0
Python-18,26.0,0,0,0,4.0,4.0
Python-19,17.0,0,0,0,6.0,5.0
Python-20,14.0,0,1,0,3.0,1.0
Python-21,20.0,0,0,0,4.0,1.0
Python-22,22.0,0,0,0,6.0,8.0
Python-24,17.0,0,0,0,5.0,3.0
Python-25,22.0,0,0,0,6.0,8.0
Python-26,22.0,0,0,0,6.0,8.0
Python-27,18.0,0,1,0,2.0,0.0
Python-28,35.0,0,3,0,7.0,9.0
Python-29,13.0,0,0,0,3.0,1.0
Python-31,25.0,0,3,0,6.0,8.0
Python-32,42.0,0,4,0,7.0,15.0
Python-33,39.0,0,1,0,8.0,12.0
Python-34,18.0,0,0,0,4.0,2.0
Python-35,21.0,0,0,0,5.0,4.0
Python-36,13.0,0,0,0,3.0,1.0
Python-37,27.0,0,2,0,5.0,4.0
Python-38,31.0,0,2,0,7.0,12.0
Python-39,21.0,0,0,0,5.0,2.0
Python-40,31.0,0,0,0,3.0,1.0
Python-41,23.0,0,1,0,4.0,3.0
Python-42,43.0,0,0,0,5.0,6.0
Python-43,31.0,0,0,0,6.0,4.0
Python-44,33.0,1,17,0,2.0,0.0
Python-45,25.0,0,0,0,4.0,2.0
Python-46,16.0,0,0,0,4.0,3.0
Python-47,14.0,0,0,0,2.0,0.0
Python-48,30.0,0,0,0,5.0,4.0
Python-49,14.0,0,0,0,3.0,2.0
Python-50,11.0,0,0,0,2.0,1.0
