TaskID,LoC,Reliability,Maintainability,Security_Hotspots,CyC,CoC
Python-7,15.0,0,0,0,7.0,4.0
Python-8,20.0,0,8,0,3.0,1.0
Python-9,19.0,0,0,0,8.0,8.0
Python-10,16.0,0,0,0,5.0,3.0
Python-11,12.0,0,1,0,3.0,2.0
Python-12,29.0,0,3,0,3.0,1.0
Python-13,39.0,0,0,0,7.0,10.0
Python-14,19.0,0,0,0,6.0,7.0
Python-15,43.0,0,10,0,13.0,26.0
Python-16,32.0,0,0,0,5.0,4.0
Python-17,15.0,0,0,0,2.0,0.0
Python-18,27.0,0,0,0,4.0,4.0
Python-19,0.0,0,0,0,0.0,0.0
Python-20,14.0,0,1,0,3.0,1.0
Python-21,24.0,0,0,0,5.0,4.0
Python-22,22.0,0,0,0,6.0,8.0
Python-24,15.0,0,0,0,4.0,2.0
Python-25,22.0,0,0,0,6.0,4.0
Python-26,22.0,0,0,0,6.0,8.0
Python-27,32.0,0,1,0,6.0,10.0
Python-28,43.0,0,4,0,11.0,21.0
Python-29,13.0,0,0,0,3.0,1.0
Python-31,25.0,0,4,0,6.0,10.0
Python-32,42.0,0,4,0,7.0,15.0
Python-33,38.0,0,0,0,7.0,12.0
Python-34,18.0,0,0,0,4.0,2.0
Python-35,21.0,0,0,0,5.0,4.0
Python-36,16.0,0,0,0,3.0,1.0
Python-37,31.0,0,3,0,5.0,5.0
Python-38,27.0,0,1,0,5.0,4.0
Python-39,21.0,0,0,0,5.0,2.0
Python-40,37.0,0,0,0,6.0,5.0
Python-41,30.0,0,0,0,5.0,3.0
Python-42,44.0,0,0,0,5.0,6.0
Python-43,31.0,0,0,0,6.0,4.0
Python-44,40.0,1,24,0,2.0,0.0
Python-45,26.0,0,0,0,4.0,2.0
Python-46,16.0,0,0,0,5.0,4.0
Python-47,14.0,0,0,0,2.0,0.0
Python-48,28.0,0,0,0,4.0,3.0
Python-49,16.0,0,0,0,3.0,3.0
Python-50,11.0,0,0,0,2.0,1.0
