TaskID,LoC,Reliability,Maintainability,Security_Hotspots,CyC,CoC
Python-7,16.0,0,0,0,7.0,4.0
Python-8,17.0,0,2,0,2.0,0.0
Python-9,19.0,0,0,0,8.0,8.0
Python-10,14.0,0,0,0,3.0,1.0
Python-11,0.0,0,0,0,0.0,0.0
Python-12,29.0,0,3,0,3.0,1.0
Python-13,40.0,0,0,0,11.0,9.0
Python-14,17.0,0,0,0,7.0,6.0
Python-15,45.0,0,10,0,15.0,23.0
Python-16,0.0,0,0,0,0.0,0.0
Python-17,15.0,0,0,0,2.0,0.0
Python-18,25.0,0,0,0,5.0,7.0
Python-19,16.0,0,0,0,5.0,6.0
Python-20,27.0,0,1,0,8.0,12.0
Python-21,24.0,0,0,0,5.0,4.0
Python-22,25.0,0,0,0,8.0,11.0
Python-24,22.0,0,0,0,7.0,9.0
Python-25,22.0,0,0,0,6.0,5.0
Python-26,22.0,0,0,0,6.0,8.0
Python-27,29.0,0,1,0,4.0,4.0
Python-28,39.0,0,3,0,8.0,14.0
Python-29,13.0,0,0,0,3.0,1.0
Python-31,24.0,0,4,0,5.0,6.0
Python-32,43.0,0,4,0,7.0,17.0
Python-33,38.0,0,0,0,7.0,12.0
Python-34,18.0,0,0,0,4.0,2.0
Python-35,21.0,0,0,0,5.0,4.0
Python-36,13.0,0,0,0,3.0,1.0
Python-37,29.0,0,2,0,6.0,10.0
Python-38,30.0,0,1,0,6.0,8.0
Python-39,21.0,0,0,0,6.0,4.0
Python-40,35.0,0,0,0,5.0,3.0
Python-41,26.0,0,0,0,5.0,4.0
Python-42,42.0,0,0,0,4.0,3.0
Python-43,31.0,0,0,0,6.0,4.0
Python-44,22.0,0,0,0,4.0,4.0
Python-45,26.0,0,0,0,4.0,2.0
Python-46,19.0,0,0,0,4.0,4.0
Python-47,14.0,0,0,0,2.0,0.0
Python-48,29.0,0,0,0,5.0,4.0
Python-49,39.0,0,57,0,2.0,0.0
Python-50,11.0,0,0,0,2.0,1.0
