TaskID,LoC,Reliability,Maintainability,Security_Hotspots,CyC,CoC
Python-7,11.0,0,1,0,2.0,0.0
Python-8,22.0,0,4,0,10.0,17.0
Python-9,0.0,0,0,0,0.0,0.0
Python-10,16.0,0,0,0,5.0,3.0
Python-11,12.0,0,1,0,3.0,2.0
Python-12,26.0,0,3,0,2.0,0.0
Python-13,40.0,0,0,0,9.0,7.0
Python-14,16.0,0,0,0,8.0,6.0
Python-15,38.0,1,15,0,3.0,1.0
Python-16,28.0,0,0,0,4.0,2.0
Python-17,14.0,0,0,0,2.0,0.0
Python-18,20.0,0,0,0,5.0,6.0
Python-19,20.0,0,12,0,2.0,0.0
Python-20,25.0,0,2,0,10.0,19.0
Python-21,24.0,0,0,0,5.0,4.0
Python-22,23.0,0,0,0,7.0,11.0
Python-24,11.0,0,0,0,2.0,0.0
Python-25,22.0,0,0,0,6.0,5.0
Python-26,22.0,0,0,0,6.0,8.0
Python-27,19.0,0,2,0,2.0,0.0
Python-28,37.0,0,3,0,6.0,8.0
Python-29,15.0,0,0,0,5.0,5.0
Python-31,26.0,0,3,0,5.0,6.0
Python-32,35.0,0,2,0,6.0,10.0
Python-33,28.0,0,0,0,4.0,4.0
Python-34,18.0,0,0,0,4.0,2.0
Python-35,21.0,0,0,0,5.0,4.0
Python-36,17.0,0,0,0,4.0,2.0
Python-37,30.0,0,2,0,5.0,5.0
Python-38,39.0,1,18,0,2.0,0.0
Python-39,24.0,0,1,0,8.0,9.0
Python-40,25.0,0,0,0,2.0,0.0
Python-41,50.0,0,3,0,14.0,21.0
Python-42,44.0,0,0,0,6.0,6.0
Python-43,33.0,0,0,0,7.0,5.0
Python-44,41.0,0,6,0,2.0,0.0
Python-45,25.0,0,0,0,4.0,2.0
Python-46,16.0,0,0,0,5.0,6.0
Python-47,14.0,0,0,0,2.0,0.0
Python-48,28.0,0,0,0,4.0,4.0
Python-49,24.0,0,2,0,4.0,4.0
Python-50,7.0,0,0,0,1.0,0.0
