TaskID,LoC,Reliability,Maintainability,Security_Hotspots,CyC,CoC
Python-7,11.0,0,0,0,2.0,0.0
Python-8,22.0,0,1,0,9.0,13.0
Python-9,12.0,0,0,0,5.0,4.0
Python-10,18.0,0,0,0,4.0,2.0
Python-11,22.0,0,1,0,6.0,10.0
Python-12,29.0,0,3,0,5.0,6.0
Python-13,26.0,0,0,0,2.0,0.0
Python-14,6.0,0,0,0,2.0,0.0
Python-15,27.0,0,5,0,3.0,1.0
Python-16,24.0,0,0,0,3.0,1.0
Python-17,12.0,0,0,0,2.0,0.0
Python-18,12.0,0,0,0,2.0,0.0
Python-19,8.0,0,0,0,2.0,0.0
Python-20,14.0,0,0,0,3.0,1.0
Python-21,21.0,0,0,0,5.0,2.0
Python-22,18.0,0,0,0,6.0,5.0
Python-24,10.0,0,0,0,2.0,0.0
Python-25,22.0,0,0,0,6.0,4.0
Python-26,13.0,0,0,0,3.0,1.0
Python-27,18.0,0,0,0,2.0,0.0
Python-28,41.0,0,5,0,9.0,18.0
Python-29,7.0,0,1,0,2.0,0.0
Python-31,14.0,0,3,0,2.0,0.0
Python-32,29.0,0,2,0,2.0,0.0
Python-33,19.0,0,0,0,2.0,0.0
Python-34,21.0,0,0,0,5.0,4.0
Python-35,20.0,0,0,0,5.0,1.0
Python-36,19.0,0,0,0,6.0,7.0
Python-37,25.0,0,2,0,4.0,3.0
Python-38,25.0,0,1,0,4.0,3.0
Python-39,16.0,0,0,0,4.0,1.0
Python-40,34.0,0,0,0,7.0,6.0
Python-41,30.0,0,0,0,6.0,5.0
Python-42,34.0,0,1,0,2.0,0.0
Python-43,31.0,0,0,0,6.0,4.0
Python-44,15.0,0,0,0,2.0,0.0
Python-45,27.0,0,0,0,4.0,2.0
Python-46,10.0,0,0,0,2.0,0.0
Python-47,14.0,0,0,0,2.0,0.0
Python-48,19.0,0,0,0,2.0,0.0
Python-49,16.0,0,1,0,4.0,2.0
Python-50,6.0,0,0,0,1.0,0.0
