TaskID,LoC,Reliability,Maintainability,Security_Hotspots,CyC,CoC
Python-7,18.0,0,0,0,7.0,8.0
Python-8,24.0,0,1,0,8.0,8.0
Python-9,20.0,0,0,0,8.0,8.0
Python-10,18.0,0,0,0,4.0,2.0
Python-11,25.0,0,2,0,5.0,7.0
Python-12,34.0,1,3,0,6.0,9.0
Python-13,39.0,0,0,0,11.0,9.0
Python-14,19.0,0,0,0,5.0,5.0
Python-15,41.0,0,6,0,11.0,17.0
Python-16,31.0,0,0,0,5.0,3.0
Python-17,0.0,0,0,0,0.0,0.0
Python-18,21.0,0,0,0,5.0,7.0
Python-19,20.0,0,0,0,5.0,4.0
Python-20,28.0,0,0,0,10.0,13.0
Python-21,20.0,0,0,0,4.0,1.0
Python-22,18.0,0,0,0,6.0,5.0
Python-24,15.0,0,0,0,4.0,2.0
Python-25,20.0,0,0,0,6.0,4.0
Python-26,20.0,0,0,0,7.0,11.0
Python-27,28.0,0,0,0,4.0,2.0
Python-28,39.0,0,5,0,9.0,17.0
Python-29,15.0,0,0,0,4.0,2.0
Python-31,28.0,0,3,0,7.0,15.0
Python-32,29.0,0,2,0,2.0,0.0
Python-33,0.0,0,0,0,0.0,0.0
Python-34,21.0,0,0,0,5.0,4.0
Python-35,21.0,0,0,0,5.0,4.0
Python-36,19.0,0,0,0,5.0,4.0
Python-37,29.0,0,2,0,5.0,7.0
Python-38,25.0,0,1,0,4.0,3.0
Python-39,23.0,0,0,0,6.0,4.0
Python-40,37.0,0,0,0,5.0,3.0
Python-41,32.0,0,0,0,6.0,4.0
Python-42,42.0,0,0,0,5.0,4.0
Python-43,31.0,0,0,0,6.0,4.0
Python-44,21.0,0,0,0,4.0,3.0
Python-45,25.0,0,0,0,3.0,1.0
Python-46,27.0,0,0,0,10.0,14.0
Python-47,15.0,0,0,0,2.0,0.0
Python-48,30.0,0,0,0,5.0,4.0
Python-49,16.0,0,0,0,4.0,2.0
Python-50,0.0,0,0,0,0.0,0.0
