task_id,benchmark,entropy,length_words,bucket
Python-7,McEval,6.047734536501066,143,High
Python-8,McEval,6.515546702638959,168,High
Python-9,McEval,5.5982408422932854,72,Low
Python-10,McEval,5.717777969118141,104,Low
Python-11,McEval,4.5342190211803395,46,Low
Python-12,McEval,5.088343091584564,56,Low
Python-13,McEval,5.9668625097932795,209,High
Python-14,McEval,5.47775192497188,117,Low
Python-15,McEval,6.211410059540001,180,High
Python-16,McEval,5.619173550875148,108,Low
Python-17,McEval,6.002494949089661,131,High
Python-18,McEval,6.176090756258256,154,High
Python-19,McEval,5.845991320209795,194,High
Python-20,McEval,6.166014759168177,190,High
Python-21,McEval,6.28505921477374,181,High
Python-22,McEval,5.895053312282227,115,High
Python-24,McEval,5.489097917988789,72,Low
Python-25,McEval,5.969420322642397,123,High
Python-26,McEval,6.43597055971993,176,High
Python-27,McEval,4.701649204701855,55,Low
Python-28,McEval,6.340000469274778,171,High
Python-29,McEval,5.449921476841497,84,Low
Python-31,McEval,6.154993393414601,119,High
Python-32,McEval,6.169959241661733,145,High
Python-33,McEval,6.0875511650878416,159,High
Python-34,McEval,6.114927575278051,120,High
Python-35,McEval,6.045254488359304,114,High
Python-36,McEval,5.933616513860071,122,High
Python-37,McEval,6.156158963944677,148,High
Python-38,McEval,5.990666029766546,136,High
Python-39,McEval,5.785598472617634,107,High
Python-40,McEval,5.713920988003153,106,Low
Python-41,McEval,6.000371132229235,111,High
Python-42,McEval,6.1277395933819285,176,High
Python-43,McEval,5.876266282363946,127,High
Python-44,McEval,6.19233932785371,145,High
Python-45,McEval,5.785645501278758,94,High
Python-46,McEval,5.063310944910957,65,Low
Python-47,McEval,6.13893429278745,133,High
Python-48,McEval,5.9722771340858865,118,High
Python-49,McEval,5.9489514307636755,159,High
Python-50,McEval,5.185474480347638,74,Low
62e60f43d76274f8a4026e28,CoderEval,3.0,8,Low
62e60f3bd76274f8a4026e10,CoderEval,3.121928094887362,10,Low
62e60f37d76274f8a4026dfd,CoderEval,3.277613436819116,11,Low
62e60f33d76274f8a4026de9,CoderEval,3.321928094887362,10,Low
62e60ed4d76274f8a4026da0,CoderEval,3.121928094887362,10,Low
62e60e49d76274f8a4026d25,CoderEval,3.0,8,Low
62e60e05d76274f8a4026cfd,CoderEval,2.75,8,Low
62e60da4d76274f8a4026cf1,CoderEval,3.418295834054489,12,Low
62e60b10d76274f8a4026ccd,CoderEval,3.188721875540867,12,Low
62e6087bd76274f8a4026bfa,CoderEval,3.169925001442312,9,Low
62e6087ad76274f8a4026bf2,CoderEval,5.639918868179257,97,Low
62e60879d76274f8a4026bec,CoderEval,6.038428083135094,141,High
62e60723d76274f8a4026b75,CoderEval,2.0,4,Low
62e60707d76274f8a4026b69,CoderEval,2.0,4,Low
62e5dc9ed76274f8a4026b5b,CoderEval,3.169925001442312,9,Low
62e4fbda85ea986430890405,CoderEval,2.584962500721156,6,Low
62e4fbda85ea986430890403,CoderEval,2.75,8,Low
62e4fb6585ea98643089032b,CoderEval,3.418295834054489,12,Low
62e4fb4d85ea9864308902e7,CoderEval,3.7004397181410926,13,Low
62b8d27a48ba5a41d1c3f4c6,CoderEval,3.277613436819116,11,Low
62b8d24048ba5a41d1c3f49f,CoderEval,4.444187891679296,29,Low
62b8d23b48ba5a41d1c3f49a,CoderEval,4.229871195093384,23,Low
62b8d23948ba5a41d1c3f498,CoderEval,4.229871195093384,23,Low
62b8d23748ba5a41d1c3f496,CoderEval,4.229871195093384,23,Low
62b8d22f48ba5a41d1c3f488,CoderEval,3.5724312513221195,18,Low
62b8d22a48ba5a41d1c3f47e,CoderEval,3.6573852766501784,26,Low
62b8d22948ba5a41d1c3f47c,CoderEval,3.681880802803402,19,Low
62b8d22548ba5a41d1c3f472,CoderEval,3.418295834054489,12,Low
62b8b59feb7e40a82d2d1291,CoderEval,3.6644977792004623,14,Low
62b8b590eb7e40a82d2d1275,CoderEval,3.906890595608518,15,Low
62b8b58deb7e40a82d2d1269,CoderEval,3.773557262275185,15,Low
62b8b559eb7e40a82d2d11f8,CoderEval,3.0,8,Low
62b8b4b9eb7e40a82d2d1134,CoderEval,3.121928094887362,10,Low
62b8b416eb7e40a82d2d1129,CoderEval,2.807354922057604,7,Low
62b8b3d6eb7e40a82d2d111c,CoderEval,4.277613436819114,22,Low
62b8b3d5eb7e40a82d2d1110,CoderEval,3.459431618637298,11,Low
62b8b3d4eb7e40a82d2d110f,CoderEval,3.321928094887362,10,Low
62b8b3d4eb7e40a82d2d110e,CoderEval,3.773557262275185,15,Low
62b8b3d4eb7e40a82d2d110d,CoderEval,3.321928094887362,10,Low
62b87b989a0c4fa8b80b35ee,CoderEval,4.1219280948873624,20,Low
62b87b859a0c4fa8b80b35d7,CoderEval,5.742204444675835,79,Low
62b87b839a0c4fa8b80b35cb,CoderEval,2.807354922057604,7,Low
62b87b7e9a0c4fa8b80b35bc,CoderEval,6.135284950276797,95,High
62b87b4f9a0c4fa8b80b3580,CoderEval,2.5216406363433186,7,Low
62b87b199a0c4fa8b80b354e,CoderEval,3.584962500721156,12,Low
62b87b099a0c4fa8b80b3538,CoderEval,3.277613436819116,11,Low
