"model","technique","bucket","feature","n_fp_correct","n_degraded","r","r_p_value","r_significant","mw_statistic","mw_p_value","mw_significant"
"CodeLlama-7B-Instruct","AWQ","High","entropy",119,38,0.1538,0.094884,FALSE,1831,0.09661,FALSE
"CodeLlama-7B-Instruct","AWQ","High","length_words",119,38,0.1658,0.071475,FALSE,1796.5,0.142868,FALSE
"CodeLlama-7B-Instruct","AWQ","Low","entropy",189,27,0.0847,0.246778,FALSE,2636,0.08833,FALSE
"CodeLlama-7B-Instruct","AWQ","Low","length_words",189,27,0.1186,0.104003,FALSE,2590,0.126056,FALSE
"CodeLlama-7B-Instruct","GPTQ","High","entropy",119,30,0.0697,0.451053,FALSE,1511,0.282804,FALSE
"CodeLlama-7B-Instruct","GPTQ","High","length_words",119,30,0.0773,0.403674,FALSE,1573,0.146002,FALSE
"CodeLlama-7B-Instruct","GPTQ","Low","entropy",189,30,0.0245,0.738327,FALSE,2552.5,0.5434,FALSE
"CodeLlama-7B-Instruct","GPTQ","Low","length_words",189,30,-0.0053,0.942415,FALSE,2351.5,0.904397,FALSE
"CodeLlama-7B-Instruct","GGUF","High","entropy",119,38,0.2435,0.007607,TRUE,1916,0.031873,TRUE
"CodeLlama-7B-Instruct","GGUF","High","length_words",119,38,0.3402,0.000154,TRUE,2049.5,0.003642,TRUE
"CodeLlama-7B-Instruct","GGUF","Low","entropy",189,49,0.1131,0.121371,FALSE,4049.5,0.060352,FALSE
"CodeLlama-7B-Instruct","GGUF","Low","length_words",189,49,0.1305,0.073583,FALSE,3971.5,0.100604,FALSE
"CodeLlama-7B-Instruct","BnB","High","entropy",119,49,0.0966,0.295924,FALSE,1871,0.401121,FALSE
"CodeLlama-7B-Instruct","BnB","High","length_words",119,49,0.1707,0.063381,FALSE,2005,0.117935,FALSE
"CodeLlama-7B-Instruct","BnB","Low","entropy",189,62,0.2355,0.001105,TRUE,4923,0.005253,TRUE
"CodeLlama-7B-Instruct","BnB","Low","length_words",189,62,0.1917,0.008237,TRUE,4742,0.022666,TRUE
"CodeLlama-7B-Instruct","AQLM","High","entropy",119,50,0.0379,0.682409,FALSE,1736,0.95492,FALSE
"CodeLlama-7B-Instruct","AQLM","High","length_words",119,50,0.0179,0.846474,FALSE,1698,0.886525,FALSE
"CodeLlama-7B-Instruct","AQLM","Low","entropy",189,53,0.1487,0.041144,TRUE,4519.5,0.006759,TRUE
"CodeLlama-7B-Instruct","AQLM","Low","length_words",189,53,0.1755,0.015741,TRUE,4474.5,0.009998,TRUE
"CodeLlama-7B-Instruct","QuIP#","High","entropy",119,84,0.1414,0.125115,FALSE,1687,0.206714,FALSE
"CodeLlama-7B-Instruct","QuIP#","High","length_words",119,84,0.1455,0.114366,FALSE,1664,0.258996,FALSE
"CodeLlama-7B-Instruct","QuIP#","Low","entropy",189,88,0.2748,0.00013,TRUE,6039,2.1e-05,TRUE
"CodeLlama-7B-Instruct","QuIP#","Low","length_words",189,88,0.2918,4.6e-05,TRUE,5961.5,5.2e-05,TRUE
"Qwen2.5-Coder-7B-Instruct","AWQ","High","entropy",242,36,0.0091,0.888431,FALSE,3722,0.97221,FALSE
"Qwen2.5-Coder-7B-Instruct","AWQ","High","length_words",242,36,-0.0306,0.636185,FALSE,3787,0.839444,FALSE
"Qwen2.5-Coder-7B-Instruct","AWQ","Low","entropy",288,36,-0.1165,0.048186,TRUE,4391.5,0.758026,FALSE
"Qwen2.5-Coder-7B-Instruct","AWQ","Low","length_words",288,36,-0.0547,0.354974,FALSE,4567.5,0.947111,FALSE
"Qwen2.5-Coder-7B-Instruct","GPTQ","High","entropy",242,28,0.0663,0.304651,FALSE,3575,0.096763,FALSE
"Qwen2.5-Coder-7B-Instruct","GPTQ","High","length_words",242,28,0.0401,0.53471,FALSE,3625,0.071136,FALSE
"Qwen2.5-Coder-7B-Instruct","GPTQ","Low","entropy",288,45,-0.2231,0.000134,TRUE,4461,0.049956,TRUE
"Qwen2.5-Coder-7B-Instruct","GPTQ","Low","length_words",288,45,-0.1906,0.001151,TRUE,4377,0.033629,TRUE
"Qwen2.5-Coder-7B-Instruct","GGUF","High","entropy",242,34,-0.0794,0.218348,FALSE,3120,0.272221,FALSE
"Qwen2.5-Coder-7B-Instruct","GGUF","High","length_words",242,34,-0.0468,0.468193,FALSE,3289.5,0.515582,FALSE
"Qwen2.5-Coder-7B-Instruct","GGUF","Low","entropy",288,38,-0.0801,0.174997,FALSE,4791,0.932523,FALSE
"Qwen2.5-Coder-7B-Instruct","GGUF","Low","length_words",288,38,-0.0635,0.28274,FALSE,4615,0.778516,FALSE
"Qwen2.5-Coder-7B-Instruct","BnB","High","entropy",242,53,-0.0618,0.338765,FALSE,4434,0.202496,FALSE
"Qwen2.5-Coder-7B-Instruct","BnB","High","length_words",242,53,0.0273,0.67252,FALSE,5250,0.592515,FALSE
"Qwen2.5-Coder-7B-Instruct","BnB","Low","entropy",288,60,-0.016,0.787364,FALSE,6974.5,0.815407,FALSE
"Qwen2.5-Coder-7B-Instruct","BnB","Low","length_words",288,60,-0.0176,0.765535,FALSE,6912,0.900844,FALSE
"Qwen2.5-Coder-7B-Instruct","AQLM","High","entropy",242,43,0.0149,0.818123,FALSE,4402,0.767625,FALSE
"Qwen2.5-Coder-7B-Instruct","AQLM","High","length_words",242,43,0.0704,0.275333,FALSE,4766,0.241951,FALSE
"Qwen2.5-Coder-7B-Instruct","AQLM","Low","entropy",288,46,-0.0056,0.925229,FALSE,6115.5,0.289008,FALSE
"Qwen2.5-Coder-7B-Instruct","AQLM","Low","length_words",288,46,0.0301,0.611365,FALSE,6230,0.199943,FALSE
"Qwen2.5-Coder-7B-Instruct","QuIP#","High","entropy",242,99,0.064,0.321292,FALSE,7501,0.430603,FALSE
"Qwen2.5-Coder-7B-Instruct","QuIP#","High","length_words",242,99,0.1001,0.120421,FALSE,7580.5,0.348859,FALSE
"Qwen2.5-Coder-7B-Instruct","QuIP#","Low","entropy",288,94,-0.0053,0.928819,FALSE,9268.5,0.820933,FALSE
"Qwen2.5-Coder-7B-Instruct","QuIP#","Low","length_words",288,94,-0.0185,0.755014,FALSE,8986.5,0.843267,FALSE
