"model","technique","bucket","deg_McEval","deg_CoderEval","deg_BigCodeBench","ent_r","ent_p","len_r","len_p"
"CodeLlama-7B-Instruct","AWQ","High",0.0667,0,0.0554,0.1918,0.000713,0.2481,1.1e-05
"CodeLlama-7B-Instruct","AWQ","Low",0,0.0217,0.0469,0.1918,0.000713,0.2481,1.1e-05
"CodeLlama-7B-Instruct","GPTQ","High",0.0667,0,0.0431,0.0918,0.107833,0.1063,0.062527
"CodeLlama-7B-Instruct","GPTQ","Low",0,0.038,0.0469,0.0918,0.107833,0.1063,0.062527
"CodeLlama-7B-Instruct","GGUF","High",0.1,0,0.0538,0.1373,0.015907,0.2067,0.000261
"CodeLlama-7B-Instruct","GGUF","Low",0,0.038,0.0857,0.1373,0.015907,0.2067,0.000261
"CodeLlama-7B-Instruct","BnB","High",0.0333,0,0.0738,0.2032,0.000332,0.1874,0.000953
"CodeLlama-7B-Instruct","BnB","Low",0,0.0272,0.1163,0.2032,0.000332,0.1874,0.000953
"CodeLlama-7B-Instruct","AQLM","High",0.1667,0,0.0692,0.1772,0.001799,0.1717,0.002496
"CodeLlama-7B-Instruct","AQLM","Low",0,0.038,0.0939,0.1772,0.001799,0.1717,0.002496
"CodeLlama-7B-Instruct","QuIP#","High",0.1333,0,0.1231,0.3248,0,0.321,0
"CodeLlama-7B-Instruct","QuIP#","Low",0,0.0707,0.1531,0.3248,0,0.321,0
"Qwen2.5-Coder-7B-Instruct","AWQ","High",0.0667,0,0.0523,-0.0387,0.374278,-0.0042,0.923027
"Qwen2.5-Coder-7B-Instruct","AWQ","Low",0.1667,0.0543,0.049,-0.0387,0.374278,-0.0042,0.923027
"Qwen2.5-Coder-7B-Instruct","GPTQ","High",0.1333,0,0.0369,-0.1557,0.000322,-0.0863,0.047077
"Qwen2.5-Coder-7B-Instruct","GPTQ","Low",0.0833,0.0815,0.0592,-0.1557,0.000322,-0.0863,0.047077
"Qwen2.5-Coder-7B-Instruct","GGUF","High",0.0333,0,0.0508,-0.0487,0.263445,-0.0289,0.506458
"Qwen2.5-Coder-7B-Instruct","GGUF","Low",0.0833,0.0489,0.0571,-0.0487,0.263445,-0.0289,0.506458
"Qwen2.5-Coder-7B-Instruct","BnB","High",0.0667,0,0.0785,-0.0106,0.807069,0.0148,0.733767
"Qwen2.5-Coder-7B-Instruct","BnB","Low",0.1667,0.0543,0.098,-0.0106,0.807069,0.0148,0.733767
"Qwen2.5-Coder-7B-Instruct","AQLM","High",0.0667,0,0.0631,0.0144,0.741036,0.0542,0.213213
"Qwen2.5-Coder-7B-Instruct","AQLM","Low",0.0833,0.0435,0.0755,0.0144,0.741036,0.0542,0.213213
"Qwen2.5-Coder-7B-Instruct","QuIP#","High",0.0667,0.1667,0.1477,0.0611,0.160144,0.0952,0.028464
"Qwen2.5-Coder-7B-Instruct","QuIP#","Low",0.1667,0.0761,0.1592,0.0611,0.160144,0.0952,0.028464
