"model","technique","feature","n_fp_correct","n_degraded","r","r_p_value","r_significant","mw_statistic","mw_p_value","mw_significant","mean_degraded","mean_kept"
"CodeLlama-7B-Instruct","AWQ","entropy",308,65,0.1918,0.000713,TRUE,10623,1.9e-05,TRUE,5.77,5.4
"CodeLlama-7B-Instruct","AWQ","length_words",308,65,0.2481,1.1e-05,TRUE,10482,5.1e-05,TRUE,100.11,75.49
"CodeLlama-7B-Instruct","GPTQ","entropy",308,60,0.0918,0.107833,FALSE,8833.5,0.024423,TRUE,5.63,5.44
"CodeLlama-7B-Instruct","GPTQ","length_words",308,60,0.1063,0.062527,FALSE,8611.5,0.058501,FALSE,89.43,78.57
"CodeLlama-7B-Instruct","GGUF","entropy",308,87,0.1373,0.015907,TRUE,11285.5,0.017523,TRUE,5.65,5.41
"CodeLlama-7B-Instruct","GGUF","length_words",308,87,0.2067,0.000261,TRUE,11461.5,0.008642,TRUE,94.02,75.43
"CodeLlama-7B-Instruct","BnB","entropy",308,111,0.2032,0.000332,TRUE,13017,0.005505,TRUE,5.69,5.36
"CodeLlama-7B-Instruct","BnB","length_words",308,111,0.1874,0.000953,TRUE,13008,0.005707,TRUE,90.79,74.99
"CodeLlama-7B-Instruct","AQLM","entropy",308,103,0.1772,0.001799,TRUE,13055.5,0.000706,TRUE,5.68,5.38
"CodeLlama-7B-Instruct","AQLM","length_words",308,103,0.1717,0.002496,TRUE,12880,0.001637,TRUE,90.5,75.76
"CodeLlama-7B-Instruct","QuIP#","entropy",308,172,0.3248,0,TRUE,16210,0,TRUE,5.71,5.19
"CodeLlama-7B-Instruct","QuIP#","length_words",308,172,0.321,0,TRUE,16126,0,TRUE,92.24,66.07
"Qwen2.5-Coder-7B-Instruct","AWQ","entropy",530,72,-0.0387,0.374278,FALSE,17185.5,0.563938,FALSE,5.52,5.6
"Qwen2.5-Coder-7B-Instruct","AWQ","length_words",530,72,-0.0042,0.923027,FALSE,17410,0.445522,FALSE,86.83,87.36
"Qwen2.5-Coder-7B-Instruct","GPTQ","entropy",530,73,-0.1557,0.000322,TRUE,14840,0.129923,FALSE,5.31,5.64
"Qwen2.5-Coder-7B-Instruct","GPTQ","length_words",530,73,-0.0863,0.047077,TRUE,14916,0.146515,FALSE,78.1,88.75
"Qwen2.5-Coder-7B-Instruct","GGUF","entropy",530,72,-0.0487,0.263445,FALSE,16411,0.949504,FALSE,5.5,5.6
"Qwen2.5-Coder-7B-Instruct","GGUF","length_words",530,72,-0.0289,0.506458,FALSE,16221,0.825378,FALSE,84.18,87.77
"Qwen2.5-Coder-7B-Instruct","BnB","entropy",530,113,-0.0106,0.807069,FALSE,23492.5,0.962716,FALSE,5.58,5.59
"Qwen2.5-Coder-7B-Instruct","BnB","length_words",530,113,0.0148,0.733767,FALSE,24239.5,0.638419,FALSE,88.5,86.96
"Qwen2.5-Coder-7B-Instruct","AQLM","entropy",530,89,0.0144,0.741036,FALSE,20923.5,0.324474,FALSE,5.61,5.59
"Qwen2.5-Coder-7B-Instruct","AQLM","length_words",530,89,0.0542,0.213213,FALSE,21338.5,0.193499,FALSE,92.42,86.25
"Qwen2.5-Coder-7B-Instruct","QuIP#","entropy",530,193,0.0611,0.160144,FALSE,35975.5,0.041723,TRUE,5.65,5.56
"Qwen2.5-Coder-7B-Instruct","QuIP#","length_words",530,193,0.0952,0.028464,TRUE,35359,0.094331,FALSE,92.64,84.22
