"model","technique","n","both_pass","fp_only","q_only","both_fail","pass1_fp","pass1_q","delta","statistic","p_value","significant"
"CodeLlama-7B-Instruct","AWQ",1372,243,65,64,1000,0.2245,0.2238,-7e-04,0,1,FALSE
"CodeLlama-7B-Instruct","GPTQ",1372,248,60,46,1018,0.2245,0.2143,-0.0102,1.5943,0.206707,FALSE
"CodeLlama-7B-Instruct","GGUF",1372,221,87,69,995,0.2245,0.2114,-0.0131,1.8526,0.173485,FALSE
"CodeLlama-7B-Instruct","BnB",1372,197,111,54,1010,0.2245,0.1829,-0.0415,19.0061,1.3e-05,TRUE
"CodeLlama-7B-Instruct","AQLM",1372,205,103,160,904,0.2245,0.266,0.0415,11.924,0.000554,TRUE
"CodeLlama-7B-Instruct","QuIP#",1372,136,172,39,1025,0.2245,0.1276,-0.0969,82.5782,0,TRUE
"Qwen2.5-Coder-7B-Instruct","AWQ",1372,458,72,72,770,0.3863,0.3863,0,0,1,FALSE
"Qwen2.5-Coder-7B-Instruct","GPTQ",1372,457,73,59,783,0.3863,0.3761,-0.0102,1.2803,0.257843,FALSE
"Qwen2.5-Coder-7B-Instruct","GGUF",1372,458,72,64,778,0.3863,0.3805,-0.0058,0.3603,0.548343,FALSE
"Qwen2.5-Coder-7B-Instruct","BnB",1372,417,113,95,747,0.3863,0.3732,-0.0131,1.3894,0.238503,FALSE
"Qwen2.5-Coder-7B-Instruct","AQLM",1372,441,89,98,744,0.3863,0.3929,0.0066,0.3422,0.558536,FALSE
"Qwen2.5-Coder-7B-Instruct","QuIP#",1372,337,193,85,757,0.3863,0.3076,-0.0787,41.1835,0,TRUE
