task_id,benchmark,entropy,length_words,bucket,pass_fp,pass_q,model,technique,degraded,helped
Python-7,McEval,6.047734536501066,143,High,0,0,CodeLlama-7B-Instruct,AWQ,0,0
Python-8,McEval,6.515546702638959,168,High,0,0,CodeLlama-7B-Instruct,AWQ,0,0
Python-9,McEval,5.598240842293285,72,Low,0,0,CodeLlama-7B-Instruct,AWQ,0,0
Python-10,McEval,5.717777969118141,104,Low,0,0,CodeLlama-7B-Instruct,AWQ,0,0
Python-11,McEval,4.53421902118034,46,Low,0,0,CodeLlama-7B-Instruct,AWQ,0,0
Python-12,McEval,5.088343091584564,56,Low,0,0,CodeLlama-7B-Instruct,AWQ,0,0
Python-13,McEval,5.96686250979328,209,High,0,1,CodeLlama-7B-Instruct,AWQ,0,1
Python-14,McEval,5.47775192497188,117,Low,0,0,CodeLlama-7B-Instruct,AWQ,0,0
Python-15,McEval,6.211410059540001,180,High,0,0,CodeLlama-7B-Instruct,AWQ,0,0
Python-16,McEval,5.619173550875148,108,Low,0,0,CodeLlama-7B-Instruct,AWQ,0,0
Python-17,McEval,6.002494949089661,131,High,1,1,CodeLlama-7B-Instruct,AWQ,0,0
Python-18,McEval,6.176090756258256,154,High,0,0,CodeLlama-7B-Instruct,AWQ,0,0
Python-19,McEval,5.845991320209795,194,High,0,0,CodeLlama-7B-Instruct,AWQ,0,0
Python-20,McEval,6.166014759168177,190,High,0,0,CodeLlama-7B-Instruct,AWQ,0,0
Python-21,McEval,6.28505921477374,181,High,0,0,CodeLlama-7B-Instruct,AWQ,0,0
Python-22,McEval,5.895053312282227,115,High,0,0,CodeLlama-7B-Instruct,AWQ,0,0
Python-24,McEval,5.489097917988789,72,Low,0,0,CodeLlama-7B-Instruct,AWQ,0,0
Python-25,McEval,5.969420322642397,123,High,0,0,CodeLlama-7B-Instruct,AWQ,0,0
Python-26,McEval,6.43597055971993,176,High,0,0,CodeLlama-7B-Instruct,AWQ,0,0
Python-27,McEval,4.701649204701855,55,Low,0,0,CodeLlama-7B-Instruct,AWQ,0,0
Python-28,McEval,6.340000469274778,171,High,0,0,CodeLlama-7B-Instruct,AWQ,0,0
Python-29,McEval,5.449921476841497,84,Low,0,0,CodeLlama-7B-Instruct,AWQ,0,0
Python-31,McEval,6.154993393414601,119,High,0,0,CodeLlama-7B-Instruct,AWQ,0,0
