"model","technique","bucket","benchmark","n","pass1_fp","pass1_q","degraded","helped","degradation_rate","delta_pass1"
"CodeLlama-7B-Instruct","AWQ","High","McEval",30,0.2333,0.2333,2,2,0.0667,0
"CodeLlama-7B-Instruct","AWQ","High","CoderEval",6,0.1667,0.5,0,2,0,0.3333
"CodeLlama-7B-Instruct","AWQ","High","BigCodeBench",650,0.1708,0.1646,36,32,0.0554,-0.0062
"CodeLlama-7B-Instruct","AWQ","Low","McEval",12,0,0,0,0,0,0
"CodeLlama-7B-Instruct","AWQ","Low","CoderEval",184,0.2391,0.2337,4,3,0.0217,-0.0054
"CodeLlama-7B-Instruct","AWQ","Low","BigCodeBench",490,0.2959,0.3,23,25,0.0469,0.0041
"CodeLlama-7B-Instruct","GPTQ","High","McEval",30,0.2333,0.1667,2,0,0.0667,-0.0667
"CodeLlama-7B-Instruct","GPTQ","High","CoderEval",6,0.1667,0.3333,0,1,0,0.1667
"CodeLlama-7B-Instruct","GPTQ","High","BigCodeBench",650,0.1708,0.1569,28,19,0.0431,-0.0138
"CodeLlama-7B-Instruct","GPTQ","Low","McEval",12,0,0.0833,0,1,0,0.0833
"CodeLlama-7B-Instruct","GPTQ","Low","CoderEval",184,0.2391,0.2283,7,5,0.038,-0.0109
"CodeLlama-7B-Instruct","GPTQ","Low","BigCodeBench",490,0.2959,0.2898,23,20,0.0469,-0.0061
"CodeLlama-7B-Instruct","GGUF","High","McEval",30,0.2333,0.1667,3,1,0.1,-0.0667
"CodeLlama-7B-Instruct","GGUF","High","CoderEval",6,0.1667,0.3333,0,1,0,0.1667
"CodeLlama-7B-Instruct","GGUF","High","BigCodeBench",650,0.1708,0.1662,35,32,0.0538,-0.0046
"CodeLlama-7B-Instruct","GGUF","Low","McEval",12,0,0,0,0,0,0
"CodeLlama-7B-Instruct","GGUF","Low","CoderEval",184,0.2391,0.2283,7,5,0.038,-0.0109
"CodeLlama-7B-Instruct","GGUF","Low","BigCodeBench",490,0.2959,0.2714,42,30,0.0857,-0.0245
"CodeLlama-7B-Instruct","BnB","High","McEval",30,0.2333,0.2667,1,2,0.0333,0.0333
"CodeLlama-7B-Instruct","BnB","High","CoderEval",6,0.1667,0.1667,0,0,0,0
"CodeLlama-7B-Instruct","BnB","High","BigCodeBench",650,0.1708,0.1415,48,29,0.0738,-0.0292
"CodeLlama-7B-Instruct","BnB","Low","McEval",12,0,0,0,0,0,0
"CodeLlama-7B-Instruct","BnB","Low","CoderEval",184,0.2391,0.2174,5,1,0.0272,-0.0217
"CodeLlama-7B-Instruct","BnB","Low","BigCodeBench",490,0.2959,0.2245,57,22,0.1163,-0.0714
"CodeLlama-7B-Instruct","AQLM","High","McEval",30,0.2333,0.1333,5,2,0.1667,-0.1
"CodeLlama-7B-Instruct","AQLM","High","CoderEval",6,0.1667,0.3333,0,1,0,0.1667
"CodeLlama-7B-Instruct","AQLM","High","BigCodeBench",650,0.1708,0.2277,45,82,0.0692,0.0569
"CodeLlama-7B-Instruct","AQLM","Low","McEval",12,0,0.0833,0,1,0,0.0833
"CodeLlama-7B-Instruct","AQLM","Low","CoderEval",184,0.2391,0.2554,7,10,0.038,0.0163
"CodeLlama-7B-Instruct","AQLM","Low","BigCodeBench",490,0.2959,0.3327,46,64,0.0939,0.0367
"CodeLlama-7B-Instruct","QuIP#","High","McEval",30,0.2333,0.1,4,0,0.1333,-0.1333
"CodeLlama-7B-Instruct","QuIP#","High","CoderEval",6,0.1667,0.3333,0,1,0,0.1667
"CodeLlama-7B-Instruct","QuIP#","High","BigCodeBench",650,0.1708,0.0708,80,15,0.1231,-0.1
"CodeLlama-7B-Instruct","QuIP#","Low","McEval",12,0,0.0833,0,1,0,0.0833
"CodeLlama-7B-Instruct","QuIP#","Low","CoderEval",184,0.2391,0.2065,13,7,0.0707,-0.0326
"CodeLlama-7B-Instruct","QuIP#","Low","BigCodeBench",490,0.2959,0.1735,75,15,0.1531,-0.1224
"Qwen2.5-Coder-7B-Instruct","AWQ","High","McEval",30,0.3333,0.3,2,1,0.0667,-0.0333
"Qwen2.5-Coder-7B-Instruct","AWQ","High","CoderEval",6,0.1667,0.5,0,2,0,0.3333
"Qwen2.5-Coder-7B-Instruct","AWQ","High","BigCodeBench",650,0.3554,0.3538,34,33,0.0523,-0.0015
"Qwen2.5-Coder-7B-Instruct","AWQ","Low","McEval",12,0.25,0.0833,2,0,0.1667,-0.1667
"Qwen2.5-Coder-7B-Instruct","AWQ","Low","CoderEval",184,0.2446,0.2717,10,15,0.0543,0.0272
"Qwen2.5-Coder-7B-Instruct","AWQ","Low","BigCodeBench",490,0.4898,0.4837,24,21,0.049,-0.0061
"Qwen2.5-Coder-7B-Instruct","GPTQ","High","McEval",30,0.3333,0.2,4,0,0.1333,-0.1333
"Qwen2.5-Coder-7B-Instruct","GPTQ","High","CoderEval",6,0.1667,0.5,0,2,0,0.3333
"Qwen2.5-Coder-7B-Instruct","GPTQ","High","BigCodeBench",650,0.3554,0.3708,24,34,0.0369,0.0154
"Qwen2.5-Coder-7B-Instruct","GPTQ","Low","McEval",12,0.25,0.1667,1,0,0.0833,-0.0833
"Qwen2.5-Coder-7B-Instruct","GPTQ","Low","CoderEval",184,0.2446,0.2174,15,10,0.0815,-0.0272
"Qwen2.5-Coder-7B-Instruct","GPTQ","Low","BigCodeBench",490,0.4898,0.4571,29,13,0.0592,-0.0327
"Qwen2.5-Coder-7B-Instruct","GGUF","High","McEval",30,0.3333,0.5333,1,7,0.0333,0.2
"Qwen2.5-Coder-7B-Instruct","GGUF","High","CoderEval",6,0.1667,0.1667,0,0,0,0
"Qwen2.5-Coder-7B-Instruct","GGUF","High","BigCodeBench",650,0.3554,0.3446,33,26,0.0508,-0.0108
"Qwen2.5-Coder-7B-Instruct","GGUF","Low","McEval",12,0.25,0.1667,1,0,0.0833,-0.0833
"Qwen2.5-Coder-7B-Instruct","GGUF","Low","CoderEval",184,0.2446,0.2609,9,12,0.0489,0.0163
"Qwen2.5-Coder-7B-Instruct","GGUF","Low","BigCodeBench",490,0.4898,0.4714,28,19,0.0571,-0.0184
"Qwen2.5-Coder-7B-Instruct","BnB","High","McEval",30,0.3333,0.4,2,4,0.0667,0.0667
"Qwen2.5-Coder-7B-Instruct","BnB","High","CoderEval",6,0.1667,0.5,0,2,0,0.3333
"Qwen2.5-Coder-7B-Instruct","BnB","High","BigCodeBench",650,0.3554,0.3477,51,46,0.0785,-0.0077
"Qwen2.5-Coder-7B-Instruct","BnB","Low","McEval",12,0.25,0.3333,2,3,0.1667,0.0833
"Qwen2.5-Coder-7B-Instruct","BnB","Low","CoderEval",184,0.2446,0.2609,10,13,0.0543,0.0163
"Qwen2.5-Coder-7B-Instruct","BnB","Low","BigCodeBench",490,0.4898,0.4469,48,27,0.098,-0.0429
"Qwen2.5-Coder-7B-Instruct","AQLM","High","McEval",30,0.3333,0.5,2,7,0.0667,0.1667
