Model,Technique,Metric,n,n_degraded,r,p_value,sig
CodeLlama-7B-Instruct,AWQ,entropy,256,59,0.23100508140869547,0.00019258545924977737,***
CodeLlama-7B-Instruct,AWQ,length,256,59,0.22772206657307326,0.0002386784017318283,***
CodeLlama-7B-Instruct,GPTQ,entropy,256,51,0.13061618318954973,0.036744885955521014,*
CodeLlama-7B-Instruct,GPTQ,length,256,51,0.09290177389732773,0.13824408573378522,
CodeLlama-7B-Instruct,GGUF,entropy,256,77,0.1337798385350989,0.03238474693466855,*
CodeLlama-7B-Instruct,GGUF,length,256,77,0.17882508721856819,0.004099890908960984,**
CodeLlama-7B-Instruct,BnB,entropy,256,105,0.0591821097976912,0.3456263509452101,
CodeLlama-7B-Instruct,BnB,length,256,105,0.10659201197405138,0.08875948665882781,
CodeLlama-7B-Instruct,AQLM,entropy,256,91,0.12717315493052136,0.04204497320793675,*
CodeLlama-7B-Instruct,AQLM,length,256,91,0.09510087281597414,0.12911298128924714,
CodeLlama-7B-Instruct,QuIP#,entropy,256,155,0.28117025151966546,4.895412978685637e-06,***
CodeLlama-7B-Instruct,QuIP#,length,256,155,0.2639891731078119,1.874715379051537e-05,***
Qwen2.5-Coder-7B-Instruct,AWQ,entropy,471,58,0.09084826491997189,0.048783963309593406,*
Qwen2.5-Coder-7B-Instruct,AWQ,length,471,58,0.058569798614048374,0.20450350940545714,
Qwen2.5-Coder-7B-Instruct,GPTQ,entropy,471,53,0.015183914856477805,0.7424030412760924,
Qwen2.5-Coder-7B-Instruct,GPTQ,length,471,53,-0.0002975866223726628,0.9948606831530844,
Qwen2.5-Coder-7B-Instruct,GGUF,entropy,471,61,0.02650607602941572,0.5660887225081752,
Qwen2.5-Coder-7B-Instruct,GGUF,length,471,61,0.011510567919954258,0.8032424599176851,
Qwen2.5-Coder-7B-Instruct,BnB,entropy,471,99,0.019418376711635394,0.6742313824752392,
Qwen2.5-Coder-7B-Instruct,BnB,length,471,99,0.031887778191416645,0.4899538039008033,
Qwen2.5-Coder-7B-Instruct,AQLM,entropy,471,78,0.06469441442692522,0.16098370608805135,
Qwen2.5-Coder-7B-Instruct,AQLM,length,471,78,0.07497850629785513,0.10412249165990846,
Qwen2.5-Coder-7B-Instruct,QuIP#,entropy,471,174,0.09665966833127182,0.035984874626632045,*
Qwen2.5-Coder-7B-Instruct,QuIP#,length,471,174,0.11275327143897927,0.014351550657744013,*
