TaskID,FP,AWQ,GPTQ,GGUF,BnB,AQLM,QuIP
Python-7,2.0,2.0,2.0,5.0,2.0,5.0,5.0
Python-8,2.0,9.0,2.0,10.0,2.0,2.0,7.0
Python-9,5.0,5.0,5.0,7.0,5.0,8.0,5.0
Python-10,4.0,4.0,4.0,4.0,4.0,5.0,2.0
Python-11,10.0,6.0,9.0,5.0,2.0,6.0,5.0
Python-12,5.0,5.0,2.0,6.0,5.0,6.0,3.0
Python-13,11.0,11.0,11.0,11.0,11.0,11.0,11.0
Python-14,2.0,2.0,2.0,2.0,2.0,2.0,4.0
Python-15,3.0,3.0,3.0,6.0,3.0,7.0,11.0
Python-16,3.0,3.0,3.0,5.0,3.0,6.0,5.0
Python-17,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Python-18,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Python-19,2.0,2.0,2.0,2.0,2.0,5.0,5.0
Python-20,3.0,3.0,3.0,12.0,3.0,10.0,3.0
Python-21,3.0,5.0,4.0,4.0,5.0,3.0,4.0
Python-22,6.0,6.0,6.0,7.0,6.0,8.0,8.0
Python-24,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Python-25,6.0,6.0,6.0,6.0,6.0,7.0,3.0
Python-26,7.0,3.0,3.0,7.0,7.0,7.0,7.0
Python-27,2.0,2.0,2.0,2.0,2.0,2.0,4.0
Python-28,9.0,9.0,9.0,9.0,9.0,9.0,9.0
Python-29,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Python-31,2.0,2.0,2.0,6.0,7.0,7.0,6.0
Python-32,2.0,2.0,2.0,10.0,2.0,13.0,7.0
Python-33,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Python-34,5.0,5.0,5.0,5.0,4.0,5.0,5.0
Python-35,5.0,5.0,3.0,4.0,3.0,5.0,5.0
Python-36,5.0,6.0,5.0,5.0,4.0,5.0,3.0
Python-37,4.0,4.0,2.0,4.0,2.0,4.0,4.0
Python-38,6.0,4.0,2.0,4.0,6.0,4.0,4.0
Python-39,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Python-40,3.0,7.0,2.0,3.0,4.0,3.0,3.0
Python-41,6.0,6.0,6.0,6.0,6.0,6.0,6.0
Python-42,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Python-43,2.0,6.0,2.0,6.0,2.0,6.0,6.0
Python-44,2.0,2.0,2.0,2.0,2.0,2.0,4.0
Python-45,4.0,4.0,4.0,3.0,3.0,3.0,3.0
Python-46,2.0,2.0,2.0,6.0,2.0,10.0,5.0
Python-47,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Python-48,2.0,2.0,2.0,4.0,2.0,4.0,7.0
Python-49,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Python-50,2.0,1.0,2.0,2.0,2.0,2.0,2.0
