TaskID,FP,AWQ,GPTQ,GGUF,BnB,AQLM,QuIP
Python-7,11.0,11.0,11.0,16.0,11.0,18.0,17.0
Python-8,10.0,22.0,10.0,31.0,10.0,10.0,20.0
Python-9,12.0,12.0,12.0,20.0,12.0,22.0,12.0
Python-10,18.0,18.0,18.0,18.0,18.0,18.0,10.0
Python-11,34.0,22.0,33.0,26.0,8.0,27.0,26.0
Python-12,29.0,29.0,22.0,30.0,29.0,32.0,26.0
Python-13,39.0,39.0,39.0,39.0,39.0,39.0,39.0
Python-14,6.0,6.0,6.0,6.0,6.0,6.0,18.0
Python-15,27.0,27.0,27.0,38.0,27.0,46.0,42.0
Python-16,24.0,24.0,24.0,30.0,24.0,30.0,32.0
Python-17,12.0,12.0,12.0,14.0,12.0,14.0,15.0
Python-18,12.0,12.0,12.0,12.0,12.0,12.0,12.0
Python-19,8.0,8.0,8.0,8.0,8.0,16.0,15.0
Python-20,14.0,14.0,14.0,31.0,14.0,29.0,14.0
Python-21,20.0,21.0,21.0,21.0,21.0,16.0,21.0
Python-22,18.0,18.0,18.0,20.0,18.0,23.0,25.0
Python-24,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Python-25,22.0,22.0,22.0,22.0,22.0,24.0,13.0
Python-26,20.0,13.0,13.0,20.0,20.0,20.0,21.0
Python-27,18.0,18.0,18.0,18.0,18.0,18.0,28.0
Python-28,41.0,41.0,41.0,38.0,41.0,42.0,38.0
Python-29,7.0,7.0,7.0,7.0,7.0,7.0,7.0
Python-31,14.0,14.0,14.0,26.0,27.0,27.0,25.0
Python-32,29.0,29.0,29.0,40.0,29.0,44.0,39.0
Python-33,19.0,19.0,19.0,19.0,19.0,19.0,19.0
Python-34,21.0,21.0,21.0,21.0,19.0,21.0,21.0
Python-35,19.0,20.0,16.0,19.0,16.0,19.0,20.0
Python-36,19.0,19.0,19.0,19.0,18.0,19.0,13.0
Python-37,25.0,25.0,20.0,25.0,20.0,25.0,25.0
Python-38,28.0,25.0,20.0,25.0,28.0,25.0,25.0
Python-39,16.0,16.0,16.0,16.0,16.0,16.0,16.0
Python-40,32.0,34.0,24.0,35.0,36.0,33.0,35.0
Python-41,28.0,30.0,29.0,30.0,33.0,30.0,29.0
Python-42,34.0,34.0,34.0,34.0,34.0,34.0,34.0
Python-43,20.0,31.0,20.0,31.0,20.0,31.0,31.0
Python-44,15.0,15.0,15.0,15.0,15.0,15.0,25.0
Python-45,27.0,27.0,27.0,25.0,25.0,25.0,26.0
Python-46,10.0,10.0,10.0,19.0,10.0,27.0,23.0
Python-47,14.0,14.0,14.0,14.0,14.0,14.0,14.0
Python-48,19.0,19.0,19.0,28.0,19.0,28.0,32.0
Python-49,16.0,16.0,16.0,16.0,16.0,16.0,16.0
Python-50,12.0,6.0,12.0,13.0,12.0,13.0,13.0
