TaskID,FP,AWQ,GPTQ,GGUF,BnB,AQLM,QuIP
Python-7,0,0,0,0,0,1,1
Python-8,0,0,0,0,0,0,0
Python-9,0,0,0,0,0,0,0
Python-10,1,1,1,1,1,1,0
Python-11,1,0,0,0,0,0,0
Python-12,0,0,0,0,0,0,0
Python-13,0,0,1,1,0,0,0
Python-14,0,0,0,0,0,0,0
Python-15,0,0,0,0,0,0,0
Python-16,0,0,0,0,0,0,1
Python-17,0,0,0,1,0,1,1
Python-18,0,0,0,0,0,0,0
Python-19,0,0,0,0,0,1,0
Python-20,0,0,0,0,0,0,0
Python-21,0,0,0,1,0,0,0
Python-22,0,0,0,0,0,0,0
Python-24,0,0,0,0,0,0,0
Python-25,1,0,0,0,1,0,0
Python-26,0,0,0,0,0,0,1
Python-27,0,0,0,0,0,0,0
Python-28,1,1,1,1,1,1,1
Python-29,0,0,0,0,0,0,0
Python-31,0,0,0,1,1,1,0
Python-32,0,0,0,0,0,1,1
Python-33,0,0,0,0,0,0,0
Python-34,1,1,1,1,1,1,1
Python-35,1,0,0,1,0,1,0
Python-36,0,0,0,0,0,1,0
Python-37,1,1,0,1,0,1,1
Python-38,1,1,0,1,1,1,1
Python-39,0,0,0,0,0,0,0
Python-40,0,0,0,0,0,0,0
Python-41,1,1,1,1,1,1,1
Python-42,0,0,0,0,0,0,0
Python-43,0,1,0,1,0,1,1
Python-44,0,0,0,0,0,0,0
Python-45,1,1,1,1,1,1,1
Python-46,0,0,0,0,0,1,0
Python-47,1,1,1,1,1,1,1
Python-48,0,0,0,1,0,1,0
Python-49,1,1,1,1,1,0,1
Python-50,1,0,1,1,1,1,1
