TaskID,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10
Python-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Python-8,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
Python-9,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Python-10,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Python-11,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Python-12,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
Python-13,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
Python-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Python-15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Python-16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Python-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Python-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Python-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Python-20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Python-21,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Python-22,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Python-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Python-25,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Python-26,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Python-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Python-28,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
Python-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Python-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Python-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Python-33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Python-34,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Python-35,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Python-36,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
Python-37,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Python-38,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Python-39,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Python-40,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
Python-41,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Python-42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Python-43,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Python-44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Python-45,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Python-46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Python-47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Python-48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Python-49,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Python-50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
