TaskID,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10
Python-7,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
Python-8,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Python-9,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
Python-10,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
Python-11,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
Python-12,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0
Python-13,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0
Python-14,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
Python-15,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0
Python-16,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0
Python-17,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
Python-18,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
Python-19,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
Python-20,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
Python-21,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0
Python-22,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
Python-24,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Python-25,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0
Python-26,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
Python-27,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
Python-28,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0
Python-29,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
Python-31,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0
Python-32,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0
Python-33,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
Python-34,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
Python-35,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
Python-36,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
Python-37,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
Python-38,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0
Python-39,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
Python-40,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0
Python-41,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0
Python-42,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0
Python-43,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
Python-44,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
Python-45,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
Python-46,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Python-47,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
Python-48,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
Python-49,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
Python-50,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
