TaskID,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10
Python-7,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Python-8,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Python-9,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
Python-10,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Python-11,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Python-12,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
Python-13,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
Python-14,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Python-15,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
Python-16,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Python-17,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Python-18,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Python-19,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Python-20,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
Python-21,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Python-22,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
Python-24,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Python-25,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
Python-26,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
Python-27,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Python-28,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
Python-29,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Python-31,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
Python-32,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Python-33,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Python-34,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Python-35,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Python-36,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Python-37,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Python-38,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Python-39,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Python-40,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Python-41,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
Python-42,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Python-43,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
Python-44,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Python-45,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Python-46,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
Python-47,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Python-48,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Python-49,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Python-50,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
