TaskID,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10
Python-7,0,0,0,0,0,0,0,0,0,0
Python-8,1,1,1,1,1,1,1,1,1,1
Python-9,0,0,0,0,0,0,0,0,0,0
Python-10,0,0,0,0,0,0,0,0,0,0
Python-11,2,2,2,2,2,2,2,2,2,2
Python-12,3,3,3,3,3,3,3,3,3,3
Python-13,0,0,0,0,0,0,0,0,0,0
Python-14,0,0,0,0,0,0,0,0,0,0
Python-15,5,5,5,5,5,5,5,5,5,5
Python-16,0,0,0,0,0,0,0,0,0,0
Python-17,0,0,0,0,0,0,0,0,0,0
Python-18,0,0,0,0,0,0,0,0,0,0
Python-19,0,0,0,0,0,0,0,0,0,0
Python-20,0,0,0,0,0,0,0,0,0,0
Python-21,0,0,0,0,0,0,0,0,0,0
Python-22,0,0,0,0,0,0,0,0,0,0
Python-24,0,0,0,0,0,0,0,0,0,0
Python-25,0,0,0,0,0,0,0,0,0,0
Python-26,0,0,0,0,0,0,0,0,0,0
Python-27,0,0,0,0,0,0,0,0,0,0
Python-28,4,4,4,4,4,4,4,4,4,4
Python-29,0,0,0,0,0,0,0,0,0,0
Python-31,3,3,3,3,3,3,3,3,3,3
Python-32,2,2,2,2,2,2,2,2,2,2
Python-33,0,0,0,0,0,0,0,0,0,0
Python-34,0,0,0,0,0,0,0,0,0,0
Python-35,0,0,0,0,0,0,0,0,0,0
Python-36,0,0,0,0,0,0,0,0,0,0
Python-37,2,2,2,2,2,2,2,2,2,2
Python-38,1,1,1,1,1,1,1,1,1,1
Python-39,0,0,0,0,0,0,0,0,0,0
Python-40,0,0,0,0,0,0,0,0,0,0
Python-41,0,0,0,0,0,0,0,0,0,0
Python-42,0,0,0,0,0,0,0,0,0,0
Python-43,0,0,0,0,0,0,0,0,0,0
Python-44,0,0,0,0,0,0,0,0,0,0
Python-45,0,0,0,0,0,0,0,0,0,0
Python-46,0,0,0,0,0,0,0,0,0,0
Python-47,0,0,0,0,0,0,0,0,0,0
Python-48,0,0,0,0,0,0,0,0,0,0
Python-49,1,1,1,1,1,1,1,1,1,1
Python-50,0,0,0,0,0,0,0,0,0,0
