TaskID,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10
Python-7,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
Python-8,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
Python-9,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
Python-10,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Python-11,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0
Python-12,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0
Python-13,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0
Python-14,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
Python-15,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0
Python-16,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0
Python-17,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
Python-18,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
Python-19,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
Python-20,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
Python-21,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0
Python-22,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
Python-24,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Python-25,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
Python-26,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0
Python-27,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0
Python-28,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0
Python-29,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
Python-31,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
Python-32,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0
Python-33,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
Python-34,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0
Python-35,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
Python-36,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
Python-37,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
Python-38,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
Python-39,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
Python-40,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0
Python-41,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0
Python-42,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0
Python-43,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0
Python-44,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
Python-45,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0
Python-46,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0
Python-47,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
Python-48,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0
Python-49,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
Python-50,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
