TaskID,LoC,Reliability,Maintainability,Security_Hotspots,CyC,CoC
Python-7,17.0,0,0,0,5.0,4.0
Python-8,20.0,0,1,0,7.0,7.0
Python-9,12.0,0,0,0,5.0,4.0
Python-10,10.0,0,0,0,2.0,0.0
Python-11,26.0,0,1,0,5.0,6.0
Python-12,26.0,0,3,0,3.0,1.0
Python-13,39.0,0,0,0,11.0,9.0
Python-14,18.0,0,0,0,4.0,2.0
Python-15,42.0,0,5,0,11.0,12.0
Python-16,32.0,0,0,0,5.0,4.0
Python-17,15.0,0,0,0,2.0,0.0
Python-18,12.0,0,0,0,2.0,0.0
Python-19,15.0,0,0,0,5.0,3.0
Python-20,14.0,0,0,0,3.0,1.0
Python-21,21.0,0,0,0,4.0,1.0
Python-22,25.0,0,0,0,8.0,7.0
Python-24,10.0,0,0,0,2.0,0.0
Python-25,13.0,0,0,0,3.0,1.0
Python-26,21.0,0,0,0,7.0,11.0
Python-27,28.0,0,0,0,4.0,2.0
Python-28,38.0,0,3,0,9.0,12.0
Python-29,7.0,0,0,0,2.0,0.0
Python-31,25.0,0,3,0,6.0,10.0
Python-32,39.0,0,4,0,7.0,9.0
Python-33,19.0,0,0,0,2.0,0.0
Python-34,21.0,0,0,0,5.0,4.0
Python-35,20.0,0,0,0,5.0,1.0
Python-36,13.0,0,0,0,3.0,1.0
Python-37,25.0,0,2,0,4.0,3.0
Python-38,25.0,0,1,0,4.0,3.0
Python-39,16.0,0,0,0,4.0,1.0
Python-40,35.0,0,0,0,3.0,1.0
Python-41,29.0,0,0,0,6.0,6.0
Python-42,34.0,0,0,0,2.0,0.0
Python-43,31.0,0,0,0,6.0,4.0
Python-44,25.0,0,0,0,4.0,4.0
Python-45,26.0,0,0,0,3.0,1.0
Python-46,23.0,0,0,0,5.0,3.0
Python-47,14.0,0,0,0,2.0,0.0
Python-48,32.0,0,0,0,7.0,13.0
Python-49,16.0,0,1,0,4.0,2.0
Python-50,13.0,0,0,0,2.0,1.0
