Configuration,Run,Task_ID,Pass
FP16,1,Python-10,1
FP16,1,Python-11,1
FP16,1,Python-12,0
FP16,1,Python-13,0
FP16,1,Python-14,0
FP16,1,Python-15,0
FP16,1,Python-16,0
FP16,1,Python-17,0
FP16,1,Python-18,0
FP16,1,Python-19,0
FP16,1,Python-20,0
FP16,1,Python-21,0
FP16,1,Python-22,0
FP16,1,Python-24,0
FP16,1,Python-25,1
FP16,1,Python-26,0
FP16,1,Python-27,0
FP16,1,Python-28,1
FP16,1,Python-29,0
FP16,1,Python-31,0
FP16,1,Python-32,0
FP16,1,Python-33,0
FP16,1,Python-34,1
FP16,1,Python-35,1
FP16,1,Python-36,0
FP16,1,Python-37,1
FP16,1,Python-38,1
FP16,1,Python-39,0
FP16,1,Python-40,0
FP16,1,Python-41,1
FP16,1,Python-42,0
FP16,1,Python-43,0
FP16,1,Python-44,0
FP16,1,Python-45,1
FP16,1,Python-46,0
FP16,1,Python-47,1
FP16,1,Python-48,0
FP16,1,Python-49,1
FP16,1,Python-50,1
FP16,1,Python-7,0
FP16,1,Python-8,0
FP16,1,Python-9,0
FP16,2,Python-10,1
FP16,2,Python-11,1
FP16,2,Python-12,0
FP16,2,Python-13,0
FP16,2,Python-14,0
FP16,2,Python-15,0
FP16,2,Python-16,0
FP16,2,Python-17,0
FP16,2,Python-18,0
FP16,2,Python-19,0
FP16,2,Python-20,0
FP16,2,Python-21,0
FP16,2,Python-22,0
FP16,2,Python-24,0
FP16,2,Python-25,1
FP16,2,Python-26,0
FP16,2,Python-27,0
FP16,2,Python-28,1
FP16,2,Python-29,0
FP16,2,Python-31,0
FP16,2,Python-32,0
FP16,2,Python-33,0
FP16,2,Python-34,1
FP16,2,Python-35,1
FP16,2,Python-36,0
FP16,2,Python-37,1
FP16,2,Python-38,1
FP16,2,Python-39,0
FP16,2,Python-40,0
FP16,2,Python-41,1
FP16,2,Python-42,0
FP16,2,Python-43,0
FP16,2,Python-44,0
FP16,2,Python-45,1
FP16,2,Python-46,0
FP16,2,Python-47,1
FP16,2,Python-48,0
FP16,2,Python-49,1
FP16,2,Python-50,1
FP16,2,Python-7,0
FP16,2,Python-8,0
FP16,2,Python-9,0
FP16,3,Python-10,1
FP16,3,Python-11,1
FP16,3,Python-12,0
FP16,3,Python-13,0
FP16,3,Python-14,0
FP16,3,Python-15,0
FP16,3,Python-16,0
FP16,3,Python-17,0
FP16,3,Python-18,0
FP16,3,Python-19,0
FP16,3,Python-20,0
FP16,3,Python-21,0
FP16,3,Python-22,0
FP16,3,Python-24,0
FP16,3,Python-25,1
FP16,3,Python-26,0
FP16,3,Python-27,0
FP16,3,Python-28,1
FP16,3,Python-29,0
FP16,3,Python-31,0
FP16,3,Python-32,0
FP16,3,Python-33,0
FP16,3,Python-34,1
FP16,3,Python-35,1
FP16,3,Python-36,0
FP16,3,Python-37,1
FP16,3,Python-38,1
FP16,3,Python-39,0
FP16,3,Python-40,0
FP16,3,Python-41,1
FP16,3,Python-42,0
FP16,3,Python-43,0
FP16,3,Python-44,0
FP16,3,Python-45,1
FP16,3,Python-46,0
FP16,3,Python-47,1
FP16,3,Python-48,0
FP16,3,Python-49,1
FP16,3,Python-50,1
FP16,3,Python-7,0
FP16,3,Python-8,0
FP16,3,Python-9,0
FP16,4,Python-10,1
FP16,4,Python-11,1
FP16,4,Python-12,0
FP16,4,Python-13,0
FP16,4,Python-14,0
FP16,4,Python-15,0
FP16,4,Python-16,0
FP16,4,Python-17,0
FP16,4,Python-18,0
